,coal,natural gas,other,solar,hydro,wind
20191216T06-07,3751,1112,105,0.0,64,545
20191216T05-07,3749,1031,105,0.0,67,496
20191216T04-07,3748,1034,81,0.0,64,458
20191216T03-07,3714,1029,112,0.0,64,506
20191216T02-07,3727,1076,111,0.0,68,481
20191216T01-07,3769,1184,113,0.0,65,440
20191216T00-07,3724,1293,112,0.0,65,406
20191215T23-07,3727,1400,111,0.0,62,394
20191215T22-07,3720,1490,108,0.0,62,440
20191215T21-07,3729,1545,113,0.0,63,387
20191215T20-07,3720,1624,111,0.0,64,372
20191215T19-07,3694,1707,113,0.0,64,310
20191215T18-07,3681,1627,113,0.0,68,324
20191215T17-07,3479,1327,115,44.0,66,390
20191215T16-07,3205,944,116,145.0,68,401
20191215T15-07,3047,881,114,290.0,66,353
20191215T14-07,3063,977,113,295.0,68,226
20191215T13-07,3035,916,115,300.0,66,126
20191215T12-07,3074,904,113,217.0,67,137
20191215T11-07,3314,910,114,151.0,69,191
20191215T10-07,3641,1060,113,80.0,67,209
20191215T09-07,3678,1259,114,29.0,70,267
20191215T08-07,3689,1221,115,1.0,69,329
20191215T07-07,3661,1015,111,0.0,73,460
20191215T06-07,3679,985,113,0.0,71,462
20191215T05-07,3697,979,113,0.0,70,473
20191215T04-07,3738,926,112,0.0,70,396
20191215T03-07,3734,870,113,0.0,71,318
20191215T02-07,3716,982,110,0.0,71,282
20191215T01-07,3719,1119,114,0.0,69,315
20191215T00-07,3692,1357,110,0.0,70,365
20191214T23-07,3741,1563,112,0.0,69,486
20191214T22-07,3844,1498,113,0.0,69,603
20191214T21-07,4180,1428,111,0.0,69,664
20191214T20-07,4178,1400,116,0.0,70,675
20191214T19-07,4189,1494,112,0.0,70,535
20191214T18-07,4186,1463,114,0.0,70,406
20191214T17-07,3979,1274,114,51.0,70,347
20191214T16-07,3418,991,114,148.0,69,332
20191214T15-07,3360,912,114,259.0,71,349
20191214T14-07,3401,911,113,246.0,68,304
20191214T13-07,3489,869,110,254.0,71,292
20191214T12-07,3683,892,111,183.0,70,272
20191214T11-07,3896,924,110,94.0,72,231
20191214T10-07,4042,1074,110,113.0,69,188
20191214T09-07,4047,1150,110,62.0,71,175
20191214T08-07,4171,1117,110,0.0,71,134
20191214T07-07,4191,997,108,0.0,71,143
20191214T06-07,4175,959,108,0.0,72,136
20191214T05-07,4139,890,108,0.0,71,127
20191214T04-07,4184,981,108,0.0,72,122
20191214T03-07,4127,935,109,0.0,74,163
20191214T02-07,4175,988,108,0.0,72,192
20191214T01-07,4202,1003,106,0.0,71,246
20191214T00-07,4215,1238,110,0.0,72,311
