,natural gas,nuclear,petroleum,other,solar
20191025T06Z,8398.0,2686.0,0,2156.0,-1.0
20191025T05Z,9212.0,2686.0,0,2186.0,0.0
20191025T04Z,10414.0,2684.0,0,2112.0,0.0
20191025T03Z,11662.0,2683.0,0,2207.0,0.0
20191025T02Z,13020.0,2683.0,0,2267.0,0.0
20191025T01Z,13845.0,2681.0,0,2274.0,0.0
20191025T00Z,14173.0,2680.0,0,2283.0,2.0
20191024T23Z,14036.0,2681.0,0,2278.0,54.0
20191024T22Z,14404.0,2680.0,0,2268.0,332.0
20191024T21Z,14613.0,2676.0,0,2266.0,545.0
20191024T20Z,14444.0,2683.0,0,2274.0,756.0
20191024T19Z,14088.0,2684.0,0,2275.0,799.0
20191024T18Z,13793.0,2684.0,0,2255.0,895.0
20191024T17Z,13453.0,2687.0,0,2265.0,870.0
20191024T16Z,13107.0,2686.0,0,2260.0,809.0
20191024T15Z,11964.0,2687.0,0,2235.0,672.0
20191024T14Z,10793.0,2688.0,0,2243.0,486.0
20191024T13Z,9677.0,2688.0,0,2184.0,152.0
20191024T12Z,9181.0,2688.0,0,2174.0,10.0
20191024T11Z,8887.0,2686.0,0,2181.0,0.0
20191024T10Z,7779.0,2685.0,0,2139.0,0.0
20191024T09Z,7113.0,2683.0,0,2073.0,0.0
20191024T08Z,7142.0,2685.0,0,2044.0,0.0
20191024T07Z,7445.0,2680.0,0,2031.0,0.0
20191024T06Z,7985.0,2682.0,0,2038.0,0.0
20191024T05Z,8825.0,2679.0,0,2071.0,0.0
