,natural gas
20191126T13-08,595
20191126T12-08,597
20191126T11-08,596
20191126T10-08,596
20191126T09-08,595
20191126T08-08,597
20191126T07-08,596
20191126T06-08,591
20191126T05-08,592
20191126T04-08,593
20191126T03-08,593
20191126T02-08,593
20191126T01-08,590
20191126T00-08,566
20191125T23-08,567
20191125T22-08,569
20191125T21-08,570
20191125T20-08,571
20191125T19-08,570
20191125T18-08,569
20191125T17-08,570
20191125T16-08,572
20191125T15-08,572
20191125T14-08,570
20191125T13-08,569
20191125T12-08,570
20191125T11-08,571
20191125T10-08,570
20191125T09-08,571
20191125T08-08,584
20191125T07-08,571
20191125T06-08,568
20191125T05-08,568
20191125T04-08,567
20191125T03-08,568
20191125T02-08,567
20191125T01-08,567
20191125T00-08,567
20191124T23-08,567
20191124T22-08,567
20191124T21-08,567
20191124T20-08,567
20191124T19-08,567
20191124T18-08,566
20191124T17-08,567
20191124T16-08,567
20191124T15-08,569
20191124T14-08,567
20191124T13-08,566
20191124T12-08,567
20191124T11-08,565
20191124T10-08,550
20191124T09-08,549
20191124T08-08,549
20191124T07-08,550
20191124T06-08,549
20191124T05-08,547
20191124T04-08,546
20191124T03-08,553
20191124T02-08,548
20191124T01-08,549
20191124T00-08,546
20191123T23-08,546
20191123T22-08,550
20191123T21-08,550
20191123T20-08,552
20191123T19-08,569
20191123T18-08,569
20191123T17-08,571
20191123T16-08,572
20191123T15-08,570
20191123T14-08,570
20191123T13-08,570
20191123T12-08,570
20191123T11-08,566
20191123T10-08,564
20191123T09-08,566
20191123T08-08,569
20191123T07-08,568
20191123T06-08,551
20191123T05-08,560
20191123T04-08,611
20191123T03-08,610
20191123T02-08,610
20191123T01-08,613
20191123T00-08,614
20191122T23-08,614
20191122T22-08,610
20191122T21-08,610
20191122T20-08,596
20191122T19-08,607
20191122T18-08,605
20191122T17-08,601
20191122T16-08,595
20191122T15-08,595
20191122T14-08,594
20191122T13-08,601
20191122T12-08,572
20191122T11-08,604
20191122T10-08,601
20191122T09-08,612
20191122T08-08,609
20191122T07-08,608
20191122T06-08,573
20191122T05-08,570
20191122T04-08,572
20191122T03-08,571
20191122T02-08,570
20191122T01-08,593
20191122T00-08,573
20191121T23-08,608
20191121T22-08,600
20191121T21-08,599
20191121T20-08,600
20191121T19-08,600
20191121T18-08,599
20191121T17-08,602
20191121T16-08,600
20191121T15-08,599
20191121T14-08,600
20191121T13-08,600
20191121T12-08,602
20191121T11-08,607
20191121T10-08,606
20191121T09-08,613
20191121T08-08,615
20191121T07-08,615
20191121T06-08,608
20191121T05-08,615
20191121T04-08,614
20191121T03-08,606
20191121T02-08,608
20191121T01-08,607
20191121T00-08,606
20191120T23-08,605
20191120T22-08,595
20191120T21-08,576
20191120T20-08,589
20191120T19-08,587
20191120T18-08,572
20191120T17-08,589
20191120T16-08,596
20191120T15-08,594
20191120T14-08,571
20191120T13-08,569
20191120T12-08,569
20191120T11-08,571
20191120T10-08,597
20191120T09-08,572
20191120T08-08,598
20191120T07-08,601
20191120T06-08,601
20191120T05-08,598
20191120T04-08,600
20191120T03-08,601
20191120T02-08,602
20191120T01-08,601
20191120T00-08,585
20191119T23-08,586
20191119T22-08,579
20191119T21-08,580
20191119T20-08,579
20191119T19-08,571
20191119T18-08,579
20191119T17-08,570
20191119T16-08,568
20191119T15-08,571
20191119T14-08,570
20191119T13-08,570
20191119T12-08,569
20191119T11-08,570
20191119T10-08,571
20191119T09-08,570
20191119T08-08,570
20191119T07-08,569
20191119T06-08,567
20191119T05-08,565
20191119T04-08,566
20191119T03-08,565
20191119T02-08,566
20191119T01-08,564
20191119T00-08,564
20191118T23-08,564
20191118T22-08,570
20191118T21-08,570
20191118T20-08,569
20191118T19-08,570
20191118T18-08,571
20191118T17-08,570
20191118T16-08,570
20191118T15-08,570
20191118T14-08,571
20191118T13-08,571
20191118T12-08,579
20191118T11-08,571
20191118T10-08,570
20191118T09-08,571
20191118T08-08,569
20191118T07-08,570
20191118T06-08,568
20191118T05-08,574
20191118T04-08,570
20191118T03-08,565
20191118T02-08,565
20191118T01-08,565
20191118T00-08,565
