,hydro
20190928T13Z,197
20190928T12Z,160
20190928T11Z,153
20190928T10Z,183
20190928T09Z,145
20190928T08Z,120
20190928T07Z,293
20190928T06Z,339
20190928T05Z,404
20190928T04Z,554
20190928T03Z,654
20190928T02Z,661
20190928T01Z,681
20190928T00Z,674
20190927T23Z,601
20190927T22Z,560
20190927T21Z,593
20190927T20Z,582
20190927T19Z,636
20190927T18Z,566
20190927T17Z,632
20190927T16Z,586
20190927T15Z,592
20190927T14Z,530
20190927T13Z,303
20190927T12Z,169
20190927T11Z,130
20190927T10Z,146
20190927T09Z,175
20190927T08Z,215
20190927T07Z,310
20190927T06Z,369
20190927T05Z,571
20190927T04Z,648
20190927T03Z,640
20190927T02Z,620
20190927T01Z,637
20190927T00Z,628
20190926T23Z,582
20190926T22Z,651
20190926T21Z,639
20190926T20Z,680
20190926T19Z,651
20190926T18Z,692
20190926T17Z,650
20190926T16Z,680
20190926T15Z,566
20190926T14Z,476
20190926T13Z,285
20190926T12Z,298
20190926T11Z,279
20190926T10Z,283
20190926T09Z,310
20190926T08Z,359
20190926T07Z,536
20190926T06Z,580
20190926T05Z,522
20190926T04Z,596
20190926T03Z,544
20190926T02Z,602
20190926T01Z,554
20190926T00Z,553
20190925T23Z,531
20190925T22Z,526
20190925T21Z,536
20190925T20Z,536
20190925T19Z,551
20190925T18Z,545
20190925T17Z,543
20190925T16Z,563
20190925T15Z,572
20190925T14Z,461
20190925T13Z,438
20190925T12Z,347
20190925T11Z,315
20190925T10Z,333
20190925T09Z,355
20190925T08Z,374
20190925T07Z,312
20190925T06Z,377
20190925T05Z,440
20190925T04Z,560
20190925T03Z,597
20190925T02Z,580
20190925T01Z,601
20190925T00Z,606
20190924T23Z,602
20190924T22Z,511
20190924T21Z,514
20190924T20Z,529
20190924T19Z,573
20190924T18Z,540
20190924T17Z,589
20190924T16Z,570
20190924T15Z,605
20190924T14Z,543
20190924T13Z,451
20190924T12Z,275
20190924T11Z,247
20190924T10Z,252
20190924T09Z,232
20190924T08Z,283
20190924T07Z,395
20190924T06Z,451
20190924T05Z,510
20190924T04Z,600
20190924T03Z,617
20190924T02Z,621
20190924T01Z,621
20190924T00Z,594
20190923T23Z,508
20190923T22Z,456
20190923T21Z,465
20190923T20Z,460
20190923T19Z,460
20190923T18Z,451
20190923T17Z,479
20190923T16Z,514
20190923T15Z,563
20190923T14Z,494
20190923T13Z,371
20190923T12Z,224
20190923T11Z,228
20190923T10Z,209
20190923T09Z,239
20190923T08Z,231
20190923T07Z,336
20190923T06Z,316
20190923T05Z,752
20190923T04Z,838
20190923T03Z,853
20190923T02Z,870
20190923T01Z,854
20190923T00Z,812
20190922T23Z,740
20190922T22Z,747
20190922T21Z,717
20190922T20Z,714
20190922T19Z,699
20190922T18Z,674
20190922T17Z,652
20190922T16Z,559
20190922T15Z,448
20190922T14Z,413
20190922T13Z,298
20190922T12Z,287
20190922T11Z,291
20190922T10Z,301
20190922T09Z,319
20190922T08Z,362
20190922T07Z,418
20190922T06Z,520
20190922T05Z,708
20190922T04Z,753
20190922T03Z,835
20190922T02Z,840
20190922T01Z,832
20190922T00Z,787
20190921T23Z,545
20190921T22Z,551
20190921T21Z,555
20190921T20Z,595
20190921T19Z,623
20190921T18Z,638
20190921T17Z,612
20190921T16Z,570
20190921T15Z,537
20190921T14Z,495
20190921T13Z,314
20190921T12Z,267
20190921T11Z,173
20190921T10Z,186
20190921T09Z,173
20190921T08Z,188
20190921T07Z,441
20190921T06Z,478
20190921T05Z,547
20190921T04Z,660
20190921T03Z,588
20190921T02Z,590
20190921T01Z,623
20190921T00Z,606
