,coal,natural gas,petroleum,other,solar,hydro
20191205T00-05,868,827,0,77,0,3
20191204T23-05,898,816,0,77,0,73
20191204T22-05,977,807,0,98,0,142
20191204T21-05,975,818,0,58,0,151
20191204T20-05,980,805,0,80,0,152
20191204T19-05,927,803,-1,78,0,147
20191204T18-05,876,795,0,76,0,102
20191204T17-05,754,801,-1,72,0,3
20191204T16-05,698,756,0,68,1,3
20191204T15-05,694,776,0,62,4,4
20191204T14-05,718,800,0,58,5,3
20191204T13-05,935,765,0,57,47,4
20191204T12-05,1037,791,0,58,3,4
20191204T11-05,1259,791,0,58,3,78
20191204T10-05,1346,804,0,50,3,119
20191204T09-05,1346,821,0,62,0,177
20191204T08-05,1306,849,0,71,0,208
20191204T07-05,1288,834,0,67,0,197
20191204T06-05,1254,834,0,67,0,139
20191204T05-05,1124,840,0,68,0,65
20191204T04-05,1037,841,0,65,0,4
20191204T03-05,1023,842,0,69,0,2
20191204T02-05,1015,817,0,68,0,4
20191204T01-05,1079,806,0,69,0,6
20191203T14-05,730,795,0,62,2,4
20191203T13-05,744,832,-1,66,4,6
20191203T12-05,881,843,0,65,3,5
20191203T11-05,1111,844,0,71,3,23
20191203T10-05,1236,802,0,70,2,88
20191203T09-05,1340,823,0,68,1,159
20191203T08-05,1377,826,0,68,0,212
20191203T07-05,1348,818,0,71,0,210
20191203T06-05,1339,818,0,72,0,133
20191203T05-05,1314,806,0,76,0,89
20191203T04-05,1270,837,0,74,0,18
20191203T03-05,1196,824,-1,73,0,8
20191203T02-05,1177,817,0,75,0,9
20191203T01-05,1208,781,0,74,0,7
20191203T00-05,1214,815,0,75,0,7
20191202T23-05,1208,812,0,74,0,35
20191202T22-05,1206,799,0,75,0,80
20191202T21-05,1203,805,0,75,0,136
20191202T20-05,1117,816,0,75,0,157
20191202T19-05,1079,813,0,74,0,157
20191202T18-05,1034,820,0,77,0,79
20191202T17-05,903,816,0,77,0,6
20191202T16-05,846,784,0,73,2,7
20191202T15-05,859,765,0,78,3,7
20191202T14-05,855,774,0,76,2,7
20191202T13-05,884,792,0,75,3,7
20191202T12-05,994,787,0,74,4,7
20191202T11-05,912,816,0,75,3,7
20191202T10-05,838,821,0,75,1,112
20191202T09-05,817,823,0,78,0,131
20191202T08-05,860,811,0,75,0,125
20191202T07-05,778,832,0,77,0,40
20191202T06-05,623,822,-1,76,0,6
20191202T05-05,568,820,0,77,0,4
20191202T04-05,464,815,0,75,0,5
20191202T03-05,468,811,0,76,0,4
20191202T02-05,464,812,0,76,0,5
20191202T01-05,464,814,0,75,0,6
20191202T00-05,540,802,0,77,0,28
20191201T23-05,619,799,0,77,0,69
20191201T22-05,661,793,0,74,0,98
20191201T21-05,672,791,0,78,0,100
20191201T20-05,759,780,0,76,0,97
20191201T19-05,839,776,0,71,0,99
20191201T18-05,673,785,0,72,0,93
20191201T17-05,519,777,0,66,0,73
20191201T16-05,515,767,0,70,1,71
20191201T15-05,578,755,0,72,1,40
20191201T14-05,615,781,0,74,1,3
20191201T13-05,619,780,-1,77,0,4
20191201T12-05,615,786,0,75,1,3
20191201T11-05,581,796,0,80,0,4
20191201T10-05,579,800,0,78,1,4
20191201T09-05,590,807,0,80,0,4
20191201T08-05,583,802,0,79,1,5
20191201T07-05,511,800,0,79,0,5
20191201T06-05,469,793,0,76,0,4
20191201T05-05,465,802,0,82,0,5
20191201T04-05,468,800,0,79,0,5
20191201T03-05,466,794,0,79,0,6
20191201T02-05,465,802,0,78,0,7
20191201T01-05,467,789,0,81,0,7
20191201T00-05,464,799,0,78,0,7
20191130T23-05,467,804,0,81,0,7
20191130T22-05,464,803,0,81,0,41
20191130T21-05,471,791,0,78,0,76
20191130T20-05,482,799,-1,82,0,77
20191130T19-05,602,793,0,81,0,42
20191130T18-05,576,791,0,79,0,7
20191130T17-05,504,789,0,80,0,7
20191130T16-05,507,783,0,82,1,7
20191130T15-05,503,780,0,79,1,9
20191130T14-05,583,792,0,82,2,5
20191130T13-05,700,794,0,82,1,17
20191130T12-05,730,798,0,80,2,4
20191130T11-05,659,809,0,80,0,62
20191130T10-05,650,817,0,83,2,157
20191130T09-05,627,821,0,79,0,158
20191130T08-05,571,820,0,77,0,161
20191130T07-05,590,809,0,83,0,41
20191130T06-05,679,802,0,77,0,6
20191130T05-05,772,802,0,81,0,5
20191130T04-05,781,803,0,78,0,9
20191130T03-05,780,804,0,75,0,4
20191130T02-05,780,809,0,80,0,11
20191130T01-05,767,820,0,81,0,9
20191130T00-05,701,830,0,80,0,7
20191129T23-05,679,830,-1,80,0,99
20191129T22-05,708,831,0,81,0,158
20191129T21-05,721,829,0,79,0,159
20191129T20-05,748,828,0,80,0,131
20191129T19-05,814,828,0,81,0,79
20191129T18-05,792,824,0,80,0,36
20191129T17-05,720,821,0,83,1,7
20191129T16-05,704,820,0,77,1,7
20191129T15-05,705,820,0,77,3,8
20191129T14-05,768,821,0,80,2,7
20191129T13-05,748,828,0,79,3,5
20191129T12-05,767,839,0,78,4,24
20191129T11-05,853,841,0,79,2,74
20191129T10-05,798,865,0,77,2,74
20191129T09-05,575,914,-1,77,0,74
20191129T08-05,495,908,0,79,0,76
20191129T07-05,599,827,0,81,0,19
20191129T06-05,724,788,0,79,0,9
