,coal,natural gas,nuclear,other,solar,hydro
20191220T03-05,610,1738,993,1,0,59
20191220T02-05,604,1701,994,0,0,59
20191220T01-05,601,1648,994,1,0,59
20191220T00-05,602,1813,993,0,0,64
20191219T23-05,592,1816,993,0,0,150
20191219T22-05,589,1821,994,0,0,219
20191219T21-05,603,1808,993,1,0,255
20191219T20-05,603,1792,994,0,0,209
20191219T19-05,596,1721,993,1,0,166
20191219T18-05,587,1519,993,0,5,77
20191219T17-05,521,1270,995,0,132,61
20191219T16-05,517,1225,993,0,387,61
20191219T15-05,520,1231,994,1,422,62
20191219T14-05,515,1253,993,2,407,60
20191219T13-05,517,1325,994,4,397,61
20191219T12-05,529,1422,994,3,359,63
20191219T11-05,582,1470,994,4,377,60
20191219T10-05,606,1611,992,1,375,80
20191219T09-05,554,1948,993,1,195,270
20191219T08-05,571,2250,995,0,9,301
20191219T07-05,587,2212,993,4,0,224
20191219T06-05,585,2054,993,1,0,59
20191219T05-05,585,1934,993,1,0,62
20191219T04-05,587,1884,994,0,0,62
20191219T03-05,589,1891,995,0,0,62
20191219T02-05,595,1817,996,1,0,63
20191219T01-05,600,1769,996,0,0,62
20191219T00-05,599,1830,999,0,0,63
20191218T23-05,599,1860,995,1,0,71
20191218T22-05,599,1841,995,0,0,184
20191218T21-05,603,1782,995,1,0,244
20191218T20-05,599,1764,996,2,0,247
20191218T19-05,579,1714,997,0,0,216
20191218T18-05,613,1535,996,2,3,103
20191218T17-05,561,1301,995,0,122,62
20191218T16-05,441,1129,996,0,343,57
20191218T15-05,439,1068,996,0,384,60
20191218T14-05,438,1053,996,0,366,61
20191218T13-05,438,1053,995,0,353,62
20191218T12-05,394,1171,996,1,359,62
20191218T11-05,377,1263,997,0,370,62
20191218T10-05,382,1396,996,1,411,64
20191218T09-05,359,1602,998,2,194,167
20191218T08-05,415,1653,996,1,9,245
20191218T07-05,440,1540,997,2,0,176
20191218T06-05,441,1305,996,2,0,64
20191218T05-05,439,1209,997,1,0,58
20191218T04-05,440,1304,997,2,0,58
20191218T03-05,438,1281,998,1,0,62
20191218T02-05,440,1233,996,2,0,60
20191218T01-05,439,1159,997,1,0,60
20191218T00-05,441,1187,994,1,0,57
20191217T23-05,438,1249,996,2,0,60
20191217T22-05,440,1285,994,1,0,62
20191217T21-05,440,1394,994,2,0,126
20191217T20-05,439,1411,995,1,0,127
20191217T19-05,442,1432,995,1,0,148
20191217T18-05,463,1441,995,1,0,114
20191217T17-05,487,1318,995,0,1,54
20191217T16-05,486,1270,994,0,12,54
20191217T15-05,488,1252,994,0,19,55
20191217T14-05,449,1247,994,0,30,78
20191217T13-05,382,1233,995,2,48,138
20191217T12-05,380,1227,994,1,39,170
20191217T11-05,380,1212,995,2,30,173
20191217T10-05,380,1195,995,0,21,172
20191217T09-05,382,1157,995,0,10,202
20191217T08-05,382,1190,993,0,1,187
20191217T07-05,379,1197,994,0,0,99
20191217T06-05,380,1091,996,0,0,85
20191217T05-05,380,1014,995,0,0,85
20191217T04-05,413,985,995,0,0,85
20191217T03-05,438,988,994,0,0,85
20191217T02-05,438,953,995,0,0,85
20191217T01-05,439,979,995,0,0,84
20191217T00-05,439,991,993,0,0,84
20191216T23-05,438,1104,993,0,0,97
20191216T22-05,439,1103,994,0,0,246
20191216T21-05,440,1108,996,0,0,365
20191216T20-05,436,1197,994,0,0,313
20191216T19-05,440,1195,995,1,0,302
20191216T18-05,440,1198,994,1,1,185
20191216T17-05,436,1121,995,0,101,79
20191216T16-05,438,1078,994,1,295,63
20191216T15-05,436,1074,994,1,324,66
20191216T14-05,438,1069,995,0,330,64
20191216T13-05,437,1069,994,1,355,63
20191216T12-05,439,1071,995,2,355,64
20191216T11-05,435,1098,995,2,364,64
20191216T10-05,450,1226,995,2,372,78
20191216T09-05,560,1386,994,1,190,185
20191216T08-05,622,1581,994,2,16,209
20191216T07-05,557,1628,994,1,0,166
20191216T06-05,445,1511,995,1,0,86
20191216T05-05,443,1363,994,1,0,81
20191216T04-05,437,1359,995,1,0,81
20191216T03-05,438,1331,995,2,0,82
20191216T02-05,440,1315,995,2,0,83
20191216T01-05,442,1330,994,2,0,82
20191216T00-05,439,1386,995,2,0,82
20191215T23-05,439,1422,996,1,0,82
20191215T22-05,441,1459,995,1,0,81
20191215T21-05,437,1524,996,1,0,82
20191215T20-05,440,1480,994,1,0,102
20191215T19-05,440,1364,995,1,0,178
20191215T18-05,439,1260,995,1,0,128
20191215T17-05,439,1114,996,2,109,107
20191215T16-05,441,948,994,3,339,108
20191215T15-05,440,901,994,3,385,104
20191215T14-05,438,929,995,1,375,107
20191215T13-05,442,911,994,2,367,105
20191215T12-05,439,939,995,3,379,104
20191215T11-05,440,962,995,2,386,107
20191215T10-05,442,1189,994,3,351,106
20191215T09-05,438,1359,995,1,168,252
20191215T08-05,441,1384,993,2,14,289
20191215T07-05,441,1317,995,1,0,245
20191215T06-05,439,1262,995,2,0,189
20191215T05-05,441,1237,994,1,0,109
20191215T04-05,441,1235,994,1,0,108
20191215T03-05,439,1213,994,2,0,109
20191215T02-05,439,1231,995,2,0,108
20191215T01-05,440,1226,994,2,0,108
20191215T00-05,441,1241,995,1,0,109
20191214T23-05,488,1292,994,2,0,106
20191214T22-05,572,1295,994,3,0,119
20191214T21-05,567,1242,994,2,0,177
20191214T20-05,573,1237,994,2,0,177
20191214T19-05,537,1192,995,1,0,233
20191214T18-05,513,1148,994,1,1,178
20191214T17-05,481,1059,994,1,112,106
20191214T16-05,438,865,995,2,316,107
20191214T15-05,437,917,993,2,262,106
20191214T14-05,438,1039,995,3,259,106
20191214T13-05,439,1074,994,2,251,105
20191214T12-05,441,1228,995,1,178,103
20191214T11-05,437,1380,995,1,100,104
20191214T10-05,437,1402,993,1,58,104
20191214T09-05,439,1399,995,1,25,102
20191214T08-05,441,1386,994,2,1,105
20191214T07-05,438,1406,993,2,0,105
20191214T06-05,442,1369,995,0,0,112
20191214T05-05,439,1269,995,1,0,114
20191214T04-05,441,1284,994,1,0,115
20191214T03-05,439,1299,993,0,0,111
20191214T02-05,440,1251,991,1,0,111
20191214T01-05,442,1286,994,1,0,123
20191214T00-05,440,1318,994,0,0,123
20191213T23-05,440,1385,994,1,0,175
20191213T22-05,440,1512,994,0,0,177
20191213T21-05,528,1523,995,1,0,173
20191213T20-05,555,1576,992,0,0,172
20191213T19-05,577,1669,994,0,0,166
20191213T18-05,615,1712,993,0,0,123
20191213T17-05,622,1612,994,0,2,120
20191213T16-05,620,1594,993,0,16,120
20191213T15-05,630,1628,994,0,23,121
20191213T14-05,627,1713,992,0,35,90
20191213T13-05,627,1757,994,3,27,70
20191213T12-05,631,1742,993,3,20,93
20191213T11-05,640,1706,994,3,11,130
20191213T10-05,643,1654,993,2,8,159
20191213T09-05,644,1617,994,2,3,174
20191213T08-05,644,1568,994,3,0,240
20191213T07-05,637,1537,992,2,0,186
20191213T06-05,589,1510,994,2,0,63
20191213T05-05,500,1513,994,3,0,65
20191213T04-05,441,1522,994,2,0,64
20191213T03-05,443,1499,993,4,0,64
20191213T02-05,441,1504,995,3,0,65
20191213T01-05,437,1438,993,4,0,64
20191213T00-05,500,1364,994,2,0,62
20191212T23-05,640,1391,993,3,0,66
20191212T22-05,629,1507,994,3,0,131
20191212T21-05,577,1620,995,2,0,182
20191212T20-05,594,1623,993,2,0,185
20191212T19-05,646,1595,993,2,0,180
20191212T18-05,654,1597,993,2,0,164
20191212T17-05,655,1468,996,3,21,64
20191212T16-05,651,1503,994,3,78,62
20191212T15-05,626,1444,994,2,156,64
20191212T14-05,598,1305,995,3,221,66
20191212T13-05,602,1304,992,5,257,64
20191212T12-05,594,1309,995,3,282,63
20191212T11-05,603,1310,994,1,299,157
20191212T10-05,598,1272,994,2,299,359
20191212T09-05,605,1470,994,2,167,354
20191212T08-05,653,1625,994,0,14,294
20191212T07-05,655,1577,995,1,0,374
20191212T06-05,634,1641,993,0,0,256
20191212T05-05,552,1620,996,1,0,78
20191212T04-05,459,1599,994,0,0,63
20191212T03-05,461,1530,994,0,0,61
20191212T02-05,437,1512,995,0,0,61
20191212T01-05,441,1506,993,0,0,64
20191212T00-05,438,1517,994,0,0,63
20191211T23-05,488,1512,994,1,0,125
20191211T22-05,596,1501,993,0,0,121
20191211T21-05,653,1514,993,0,0,122
20191211T20-05,632,1546,994,0,0,124
20191211T19-05,598,1543,993,0,0,123
20191211T18-05,543,1470,995,6,0,128
20191211T17-05,498,1323,993,12,21,61
20191211T16-05,439,1218,994,12,70,62
20191211T15-05,438,1157,994,14,101,60
20191211T14-05,442,1060,994,14,182,61
20191211T13-05,440,989,994,13,263,60
20191211T12-05,441,1025,994,12,264,61
20191211T11-05,439,1064,994,11,254,64
20191211T10-05,441,1141,994,9,204,50
20191211T09-05,438,1166,994,10,88,139
20191211T08-05,441,1256,994,7,4,111
20191211T07-05,439,1190,994,9,0,56
20191211T06-05,438,1046,994,1,0,53
20191211T05-05,441,1072,994,0,0,51
20191211T04-05,438,1141,994,0,0,53
20191211T03-05,440,1128,993,0,0,50
20191211T02-05,437,1142,994,2,0,53
20191211T01-05,437,1123,995,3,0,52
20191211T00-05,437,1102,994,2,0,52
20191210T23-05,437,1135,992,3,0,52
20191210T22-05,437,1172,993,3,0,117
20191210T21-05,437,1181,994,2,0,263
20191210T20-05,438,1202,992,0,0,333
20191210T19-05,438,1238,994,0,0,354
20191210T18-05,435,1202,990,0,0,275
20191210T17-05,438,1176,991,0,72,113
20191210T16-05,437,1073,991,0,218,57
20191210T15-05,437,1041,992,0,255,59
20191210T14-05,436,1015,992,0,291,57
20191210T13-05,436,973,992,0,292,57
20191210T12-05,435,936,994,0,295,57
20191210T11-05,440,919,993,0,237,48
20191210T10-05,435,1083,993,0,138,57
20191210T09-05,439,1160,995,0,44,60
20191210T08-05,438,1191,994,0,3,113
20191210T07-05,439,1195,995,0,0,71
20191210T06-05,440,1156,995,0,0,61
20191210T05-05,439,1134,993,0,0,59
20191210T04-05,440,1114,994,0,0,61
20191210T03-05,439,1134,995,0,0,60
20191210T02-05,440,1171,993,0,0,61
20191210T01-05,438,1191,995,0,0,63
20191210T00-05,439,1146,995,0,0,62
20191209T23-05,436,1156,994,0,0,71
20191209T22-05,441,1178,993,0,0,177
20191209T21-05,438,1202,994,0,0,255
20191209T20-05,440,1170,995,3,0,289
20191209T19-05,438,1186,995,4,0,296
20191209T18-05,440,1206,993,2,1,204
20191209T17-05,439,1159,993,4,31,73
20191209T16-05,440,1143,991,3,134,62
20191209T15-05,437,1151,993,1,192,64
20191209T14-05,439,1031,994,1,245,65
20191209T13-05,439,1042,994,1,269,66
20191209T12-05,441,1045,995,1,179,104
20191209T11-05,440,1081,995,1,114,206
20191209T10-05,440,1068,993,2,75,298
20191209T09-05,441,1174,995,3,33,266
20191209T08-05,441,1258,994,1,4,268
20191209T07-05,438,1315,993,1,0,152
20191209T06-05,440,1284,995,1,0,23
20191209T05-05,439,1239,996,1,0,24
20191209T04-05,438,1233,993,1,0,23
20191209T03-05,439,1184,994,0,0,25
20191209T02-05,441,1194,994,1,0,24
20191209T01-05,438,1153,995,1,0,25
20191209T00-05,437,1175,993,0,0,24
20191208T23-05,431,1265,994,1,0,75
20191208T22-05,407,1228,995,1,0,228
