,wind
20191030T15-06,101
20191030T14-06,99
20191030T13-06,107
20191030T12-06,128
20191030T11-06,149
20191030T10-06,160
20191030T09-06,155
20191030T08-06,151
20191030T07-06,160
20191030T06-06,168
20191030T05-06,173
20191030T04-06,172
20191030T03-06,164
20191030T02-06,164
20191030T01-06,165
20191029T23-06,124
20191029T22-06,88
20191029T21-06,74
20191029T20-06,35
20191029T19-06,50
20191029T18-06,61
20191029T17-06,53
20191029T16-06,37
20191029T15-06,45
20191029T14-06,39
20191029T13-06,46
20191029T12-06,51
20191029T11-06,39
20191029T10-06,45
20191029T09-06,51
20191029T08-06,74
20191029T07-06,87
20191029T06-06,94
20191029T05-06,124
20191029T04-06,139
20191029T03-06,134
20191029T02-06,155
20191029T01-06,150
20191028T23-06,122
20191028T22-06,149
20191028T21-06,166
20191028T20-06,154
20191028T19-06,171
20191028T18-06,163
20191028T17-06,167
20191028T16-06,176
20191028T15-06,179
20191028T14-06,173
20191028T13-06,176
20191028T12-06,176
20191028T11-06,171
20191028T10-06,170
20191028T09-06,171
20191028T08-06,164
20191028T07-06,171
20191028T06-06,143
20191028T05-06,101
20191028T04-06,67
20191028T03-06,93
20191028T02-06,107
20191028T01-06,127
20191027T23-06,149
20191027T22-06,140
20191027T21-06,134
20191027T20-06,111
20191027T19-06,80
20191027T18-06,66
20191027T17-06,82
20191027T16-06,60
20191027T15-06,96
20191027T14-06,123
20191027T13-06,107
20191027T12-06,144
20191027T11-06,131
20191027T10-06,113
20191027T09-06,147
20191027T08-06,176
20191027T07-06,178
20191027T06-06,164
20191027T05-06,148
20191027T04-06,121
20191027T03-06,106
20191027T02-06,87
20191027T01-06,86
20191026T23-06,137
20191026T22-06,149
20191026T21-06,142
20191026T20-06,163
20191026T19-06,170
20191026T18-06,172
20191026T17-06,176
20191026T16-06,171
20191026T15-06,154
20191026T14-06,134
20191026T13-06,117
20191026T12-06,108
20191026T11-06,83
20191026T10-06,56
20191026T09-06,68
20191026T08-06,58
20191026T07-06,72
20191026T06-06,108
20191026T05-06,127
20191026T04-06,81
20191026T03-06,98
20191026T02-06,0
20191026T01-06,0
20191025T23-06,178
20191025T22-06,177
20191025T21-06,176
20191025T20-06,118
20191025T19-06,85
20191025T18-06,166
20191025T17-06,112
20191025T16-06,30
20191025T15-06,144
20191025T14-06,137
20191025T13-06,112
20191025T12-06,180
20191025T11-06,164
20191025T10-06,164
20191025T09-06,165
20191025T08-06,138
20191025T07-06,158
20191025T06-06,174
20191025T05-06,126
20191025T04-06,175
20191025T03-06,171
20191025T02-06,181
20191025T01-06,181
20191024T23-06,183
20191024T22-06,182
20191024T21-06,182
20191024T20-06,179
20191024T19-06,163
20191024T18-06,139
20191024T17-06,172
20191024T16-06,153
20191024T15-06,123
20191024T14-06,119
20191024T13-06,108
20191024T12-06,152
20191024T11-06,110
20191024T10-06,67
20191024T09-06,97
20191024T08-06,110
20191024T07-06,119
20191024T06-06,121
20191024T05-06,82
20191024T04-06,92
20191024T03-06,111
20191024T02-06,69
20191024T01-06,39
20191023T23-06,6
20191023T22-06,1
20191023T21-06,10
20191023T20-06,31
20191023T19-06,66
20191023T18-06,111
20191023T17-06,152
20191023T16-06,162
20191023T15-06,174
20191023T14-06,168
20191023T13-06,172
20191023T12-06,165
20191023T11-06,140
20191023T10-06,151
20191023T09-06,147
20191023T08-06,135
20191023T07-06,171
20191023T06-06,162
20191023T05-06,131
20191023T04-06,118
20191023T03-06,106
20191023T02-06,113
20191023T01-06,106
20191022T23-06,114
20191022T22-06,118
20191022T21-06,126
20191022T20-06,131
20191022T19-06,181
20191022T18-06,155
20191022T17-06,179
20191022T16-06,165
20191022T15-06,137
20191022T14-06,29
20191022T13-06,98
20191022T12-06,170
20191022T11-06,125
20191022T10-06,132
20191022T09-06,152
20191022T08-06,155
20191022T07-06,108
20191022T06-06,120
20191022T05-06,123
20191022T04-06,110
20191022T03-06,124
20191022T02-06,96
20191022T01-06,121
20191021T23-06,120
20191021T22-06,166
20191021T21-06,180
20191021T20-06,181
20191021T19-06,175
20191021T18-06,172
20191021T17-06,179
20191021T16-06,172
20191021T15-06,135
20191021T14-06,90
20191021T13-06,99
20191021T12-06,91
20191021T11-06,75
20191021T10-06,113
20191021T09-06,73
20191021T08-06,42
20191021T07-06,59
20191021T06-06,62
20191021T05-06,74
20191021T04-06,90
20191021T03-06,101
20191021T02-06,105
20191021T01-06,89
20191020T23-06,98
20191020T22-06,132
20191020T21-06,133
20191020T20-06,127
20191020T19-06,98
20191020T18-06,101
20191020T17-06,94
20191020T16-06,100
20191020T15-06,66
20191020T14-06,23
20191020T13-06,14
20191020T12-06,14
20191020T11-06,8
20191020T10-06,8
20191020T09-06,12
20191020T08-06,37
20191020T07-06,54
20191020T06-06,47
20191020T05-06,40
20191020T04-06,29
20191020T03-06,55
20191020T02-06,47
20191020T01-06,25
20191019T23-06,2
20191019T22-06,0
20191019T21-06,0
20191019T20-06,1
20191019T19-06,9
20191019T18-06,11
20191019T17-06,4
20191019T16-06,1
20191019T15-06,18
20191019T14-06,32
20191019T13-06,39
20191019T12-06,35
20191019T11-06,77
20191019T10-06,99
20191019T09-06,149
20191019T08-06,157
20191019T07-06,175
20191019T06-06,176
20191019T05-06,166
20191019T04-06,175
20191019T03-06,179
20191019T02-06,162
20191019T01-06,165
20191018T23-06,181
20191018T22-06,182
20191018T21-06,182
20191018T20-06,183
20191018T19-06,183
20191018T18-06,181
20191018T17-06,176
20191018T16-06,179
20191018T15-06,174
20191018T14-06,174
20191018T13-06,179
20191018T12-06,174
20191018T11-06,174
20191018T10-06,172
20191018T09-06,164
20191018T08-06,131
20191018T07-06,155
20191018T06-06,89
20191018T05-06,61
20191018T04-06,102
20191018T03-06,173
20191018T02-06,177
20191018T01-06,174
20191017T23-06,174
20191017T22-06,174
20191017T21-06,171
20191017T20-06,173
20191017T19-06,179
20191017T18-06,166
20191017T17-06,175
20191017T16-06,179
20191017T15-06,176
20191017T14-06,165
20191017T13-06,176
20191017T12-06,173
20191017T11-06,176
20191017T10-06,171
20191017T09-06,150
20191017T08-06,132
20191017T07-06,123
20191017T06-06,70
