,hydro,wind
20191020T09Z,188,8
20191020T08Z,253,8
20191020T07Z,479,8
20191020T06Z,517,7
20191020T05Z,472,8
20191020T04Z,690,8
20191020T03Z,884,8
20191020T02Z,998,6
20191020T01Z,893,6
20191020T00Z,574,3
20191019T23Z,401,1
20191019T22Z,498,7
20191019T21Z,705,8
20191019T20Z,833,8
20191019T19Z,906,8
20191019T18Z,919,7
20191019T17Z,861,8
20191019T16Z,825,6
20191019T15Z,890,7
20191019T14Z,896,6
20191019T13Z,913,4
20191019T12Z,850,0
20191019T11Z,518,1
20191019T10Z,597,2
20191019T09Z,611,5
20191019T08Z,869,5
20191019T07Z,841,5
20191019T06Z,640,6
20191019T05Z,736,6
20191019T04Z,998,2
20191019T03Z,1092,1
20191019T02Z,1037,2
20191019T01Z,1084,3
20191019T00Z,953,4
20191018T23Z,764,6
20191018T22Z,768,7
20191018T21Z,538,7
20191018T20Z,580,8
20191018T19Z,467,8
20191018T18Z,597,8
20191018T17Z,671,8
20191018T16Z,611,7
20191018T15Z,633,7
20191018T14Z,528,8
20191018T13Z,357,8
20191018T12Z,234,8
20191018T11Z,176,8
20191018T10Z,123,7
20191018T09Z,139,8
20191018T08Z,249,8
20191018T07Z,564,7
20191018T06Z,713,8
20191018T05Z,829,8
20191018T04Z,921,7
20191018T03Z,924,8
20191018T02Z,861,7
20191018T01Z,650,7
20191018T00Z,502,8
20191017T23Z,536,7
20191017T22Z,560,8
20191017T21Z,551,6
20191017T20Z,577,8
20191017T19Z,563,7
20191017T18Z,750,8
20191017T17Z,671,7
20191017T16Z,669,7
20191017T15Z,567,6
20191017T14Z,508,7
20191017T13Z,338,6
20191017T12Z,315,5
20191017T11Z,317,4
20191017T10Z,208,6
20191017T09Z,252,4
20191017T08Z,459,6
20191017T07Z,632,5
20191017T06Z,739,4
20191017T05Z,866,3
20191017T04Z,907,3
20191017T03Z,899,3
20191017T02Z,913,2
20191017T01Z,913,0
20191017T00Z,920,0
20191016T23Z,914,0
20191016T22Z,869,0
20191016T21Z,818,0
20191016T20Z,883,0
20191016T19Z,913,0
20191016T18Z,911,0
20191016T17Z,914,0
20191016T16Z,894,0
20191016T15Z,769,0
20191016T14Z,658,0
20191016T13Z,663,0
20191016T12Z,608,0
20191016T11Z,497,0
20191016T10Z,553,0
20191016T09Z,735,0
20191016T08Z,893,0
20191016T07Z,922,0
20191016T06Z,956,1
20191016T05Z,971,0
20191016T04Z,954,1
20191016T03Z,952,1
20191016T02Z,958,1
20191016T01Z,952,2
20191016T00Z,938,0
20191015T23Z,912,0
20191015T22Z,839,0
20191015T21Z,847,0
20191015T20Z,857,0
20191015T19Z,873,0
20191015T18Z,887,0
20191015T17Z,965,0
20191015T16Z,985,1
20191015T15Z,967,0
20191015T14Z,806,0
20191015T13Z,426,0
20191015T12Z,377,0
20191015T11Z,382,0
20191015T10Z,412,0
20191015T09Z,542,0
20191015T08Z,545,0
20191015T07Z,474,0
20191015T06Z,531,0
20191015T05Z,886,0
20191015T04Z,854,0
20191015T03Z,787,0
20191015T02Z,748,0
20191015T01Z,695,0
20191015T00Z,633,0
20191014T23Z,636,0
20191014T22Z,746,0
20191014T21Z,871,0
20191014T20Z,927,0
20191014T19Z,935,0
20191014T18Z,942,0
20191014T17Z,928,0
20191014T16Z,834,0
20191014T15Z,742,0
20191014T14Z,679,0
20191014T13Z,479,0
20191014T12Z,349,0
20191014T11Z,325,0
20191014T10Z,296,0
20191014T09Z,277,0
20191014T08Z,241,0
20191014T07Z,282,0
20191014T06Z,377,0
20191014T05Z,591,0
20191014T04Z,684,0
20191014T03Z,566,0
20191014T02Z,529,0
20191014T01Z,498,0
20191014T00Z,454,0
20191013T23Z,449,0
20191013T22Z,484,0
20191013T21Z,580,0
20191013T20Z,638,0
20191013T19Z,694,0
20191013T18Z,684,0
20191013T17Z,641,0
20191013T16Z,646,0
20191013T15Z,618,0
20191013T14Z,613,0
20191013T13Z,596,0
20191013T12Z,538,0
20191013T11Z,351,0
20191013T10Z,229,0
20191013T09Z,206,0
20191013T08Z,316,0
20191013T07Z,463,0
20191013T06Z,630,0
20191013T05Z,796,0
20191013T04Z,783,0
20191013T03Z,758,0
20191013T02Z,828,0
20191013T01Z,724,0
20191013T00Z,753,0
20191012T23Z,661,0
20191012T22Z,623,0
20191012T21Z,583,1
20191012T20Z,636,0
20191012T19Z,722,0
20191012T18Z,728,0
20191012T17Z,734,0
20191012T16Z,689,0
20191012T15Z,743,0
20191012T14Z,638,0
20191012T13Z,545,0
20191012T12Z,502,0
20191012T11Z,428,0
20191012T10Z,362,1
20191012T09Z,288,1
20191012T08Z,262,1
20191012T07Z,325,2
20191012T06Z,384,1
20191012T05Z,686,2
20191012T04Z,843,2
20191012T03Z,859,1
20191012T02Z,838,1
20191012T01Z,759,1
20191012T00Z,740,0
20191011T23Z,651,1
20191011T22Z,805,1
20191011T21Z,978,1
20191011T20Z,1070,0
20191011T19Z,986,1
20191011T18Z,1073,0
20191011T17Z,1019,1
20191011T16Z,831,1
20191011T15Z,747,1
20191011T14Z,817,1
20191011T13Z,595,1
20191011T12Z,469,1
20191011T11Z,425,0
20191011T10Z,566,1
20191011T09Z,438,0
20191011T08Z,467,0
20191011T07Z,604,0
20191011T06Z,768,0
20191011T05Z,787,1
20191011T04Z,734,0
20191011T03Z,737,1
20191011T02Z,760,0
20191011T01Z,711,0
20191011T00Z,636,1
20191010T23Z,660,0
20191010T22Z,771,0
20191010T21Z,754,0
20191010T20Z,775,0
20191010T19Z,804,0
20191010T18Z,818,0
20191010T17Z,964,0
20191010T16Z,841,0
20191010T15Z,823,0
20191010T14Z,826,0
20191010T13Z,749,0
20191010T12Z,601,0
20191010T11Z,547,0
20191010T10Z,535,0
20191010T09Z,575,0
20191010T08Z,620,0
20191010T07Z,625,0
20191010T06Z,710,0
20191010T05Z,754,0
20191010T04Z,776,0
20191010T03Z,722,0
20191010T02Z,622,0
20191010T01Z,504,0
20191010T00Z,458,0
20191009T23Z,551,1
20191009T22Z,669,0
20191009T21Z,598,1
20191009T20Z,669,2
20191009T19Z,621,3
20191009T18Z,632,1
20191009T17Z,702,2
20191009T16Z,788,2
20191009T15Z,873,2
20191009T14Z,898,2
20191009T13Z,601,3
20191009T12Z,377,5
20191009T11Z,380,5
20191009T10Z,465,6
20191009T09Z,474,7
20191009T08Z,468,3
20191009T07Z,546,3
20191009T06Z,539,3
20191009T05Z,642,4
20191009T04Z,681,2
20191009T03Z,833,1
20191009T02Z,828,3
20191009T01Z,791,1
20191009T00Z,669,2
20191008T23Z,694,5
20191008T22Z,665,7
20191008T21Z,571,7
20191008T20Z,433,5
20191008T19Z,428,4
20191008T18Z,433,5
20191008T17Z,508,2
20191008T16Z,346,2
20191008T15Z,311,5
20191008T14Z,387,8
20191008T13Z,327,8
20191008T12Z,252,7
20191008T11Z,262,8
20191008T10Z,263,7
20191008T09Z,288,7
20191008T08Z,351,8
20191008T07Z,306,8
20191008T06Z,477,7
20191008T05Z,537,8
20191008T04Z,598,8
20191008T03Z,609,7
20191008T02Z,609,8
20191008T01Z,621,8
20191008T00Z,586,7
20191007T23Z,530,8
20191007T22Z,586,7
20191007T21Z,626,8
20191007T20Z,776,8
20191007T19Z,1012,7
20191007T18Z,1012,7
20191007T17Z,1046,8
20191007T16Z,999,7
20191007T15Z,957,6
20191007T14Z,830,3
20191007T13Z,398,1
20191007T12Z,240,1
20191007T11Z,292,0
20191007T10Z,296,0
20191007T09Z,258,0
20191007T08Z,404,0
20191007T07Z,622,0
20191007T06Z,832,0
20191007T05Z,834,0
20191007T04Z,951,0
20191007T03Z,1015,0
20191007T02Z,885,0
20191007T01Z,874,0
20191007T00Z,790,0
20191006T23Z,751,0
20191006T22Z,501,0
20191006T21Z,494,0
20191006T20Z,558,0
20191006T19Z,672,0
20191006T18Z,635,0
20191006T17Z,599,0
20191006T16Z,387,0
20191006T15Z,380,1
20191006T14Z,550,0
20191006T13Z,511,1
20191006T12Z,353,0
20191006T11Z,300,0
20191006T10Z,307,1
20191006T09Z,313,1
20191006T08Z,312,0
20191006T07Z,528,0
20191006T06Z,628,0
20191006T05Z,690,0
20191006T04Z,776,0
20191006T03Z,746,1
20191006T02Z,736,1
20191006T01Z,674,0
20191006T00Z,482,0
20191005T23Z,390,0
20191005T22Z,537,1
20191005T21Z,629,0
20191005T20Z,397,1
20191005T19Z,337,1
20191005T18Z,430,2
20191005T17Z,235,3
20191005T16Z,123,5
20191005T15Z,209,5
20191005T14Z,286,7
20191005T13Z,290,7
20191005T12Z,293,6
20191005T11Z,307,6
20191005T10Z,374,6
20191005T09Z,463,5
20191005T08Z,490,5
20191005T07Z,473,5
20191005T06Z,449,5
20191005T05Z,483,6
20191005T04Z,694,5
20191005T03Z,834,6
20191005T02Z,785,5
20191005T01Z,751,7
20191005T00Z,735,5
20191004T23Z,569,3
20191004T22Z,524,3
20191004T21Z,634,3
20191004T20Z,675,2
20191004T19Z,625,3
20191004T18Z,735,3
20191004T17Z,819,3
20191004T16Z,583,3
20191004T15Z,604,4
20191004T14Z,625,7
20191004T13Z,496,6
20191004T12Z,328,7
20191004T11Z,247,8
20191004T10Z,183,7
20191004T09Z,161,7
20191004T08Z,334,7
20191004T07Z,678,3
20191004T06Z,825,2
20191004T05Z,864,2
20191004T04Z,888,1
20191004T03Z,741,0
20191004T02Z,665,0
20191004T01Z,767,1
20191004T00Z,867,0
20191003T23Z,725,0
20191003T22Z,600,0
20191003T21Z,545,0
20191003T20Z,568,0
20191003T19Z,647,0
20191003T18Z,725,1
20191003T17Z,811,1
20191003T16Z,840,2
20191003T15Z,848,0
20191003T14Z,723,0
20191003T13Z,335,0
20191003T12Z,171,1
20191003T11Z,132,0
20191003T10Z,184,1
20191003T09Z,131,0
20191003T08Z,332,0
20191003T07Z,497,1
20191003T06Z,534,0
20191003T05Z,948,0
20191003T04Z,753,0
20191003T03Z,994,0
20191003T02Z,969,0
20191003T01Z,981,0
20191003T00Z,751,0
20191002T23Z,529,0
20191002T22Z,365,0
20191002T21Z,389,0
20191002T20Z,532,0
20191002T19Z,713,0
20191002T18Z,809,0
20191002T17Z,903,0
20191002T16Z,1035,0
20191002T15Z,924,0
20191002T14Z,876,0
20191002T13Z,667,0
20191002T12Z,344,0
20191002T11Z,171,0
20191002T10Z,163,0
20191002T09Z,276,1
20191002T08Z,504,0
20191002T07Z,709,0
20191002T06Z,858,0
20191002T05Z,982,0
20191002T04Z,926,0
20191002T03Z,983,0
20191002T02Z,925,0
20191002T01Z,781,0
20191002T00Z,681,0
20191001T23Z,625,0
