,coal,natural gas,nuclear,petroleum,other,solar,hydro
20191024T22Z,620,1853,2680,0.0,1248,332,5
20191024T21Z,480,1594,2679,0.0,1202,928,0
20191024T20Z,404,1572,2681,0.0,1199,1394,0
20191024T19Z,415,1576,2679,0.0,1199,1755,0
20191024T18Z,356,1563,2680,0.0,1188,1989,0
20191024T17Z,409,1616,2681,0.0,1209,2065,0
20191024T16Z,413,1582,2684,0.0,1183,2050,0
20191024T15Z,346,1465,2691,0.0,1137,1827,0
20191024T14Z,437,1773,2678,0.0,1186,1304,0
20191024T13Z,522,2260,2681,78.0,1209,496,0
20191024T12Z,601,2377,2680,-1.0,1214,34,0
20191024T11Z,568,2320,2680,-2.0,1241,0,1
20191024T10Z,435,1961,2681,0.0,1235,0,20
20191024T09Z,331,1724,2678,-1.0,1215,0,20
20191024T08Z,237,1725,2678,-1.0,1216,0,0
20191024T07Z,237,1720,2679,0.0,1215,0,0
20191024T06Z,237,1696,2679,-2.0,1212,0,-1
20191024T05Z,240,1695,2676,0.0,1212,0,0
20191024T04Z,331,1687,2677,0.0,1229,0,0
20191024T03Z,403,1782,2676,0.0,1290,0,4
20191024T02Z,492,1831,2679,0.0,1299,0,20
20191024T01Z,600,1815,2676,0.0,1295,0,16
20191024T00Z,655,1791,2679,0.0,1275,21,0
20191023T23Z,553,1784,2678,0.0,1230,33,0
20191023T22Z,487,1775,2678,0.0,1187,508,0
20191023T21Z,451,1754,2679,0.0,1131,1295,0
20191023T20Z,405,1758,2681,0.0,1139,1825,0
20191023T19Z,319,1738,2676,0.0,1134,2085,0
20191023T18Z,318,1733,2678,0.0,1133,2135,0
20191023T17Z,320,1724,2681,0.0,1134,2155,0
20191023T16Z,334,1749,2680,0.0,1135,2154,0
20191023T15Z,324,1763,2680,0.0,1141,1930,0
20191023T14Z,362,1764,2677,0.0,1227,1401,0
20191023T13Z,505,1823,2680,0.0,1290,524,0
20191023T12Z,631,1752,2679,0.0,1295,40,0
20191023T11Z,620,1688,2677,0.0,1309,0,1
20191023T10Z,417,1657,2678,0.0,1241,0,-1
20191023T09Z,237,1561,2677,0.0,1065,0,0
20191023T08Z,236,1421,2674,0.0,997,0,0
20191023T07Z,236,1475,2676,0.0,1036,0,0
20191023T06Z,234,1569,2676,0.0,1176,0,0
20191023T05Z,235,1577,2676,-7.0,1203,0,0
20191023T04Z,261,1462,2673,0.0,1148,0,0
20191023T03Z,403,1468,2675,13.0,1134,0,0
20191023T02Z,505,1968,2678,15.0,1181,0,-1
20191023T01Z,580,2119,2683,0.0,1207,0,15
20191023T00Z,653,2111,2680,0.0,1225,26,20
20191022T23Z,653,2150,2683,0.0,1167,40,1
20191022T22Z,643,2129,2684,0.0,1163,298,0
