,natural gas,solar,hydro
20191008T07Z,277,0,
20191008T06Z,293,0,
20191008T05Z,315,0,
20191008T04Z,352,0,
20191008T03Z,366,0,
20191008T02Z,396,0,
20191008T01Z,421,0,
20191008T00Z,438,0,
20191007T23Z,443,1,
20191007T22Z,435,5,
20191007T21Z,408,7,
20191007T20Z,407,5,
20191007T19Z,397,6,
20191007T18Z,390,6,
20191007T17Z,373,9,
20191007T16Z,355,8,
20191007T15Z,342,5,
20191007T14Z,330,4,
20191007T13Z,316,2,
20191007T12Z,321,0,
20191007T11Z,320,0,
20191007T10Z,291,0,
20191007T09Z,278,0,
20191007T08Z,277,0,
20191007T07Z,287,0,
20191007T06Z,302,0,
20191007T05Z,325,0,
20191007T04Z,354,0,
20191007T03Z,362,0,
20191007T02Z,393,0,
20191007T01Z,426,0,
20191007T00Z,432,0,
20191006T23Z,444,2,
20191006T22Z,460,7,
20191006T21Z,457,8,
20191006T20Z,440,16,
20191006T19Z,426,14,
20191006T18Z,411,12,
20191006T17Z,381,14,
20191006T16Z,351,11,
20191006T15Z,331,8,
20191006T14Z,304,7,
20191006T13Z,284,1,
20191006T12Z,271,0,
20191006T11Z,287,0,
20191006T10Z,285,0,
20191006T09Z,287,0,
20191006T08Z,296,0,
20191006T07Z,306,0,
20191006T06Z,322,0,
20191006T05Z,343,0,
20191006T04Z,371,0,
20191006T03Z,376,0,
20191006T02Z,402,0,
20191006T01Z,423,0,
20191006T00Z,434,0,
20191005T23Z,453,2,
20191005T22Z,469,8,
20191005T21Z,471,11,
20191005T20Z,469,10,
20191005T19Z,455,14,
20191005T18Z,438,17,
20191005T17Z,418,14,
20191005T16Z,386,17,
20191005T15Z,350,16,
20191005T14Z,318,10,
20191005T13Z,293,4,
20191005T12Z,287,0,
20191005T11Z,298,0,
20191005T10Z,295,0,
20191005T09Z,297,0,
20191005T08Z,306,0,
20191005T07Z,325,0,
20191005T06Z,348,0,
20191005T05Z,370,0,
20191005T04Z,399,0,
20191005T03Z,412,0,
20191005T02Z,444,0,
20191005T01Z,472,0,
20191005T00Z,496,0,
20191004T23Z,520,2,
20191004T22Z,543,8,
20191004T21Z,554,10,
20191004T20Z,549,17,
20191004T19Z,535,15,
20191004T18Z,500,16,
20191004T17Z,465,16,
20191004T16Z,422,16,
20191004T15Z,398,13,
20191004T14Z,372,9,
20191004T13Z,341,3,
20191004T12Z,339,0,
20191004T11Z,324,0,
20191004T10Z,295,0,
20191004T09Z,285,0,
20191004T08Z,289,0,
20191004T07Z,309,0,
20191004T06Z,331,0,
20191004T05Z,354,0,
20191004T04Z,375,0,
20191004T03Z,408,0,
20191004T02Z,452,0,
20191004T01Z,488,0,
20191004T00Z,510,0,
20191003T23Z,527,2,
20191003T22Z,550,8,
20191003T21Z,545,13,
20191003T20Z,544,16,
20191003T19Z,521,14,
20191003T18Z,483,15,
20191003T17Z,447,16,
20191003T16Z,413,16,
20191003T15Z,376,13,
20191003T14Z,346,9,
20191003T13Z,332,3,
20191003T12Z,344,0,
20191003T11Z,314,0,
20191003T10Z,283,0,
20191003T09Z,276,0,
20191003T08Z,280,0,
20191003T07Z,293,0,
20191003T06Z,318,0,
20191003T05Z,340,0,
20191003T04Z,360,0,
20191003T03Z,396,0,
20191003T02Z,431,0,
20191003T01Z,474,0,
20191003T00Z,494,0,
20191002T23Z,510,2,
20191002T22Z,519,5,
20191002T21Z,529,13,
20191002T20Z,508,16,
20191002T19Z,495,13,
20191002T18Z,474,14,
20191002T17Z,430,16,
20191002T16Z,402,16,
20191002T15Z,367,13,
20191002T14Z,339,9,
20191002T13Z,337,4,
20191002T12Z,327,0,
20191002T11Z,300,0,
20191002T10Z,267,0,
20191002T09Z,256,0,
20191002T08Z,260,0,
20191002T07Z,275,0,
20191002T06Z,296,0,
20191002T05Z,317,0,
20191002T04Z,353,0,
20191002T03Z,388,0,
20191002T02Z,417,0,
20191002T01Z,441,0,
20191002T00Z,453,0,
20191001T23Z,468,0,
20191001T22Z,507,4,
20191001T21Z,517,10,
20191001T20Z,504,15,
20191001T19Z,493,9,
20191001T18Z,483,13,
20191001T17Z,455,11,
20191001T16Z,427,13,
20191001T15Z,394,12,
20191001T14Z,363,7,
20191001T13Z,342,3,
20191001T12Z,340,0,
20191001T11Z,320,0,
20191001T10Z,287,0,
20191001T09Z,275,0,
20191001T08Z,281,0,
20191001T07Z,293,0,
20191001T06Z,313,0,
20191001T05Z,338,0,
20191001T04Z,396,0,
20191001T03Z,416,0,
20191001T02Z,455,0,
20191001T01Z,486,0,
20191001T00Z,506,0,
20190930T23Z,527,2,
20190930T22Z,540,8,
20190930T21Z,534,13,
20190930T20Z,527,11,
20190930T19Z,508,16,
20190930T18Z,481,15,
20190930T17Z,450,16,
20190930T16Z,416,15,
20190930T15Z,379,13,
20190930T14Z,347,9,
20190930T13Z,324,3,
20190930T12Z,320,0,
20190930T11Z,324,0,
20190930T10Z,304,0,
20190930T09Z,294,0,
20190930T08Z,297,0,
20190930T07Z,307,0,
