,coal,natural gas,other,hydro
20191031T06Z,138,71,4,0
20191031T05Z,159,102,5,0
20191031T04Z,194,103,5,0
20191031T03Z,222,103,5,0
20191031T02Z,221,102,5,0
20191031T01Z,225,102,5,0
20191031T00Z,220,102,5,0
20191030T23Z,224,102,5,0
20191030T22Z,223,102,4,0
20191030T21Z,222,102,5,0
20191030T20Z,221,103,5,0
20191030T19Z,223,102,5,0
20191030T18Z,222,102,4,0
20191030T17Z,206,102,5,0
20191030T16Z,186,102,5,0
20191030T15Z,160,102,5,0
20191030T14Z,148,103,4,0
20191030T13Z,147,103,5,0
20191030T12Z,147,104,5,0
20191030T11Z,147,103,5,0
20191030T10Z,145,103,4,0
20191030T09Z,146,104,5,0
20191030T08Z,147,103,5,0
20191030T07Z,146,104,5,0
20191030T06Z,146,103,5,0
20191030T05Z,183,104,4,0
20191030T04Z,223,104,5,0
20191030T03Z,222,105,5,0
20191030T02Z,225,104,5,0
20191030T01Z,224,104,4,0
20191030T00Z,223,105,5,0
20191029T23Z,191,105,5,0
20191029T22Z,178,87,5,0
20191029T21Z,175,84,5,0
20191029T20Z,194,84,4,0
20191029T19Z,194,86,5,0
20191029T18Z,194,94,5,0
20191029T17Z,195,94,5,0
20191029T16Z,196,93,4,0
20191029T15Z,195,70,5,0
20191029T14Z,194,69,5,0
20191029T13Z,196,87,5,0
20191029T12Z,147,104,4,0
20191029T11Z,140,100,5,0
20191029T10Z,142,67,5,0
20191029T09Z,139,65,5,0
20191029T08Z,142,65,4,0
20191029T07Z,140,66,5,0
20191029T06Z,140,89,5,0
20191029T05Z,169,69,5,0
20191029T04Z,215,111,4,0
20191029T03Z,215,171,5,0
20191029T02Z,216,170,5,0
20191029T01Z,215,195,5,0
20191029T00Z,202,199,4,0
20191028T23Z,196,187,5,0
20191028T22Z,196,189,5,0
20191028T21Z,187,188,5,0
20191028T20Z,176,177,5,0
20191028T19Z,176,171,4,0
20191028T18Z,182,170,5,0
20191028T17Z,154,90,5,0
20191028T16Z,156,108,4,0
20191028T15Z,154,86,5,0
20191028T14Z,155,65,5,0
20191028T13Z,155,73,5,0
20191028T12Z,136,87,4,0
20191028T11Z,137,64,5,0
20191028T10Z,136,64,5,0
20191028T09Z,135,64,5,0
