,hydro
20191108T09-05,127
20191108T08-05,128
20191108T07-05,128
20191108T06-05,34
20191108T05-05,1
20191108T04-05,1
20191108T03-05,1
20191108T02-05,1
20191108T01-05,5
20191108T00-05,39
20191107T23-05,39
20191107T22-05,126
20191107T21-05,128
20191107T20-05,128
20191107T19-05,128
20191107T18-05,128
20191107T17-05,127
20191107T16-05,128
20191107T15-05,129
20191107T14-05,128
20191107T13-05,129
20191107T12-05,128
20191107T11-05,128
20191107T10-05,128
20191107T09-05,127
20191107T08-05,129
20191107T07-05,123
20191107T06-05,37
20191107T05-05,2
20191107T04-05,1
20191107T03-05,0
20191107T02-05,1
20191107T01-05,0
20191107T00-05,33
20191106T23-05,36
20191106T22-05,114
20191106T21-05,118
20191106T20-05,119
20191106T19-05,117
20191106T18-05,118
20191106T17-05,118
20191106T16-05,118
20191106T15-05,118
20191106T14-05,116
20191106T13-05,53
20191106T12-05,51
20191106T11-05,54
20191106T10-05,117
20191106T09-05,118
20191106T08-05,118
20191106T07-05,114
20191106T06-05,23
20191106T05-05,2
20191106T04-05,1
20191106T03-05,0
20191106T02-05,1
20191106T01-05,0
20191106T00-05,37
20191105T23-05,39
20191105T22-05,126
20191105T21-05,128
20191105T20-05,128
20191105T19-05,128
20191105T18-05,129
20191105T17-05,128
20191105T16-05,129
20191105T15-05,129
20191105T14-05,129
20191105T13-05,129
20191105T12-05,127
20191105T11-05,128
20191105T10-05,128
20191105T09-05,128
20191105T08-05,128
20191105T07-05,124
20191105T06-05,36
20191105T05-05,2
20191105T04-05,1
20191105T03-05,1
20191105T02-05,0
20191105T01-05,6
20191105T00-05,152
20191104T23-05,159
20191104T22-05,158
20191104T21-05,159
20191104T20-05,158
20191104T19-05,159
20191104T18-05,159
20191104T17-05,160
20191104T16-05,158
20191104T15-05,160
20191104T14-05,160
20191104T13-05,159
20191104T12-05,159
20191104T11-05,159
20191104T10-05,159
20191104T09-05,159
20191104T08-05,159
20191104T07-05,159
20191104T06-05,159
20191104T05-05,159
20191104T04-05,159
20191104T03-05,159
20191104T02-05,158
20191104T01-05,159
20191103T00-04,160
20191102T23-04,158
20191102T22-04,159
20191102T21-04,159
20191102T20-04,158
20191102T19-04,159
20191102T18-04,159
20191102T17-04,159
20191102T16-04,160
20191102T15-04,160
20191102T14-04,161
20191102T13-04,163
20191102T12-04,159
20191102T11-04,159
20191102T10-04,159
20191102T09-04,160
20191102T08-04,158
20191102T07-04,159
20191102T06-04,160
20191102T05-04,158
20191102T04-04,159
20191102T03-04,159
20191102T02-04,159
20191102T01-04,158
20191102T00-04,159
20191101T23-04,159
20191101T22-04,159
20191101T21-04,157
20191101T20-04,159
20191101T19-04,159
20191101T18-04,159
20191101T17-04,158
20191101T16-04,159
20191101T15-04,158
20191101T14-04,159
20191101T13-04,160
20191101T12-04,158
20191101T11-04,157
20191101T10-04,158
20191101T09-04,127
20191101T08-04,128
20191101T07-04,128
20191101T06-04,128
20191101T05-04,128
20191101T04-04,128
20191101T03-04,128
20191101T02-04,128
20191101T01-04,128
20191101T00-04,123
20191031T23-04,42
20191031T22-04,128
20191031T21-04,129
20191031T20-04,128
20191031T19-04,128
20191031T18-04,128
20191031T17-04,128
20191031T16-04,129
20191031T15-04,128
20191031T14-04,129
20191031T13-04,128
20191031T12-04,128
20191031T11-04,129
20191031T10-04,129
20191031T09-04,128
20191031T08-04,128
20191031T07-04,126
20191031T06-04,31
20191031T05-04,0
20191031T04-04,1
20191031T03-04,0
20191031T02-04,1
20191031T01-04,0
20191031T00-04,1
20191030T23-04,6
20191030T22-04,127
20191030T21-04,128
20191030T20-04,128
20191030T19-04,129
20191030T18-04,127
20191030T17-04,128
20191030T16-04,129
20191030T15-04,128
20191030T14-04,128
20191030T13-04,130
20191030T12-04,128
20191030T11-04,129
20191030T10-04,128
20191030T09-04,129
20191030T08-04,128
20191030T07-04,123
20191030T06-04,3
20191030T05-04,0
20191030T04-04,1
20191030T03-04,0
20191030T02-04,1
20191030T01-04,2
20191030T00-04,36
20191029T23-04,40
20191029T22-04,101
20191029T21-04,104
20191029T20-04,102
20191029T19-04,102
20191029T18-04,103
20191029T17-04,97
20191029T16-04,99
20191029T15-04,97
20191029T14-04,97
20191029T13-04,97
20191029T12-04,97
20191029T11-04,98
20191029T10-04,103
20191029T09-04,101
20191029T08-04,103
20191029T07-04,99
20191029T06-04,36
20191029T05-04,37
20191029T04-04,36
20191029T03-04,37
20191029T02-04,36
20191029T01-04,35
20191029T00-04,1
20191028T23-04,35
20191028T22-04,37
20191028T21-04,42
20191028T20-04,128
20191028T19-04,127
20191028T18-04,71
20191028T17-04,37
20191028T16-04,35
20191028T15-04,35
20191028T14-04,35
20191028T13-04,34
20191028T12-04,36
20191028T11-04,1
20191028T10-04,35
20191028T09-04,38
20191028T08-04,128
20191028T07-04,122
20191028T06-04,37
20191028T05-04,2
20191028T04-04,0
20191028T03-04,1
20191028T02-04,0
20191028T01-04,1
20191028T00-04,0
20191027T23-04,1
20191027T22-04,1
20191027T21-04,98
20191027T20-04,103
20191027T19-04,125
20191027T18-04,35
20191027T17-04,35
20191027T16-04,33
20191027T15-04,34
20191027T14-04,34
20191027T13-04,34
20191027T12-04,37
20191027T11-04,101
20191027T10-04,103
20191027T09-04,100
20191027T08-04,3
20191027T07-04,0
20191027T06-04,1
20191027T05-04,0
20191027T04-04,1
20191027T03-04,0
20191027T02-04,1
20191027T01-04,0
20191027T00-04,1
20191026T23-04,0
20191026T22-04,1
20191026T21-04,102
20191026T20-04,102
20191026T19-04,99
20191026T18-04,3
20191026T17-04,2
20191026T16-04,3
20191026T15-04,2
20191026T14-04,37
20191026T13-04,37
20191026T12-04,38
20191026T11-04,102
20191026T10-04,103
20191026T09-04,98
20191026T08-04,38
20191026T07-04,35
20191026T06-04,2
20191026T05-04,1
20191026T04-04,2
20191026T03-04,1
20191026T02-04,2
20191026T01-04,1
20191026T00-04,2
20191025T23-04,33
20191025T22-04,38
20191025T21-04,91
20191025T20-04,92
20191025T19-04,89
20191025T18-04,2
20191025T17-04,0
20191025T16-04,1
20191025T15-04,0
20191025T14-04,3
20191025T13-04,0
20191025T12-04,1
20191025T11-04,1
20191025T10-04,44
20191025T09-04,101
20191025T08-04,104
20191025T07-04,99
20191025T06-04,35
20191025T05-04,3
20191025T04-04,0
20191025T03-04,1
20191025T02-04,0
20191025T01-04,1
20191025T00-04,0
20191024T23-04,33
20191024T22-04,34
20191024T21-04,100
20191024T20-04,103
20191024T19-04,99
20191024T18-04,37
20191024T17-04,1
20191024T16-04,1
20191024T15-04,0
20191024T14-04,1
20191024T13-04,1
20191024T12-04,1
20191024T11-04,2
20191024T10-04,40
20191024T09-04,102
20191024T08-04,102
20191024T07-04,99
20191024T06-04,37
20191024T05-04,2
20191024T04-04,1
20191024T03-04,0
20191024T02-04,0
20191024T01-04,1
20191024T00-04,4
20191023T23-04,100
20191023T22-04,102
20191023T21-04,103
20191023T20-04,101
20191023T19-04,103
20191023T18-04,74
20191023T17-04,1
20191023T16-04,1
20191023T15-04,2
20191023T14-04,1
20191023T13-04,0
20191023T12-04,1
20191023T11-04,1
20191023T10-04,36
20191023T09-04,38
20191023T08-04,96
20191023T07-04,97
20191023T06-04,37
20191023T05-04,1
20191023T04-04,1
20191023T03-04,0
20191023T02-04,1
20191023T01-04,0
20191023T00-04,6
20191022T23-04,99
20191022T22-04,103
20191022T21-04,101
20191022T20-04,102
20191022T19-04,103
20191022T18-04,97
20191022T17-04,3
20191022T16-04,1
20191022T15-04,0
20191022T14-04,1
20191022T13-04,0
20191022T12-04,1
20191022T11-04,1
20191022T10-04,37
20191022T09-04,37
20191022T08-04,97
20191022T07-04,96
20191022T06-04,35
20191022T05-04,2
20191022T04-04,2
20191022T03-04,0
20191022T02-04,1
20191022T01-04,0
20191022T00-04,1
20191021T23-04,0
20191021T22-04,4
20191021T21-04,101
20191021T20-04,103
20191021T19-04,103
20191021T18-04,100
20191021T17-04,2
20191021T16-04,0
20191021T15-04,0
20191021T14-04,1
20191021T13-04,1
20191021T12-04,0
20191021T11-04,1
20191021T10-04,0
20191021T09-04,10
20191021T08-04,103
20191021T07-04,99
20191021T06-04,2
20191021T05-04,0
20191021T04-04,1
20191021T03-04,0
20191021T02-04,1
20191021T01-04,0
20191021T00-04,1
20191020T23-04,3
20191020T22-04,102
20191020T21-04,101
20191020T20-04,102
20191020T19-04,103
20191020T18-04,102
20191020T17-04,98
20191020T16-04,2
20191020T15-04,2
20191020T14-04,1
20191020T13-04,0
20191020T12-04,1
20191020T11-04,0
20191020T10-04,1
20191020T09-04,0
20191020T08-04,1
20191020T07-04,0
20191020T06-04,1
20191020T05-04,0
20191020T04-04,1
20191020T03-04,0
20191020T02-04,1
20191020T01-04,0
20191020T00-04,1
20191019T23-04,0
20191019T22-04,3
20191019T21-04,100
20191019T20-04,102
