,coal,natural gas,nuclear,petroleum,other,solar
20191025T03Z,1049,1125,65,0.0,12,0
20191025T02Z,1167,1246,63,0.0,13,0
20191025T01Z,1233,1446,62,0.0,12,0
20191025T00Z,1295,1484,64,0.0,13,0
20191024T23Z,1268,1403,65,0.0,13,0
20191024T22Z,1268,1470,62,0.0,13,5
20191024T21Z,1291,1492,63,0.0,13,14
20191024T20Z,1241,1412,65,0.0,12,15
20191024T19Z,1115,1463,63,0.0,12,13
20191024T18Z,955,1475,64,0.0,13,15
20191024T17Z,851,1513,64,0.0,11,14
20191024T16Z,762,1452,63,0.0,11,15
20191024T15Z,982,1293,64,0.0,12,12
20191024T14Z,850,1213,64,0.0,11,13
20191024T13Z,763,1136,63,0.0,11,4
20191024T12Z,695,1140,66,0.0,13,0
20191024T11Z,505,1206,61,0.0,12,0
20191024T10Z,392,1113,62,0.0,13,0
20191024T09Z,395,1005,65,0.0,12,0
20191024T08Z,391,983,64,0.0,13,0
20191024T07Z,388,1016,63,0.0,13,0
20191024T06Z,392,1063,63,0.0,12,0
20191024T05Z,419,1128,65,0.0,13,0
20191024T04Z,596,1115,62,0.0,12,0
20191024T03Z,754,1196,64,0.0,13,0
20191024T02Z,870,1290,63,0.0,13,0
20191024T01Z,979,1456,62,0.0,13,0
20191024T00Z,1074,1487,63,0.0,13,0
20191023T23Z,1121,1460,63,0.0,13,1
20191023T22Z,1197,1487,64,0.0,13,4
20191023T21Z,1246,1494,59,0.0,13,17
20191023T20Z,1214,1488,63,0.0,12,17
20191023T19Z,1119,1484,63,0.0,12,16
20191023T18Z,1006,1481,63,0.0,10,22
20191023T17Z,837,1418,63,0.0,6,22
20191023T16Z,830,1302,62,0.0,6,23
20191023T15Z,782,1221,62,0.0,6,18
20191023T14Z,763,1156,64,0.0,6,15
20191023T13Z,759,1080,62,0.0,6,5
20191023T12Z,651,1186,63,0.0,8,0
20191023T11Z,500,1228,61,0.0,8,0
20191023T10Z,487,1097,64,0.0,8,0
20191023T09Z,488,1047,61,0.0,7,0
20191023T08Z,487,1040,65,0.0,8,0
20191023T07Z,487,1105,62,0.0,8,0
20191023T06Z,517,1154,62,0.0,8,0
20191023T05Z,49208,1169,62,0.0,8,0
20191023T04Z,696,1294,65,0.0,8,0
20191023T03Z,937,1704,67,0.0,8,0
20191023T02Z,1119,1125,66,0.0,9,0
20191023T01Z,1182,1439,66,0.0,8,0
20191023T00Z,1176,1422,66,0.0,8,0
20191022T23Z,1217,1422,65,0.0,9,0
20191022T22Z,1293,1446,66,0.0,8,4
20191022T21Z,1295,1512,67,0.0,8,12
20191022T20Z,1285,1515,66,0.0,7,17
20191022T19Z,1290,1457,67,0.0,8,17
20191022T18Z,1234,1417,66,0.0,8,21
20191022T17Z,1091,1439,66,0.0,6,22
20191022T16Z,1156,1480,66,0.0,6,18
20191022T15Z,991,1474,68,0.0,6,17
20191022T14Z,871,1404,65,0.0,6,7
20191022T13Z,800,1361,64,0.0,6,3
20191022T12Z,759,1325,66,0.0,8,0
20191022T11Z,645,1226,67,0.0,8,0
20191022T10Z,493,1178,66,0.0,8,0
20191022T09Z,485,1078,66,0.0,7,0
20191022T08Z,484,1059,67,0.0,8,0
20191022T07Z,484,1095,65,0.0,8,0
20191022T06Z,539,1106,66,0.0,8,0
20191022T05Z,564,1203,64,0.0,8,0
20191022T04Z,704,1215,67,0.0,8,0
20191022T03Z,919,1298,67,0.0,7,0
20191022T02Z,979,1402,66,0.0,8,0
20191022T01Z,1101,1459,65,0.0,8,0
20191022T00Z,1114,1386,67,0.0,8,0
20191021T23Z,1159,1455,67,0.0,8,0
20191021T22Z,1250,1456,66,0.0,8,1
20191021T21Z,1237,1511,67,0.0,8,5
20191021T20Z,1228,1493,65,0.0,8,3
20191021T19Z,1286,1448,66,0.0,8,13
20191021T18Z,1274,1443,66,0.0,10,13
20191021T17Z,1185,1311,67,0.0,15,14
20191021T16Z,1115,1370,66,0.0,13,11
20191021T15Z,938,1372,65,0.0,13,8
20191021T14Z,848,1271,68,0.0,8,5
20191021T13Z,841,1166,66,0.0,8,1
20191021T12Z,815,1140,65,0.0,8,0
20191021T11Z,749,1011,66,0.0,8,0
20191021T10Z,583,987,67,0.0,8,0
20191021T09Z,507,958,66,0.0,7,0
20191021T08Z,464,979,65,0.0,8,0
20191021T07Z,443,1027,67,0.0,8,0
20191021T06Z,429,1108,65,0.0,8,0
20191021T05Z,520,1108,67,0.0,8,0
20191021T04Z,1250,1002,67,0.0,8,0
20191021T03Z,594,1077,67,0.0,7,0
20191021T02Z,1107,1224,66,0.0,8,0
20191021T01Z,1219,1275,65,0.0,8,0
20191021T00Z,1290,1349,65,0.0,8,0
20191020T23Z,1289,1413,67,0.0,8,0
20191020T22Z,1285,1530,67,0.0,8,6
20191020T21Z,1287,1559,65,0.0,8,12
20191020T20Z,1289,1515,66,0.0,8,14
20191020T19Z,1287,1445,67,0.0,8,14
20191020T18Z,1290,1340,66,0.0,7,14
20191020T17Z,1239,1303,66,2.0,8,17
20191020T16Z,1117,1275,65,0.0,8,14
20191020T15Z,1011,1210,67,0.0,8,13
20191020T14Z,876,1162,66,0.0,8,12
20191020T13Z,868,948,66,0.0,8,4
20191020T12Z,776,909,65,0.0,8,0
20191020T11Z,607,952,65,0.0,8,0
20191020T10Z,524,985,67,0.0,8,0
