,hydro
20191008T16Z,212
20191008T15Z,217
20191008T14Z,151
20191008T13Z,106
20191008T12Z,112
20191008T11Z,98
20191008T10Z,83
20191008T09Z,127
20191008T08Z,127
20191008T07Z,127
20191008T06Z,165
20191008T05Z,187
20191008T04Z,207
20191008T03Z,201
20191008T02Z,271
20191008T01Z,250
20191008T00Z,221
20191007T23Z,257
20191007T22Z,252
20191007T21Z,272
20191007T20Z,349
20191007T19Z,429
20191007T18Z,476
20191007T17Z,437
20191007T16Z,462
20191007T15Z,490
20191007T14Z,233
20191007T13Z,136
20191007T12Z,126
20191007T11Z,116
20191007T10Z,126
20191007T09Z,136
20191007T08Z,136
20191007T07Z,176
20191007T06Z,323
20191007T05Z,348
20191007T04Z,395
20191007T03Z,408
20191007T02Z,388
20191007T01Z,288
20191007T00Z,249
20191006T23Z,345
20191006T22Z,352
20191006T21Z,290
20191006T20Z,202
20191006T19Z,301
20191006T18Z,315
20191006T17Z,393
20191006T16Z,379
20191006T15Z,307
20191006T14Z,220
20191006T13Z,193
20191006T12Z,175
20191006T11Z,179
20191006T10Z,187
20191006T09Z,192
20191006T08Z,192
20191006T07Z,220
20191006T06Z,342
20191006T05Z,349
20191006T04Z,327
20191006T03Z,343
20191006T02Z,311
20191006T01Z,242
20191006T00Z,201
20191005T23Z,204
20191005T22Z,217
20191005T21Z,215
20191005T20Z,197
20191005T19Z,192
20191005T18Z,213
20191005T17Z,239
20191005T16Z,231
20191005T15Z,203
20191005T14Z,106
20191005T13Z,102
20191005T12Z,97
20191005T11Z,123
20191005T10Z,113
20191005T09Z,120
20191005T08Z,120
20191004T07Z,208
20191004T06Z,372
20191004T05Z,416
20191004T04Z,398
20191004T03Z,362
20191004T02Z,356
20191004T01Z,365
20191004T00Z,342
20191003T23Z,381
20191003T22Z,401
20191003T21Z,397
20191003T20Z,370
20191003T19Z,355
20191003T18Z,352
20191003T17Z,352
20191003T16Z,422
20191003T15Z,383
20191003T14Z,186
20191003T13Z,122
20191003T12Z,112
20191003T11Z,121
20191003T10Z,156
20191003T09Z,175
20191003T08Z,175
20191003T07Z,195
20191003T06Z,311
20191003T05Z,367
20191003T04Z,415
20191003T03Z,453
20191003T02Z,425
20191003T01Z,415
20191003T00Z,413
20191002T23Z,399
20191002T22Z,350
20191002T21Z,309
20191002T20Z,329
20191002T19Z,441
20191002T18Z,407
20191002T17Z,367
20191002T16Z,399
20191002T15Z,434
20191002T14Z,279
20191002T13Z,181
20191002T12Z,153
20191002T11Z,169
20191002T10Z,188
20191002T09Z,177
20191002T08Z,177
20191002T07Z,232
20191002T06Z,365
20191002T05Z,393
20191002T04Z,456
20191002T03Z,397
20191002T02Z,398
20191002T01Z,385
20191002T00Z,304
20191001T23Z,286
20191001T22Z,282
20191001T21Z,262
20191001T20Z,268
20191001T19Z,322
20191001T18Z,342
20191001T17Z,366
20191001T16Z,387
20191001T15Z,409
20191001T14Z,218
20191001T13Z,137
20191001T12Z,115
20191001T11Z,114
20191001T10Z,119
20191001T09Z,126
20191001T08Z,126
20191001T07Z,146
20191001T06Z,145
20191001T05Z,319
20191001T04Z,344
20191001T03Z,358
20191001T02Z,356
20191001T01Z,365
20191001T00Z,310
20190930T23Z,345
20190930T22Z,435
20190930T21Z,421
20190930T20Z,456
20190930T19Z,506
20190930T18Z,485
20190930T17Z,464
20190930T16Z,411
20190930T15Z,494
20190930T14Z,470
20190930T13Z,259
20190930T12Z,222
20190930T11Z,175
20190930T10Z,239
20190930T09Z,269
20190930T08Z,170
20190930T07Z,226
20190930T06Z,286
20190930T05Z,321
20190930T04Z,365
20190930T03Z,400
20190930T02Z,318
20190930T01Z,141
20190930T00Z,170
20190929T23Z,202
20190929T22Z,173
20190929T21Z,217
20190929T20Z,279
20190929T19Z,319
20190929T18Z,242
20190929T17Z,220
20190929T16Z,232
20190929T15Z,239
20190929T14Z,178
20190929T13Z,149
20190929T12Z,145
20190929T11Z,174
20190929T10Z,172
20190929T09Z,168
20190929T08Z,168
20190929T07Z,232
20190929T06Z,304
20190929T05Z,307
20190929T04Z,351
20190929T03Z,317
20190929T02Z,297
20190929T01Z,236
20190929T00Z,239
20190928T23Z,257
20190928T22Z,279
20190928T21Z,260
20190928T20Z,297
20190928T19Z,289
20190928T18Z,323
20190928T17Z,402
20190928T16Z,310
20190928T15Z,307
20190928T14Z,219
