,hydro
20191007T20-07,1077
20191007T19-07,944
20191007T18-07,817
20191007T17-07,740
20191007T16-07,698
20191007T15-07,727
20191007T14-07,541
20191007T13-07,425
20191007T12-07,515
20191007T11-07,426
20191007T10-07,461
20191007T09-07,576
20191007T08-07,788
20191007T07-07,818
20191007T06-07,578
20191007T05-07,403
20191007T04-07,322
20191007T03-07,307
20191007T02-07,307
20191007T01-07,378
20191007T00-07,389
20191006T23-07,595
20191006T22-07,680
20191006T21-07,567
20191006T20-07,554
20191006T19-07,569
20191006T18-07,681
20191006T17-07,568
20191006T16-07,485
20191006T15-07,486
20191006T14-07,487
20191006T13-07,396
20191006T12-07,296
20191006T11-07,244
20191006T10-07,246
20191006T09-07,262
20191006T08-07,447
20191006T07-07,496
20191006T06-07,332
20191006T05-07,309
20191006T04-07,307
20191006T03-07,321
20191006T02-07,483
20191006T01-07,584
20191006T00-07,778
20191005T23-07,899
20191005T22-07,944
20191005T21-07,959
20191005T20-07,756
20191005T19-07,638
20191005T18-07,613
20191005T17-07,558
20191005T16-07,501
20191005T15-07,417
20191005T14-07,412
20191005T13-07,361
20191005T12-07,362
20191005T11-07,393
20191005T10-07,741
20191005T09-07,804
20191005T08-07,768
20191005T07-07,790
20191005T06-07,580
20191005T05-07,407
20191005T04-07,371
20191005T03-07,429
20191005T02-07,325
20191005T01-07,265
20191005T00-07,370
20191004T23-07,580
20191004T22-07,997
20191004T21-07,1027
20191004T20-07,956
20191004T19-07,900
20191004T18-07,996
20191004T17-07,747
20191004T16-07,485
20191004T15-07,376
20191004T14-07,405
20191004T13-07,522
20191004T12-07,460
20191004T11-07,483
20191004T10-07,512
20191004T09-07,566
20191004T08-07,956
20191004T07-07,910
20191004T06-07,636
20191004T05-07,448
20191004T04-07,500
20191004T03-07,529
20191004T02-07,608
20191004T01-07,528
20191004T00-07,634
20191003T23-07,759
20191003T22-07,848
20191003T21-07,884
20191003T20-07,768
20191003T19-07,658
20191003T18-07,733
20191003T17-07,650
20191003T16-07,549
20191003T15-07,603
20191003T14-07,666
20191003T13-07,755
20191003T12-07,790
20191003T11-07,753
20191003T10-07,686
20191003T09-07,755
20191003T08-07,988
20191003T07-07,1037
20191003T06-07,967
20191003T05-07,901
20191003T04-07,795
20191003T03-07,860
20191003T02-07,804
20191003T01-07,833
20191003T00-07,805
20191002T23-07,706
20191002T22-07,1001
20191002T21-07,993
20191002T20-07,1065
20191002T19-07,1016
20191002T18-07,753
20191002T17-07,508
20191002T16-07,682
20191002T15-07,783
20191002T14-07,859
20191002T13-07,868
20191002T12-07,817
20191002T11-07,551
20191002T10-07,392
20191002T09-07,473
20191002T08-07,707
20191002T07-07,759
20191002T06-07,577
20191002T05-07,698
20191002T04-07,815
20191002T03-07,920
20191002T02-07,889
20191002T01-07,888
20191002T00-07,781
20191001T23-07,465
20191001T22-07,657
20191001T21-07,641
20191001T20-07,768
20191001T19-07,742
20191001T18-07,762
20191001T17-07,747
20191001T16-07,707
20191001T15-07,776
20191001T14-07,731
20191001T13-07,637
20191001T12-07,497
20191001T11-07,483
20191001T10-07,515
20191001T09-07,754
20191001T08-07,1081
20191001T07-07,1163
20191001T06-07,1012
20191001T05-07,729
20191001T04-07,661
20191001T03-07,710
20191001T02-07,729
20191001T01-07,669
20191001T00-07,705
20190930T23-07,735
20190930T22-07,1086
20190930T21-07,1184
20190930T20-07,1175
20190930T19-07,1192
20190930T18-07,1115
20190930T17-07,848
20190930T16-07,747
20190930T15-07,533
20190930T14-07,413
20190930T13-07,423
20190930T12-07,497
20190930T11-07,417
20190930T10-07,355
20190930T09-07,431
20190930T08-07,702
20190930T07-07,846
20190930T06-07,509
20190930T05-07,375
20190930T04-07,347
20190930T03-07,347
20190930T02-07,362
20190930T01-07,556
20190930T00-07,549
20190929T23-07,690
20190929T22-07,836
20190929T21-07,803
20190929T20-07,1091
20190929T19-07,897
20190929T18-07,878
20190929T17-07,707
20190929T16-07,743
20190929T15-07,583
20190929T14-07,425
20190929T13-07,372
20190929T12-07,355
20190929T11-07,423
20190929T10-07,356
20190929T09-07,349
20190929T08-07,360
20190929T07-07,518
20190929T06-07,354
20190929T05-07,381
20190929T04-07,376
20190929T03-07,473
20190929T02-07,479
20190929T01-07,408
20190929T00-07,597
20190928T23-07,412
20190928T22-07,645
20190928T21-07,738
20190928T20-07,885
20190928T19-07,978
20190928T18-07,810
20190928T17-07,506
20190928T16-07,426
20190928T15-07,501
20190928T14-07,451
20190928T13-07,457
20190928T12-07,381
20190928T11-07,356
20190928T10-07,340
20190928T09-07,350
20190928T08-07,412
20190928T07-07,566
20190928T06-07,410
20190928T05-07,357
20190928T04-07,315
20190928T03-07,321
20190928T02-07,330
20190928T01-07,243
20190928T00-07,252
20190927T23-07,332
20190927T22-07,796
20190927T21-07,686
20190927T20-07,812
20190927T19-07,849
20190927T18-07,812
20190927T17-07,833
20190927T16-07,875
20190927T15-07,703
20190927T14-07,554
20190927T13-07,647
20190927T12-07,431
20190927T11-07,394
20190927T10-07,423
20190927T09-07,544
20190927T08-07,597
20190927T07-07,753
20190927T06-07,662
20190927T05-07,657
20190927T04-07,699
20190927T03-07,560
20190927T02-07,468
20190927T01-07,399
20190927T00-07,416
20190926T23-07,736
20190926T22-07,1009
20190926T21-07,1153
20190926T20-07,1167
20190926T19-07,1154
20190926T18-07,1123
20190926T17-07,1141
20190926T16-07,970
20190926T15-07,828
20190926T14-07,791
20190926T13-07,735
20190926T12-07,718
20190926T11-07,786
20190926T10-07,697
20190926T09-07,633
20190926T08-07,607
