,coal,natural gas,nuclear,other,solar,hydro
20191026T04Z,2182,1565,7138,,0,-528
20191026T03Z,2236,1588,7146,,0,-35
20191026T02Z,2281,1611,7140,,0,600
20191026T01Z,2286,1578,7145,,0,975
20191026T00Z,2243,1584,7144,,0,1146
20191025T23Z,2211,1603,7147,,2,1102
20191025T22Z,2248,1597,7141,,35,955
20191025T21Z,2180,1583,7147,,95,694
20191025T20Z,2128,1573,7144,,179,257
20191025T19Z,1974,1549,7149,,216,196
20191025T18Z,2028,1579,7151,,262,141
20191025T17Z,1854,1531,7161,,281,67
20191025T16Z,1919,1533,7163,,239,61
20191025T15Z,2026,1544,7165,,134,94
20191025T14Z,2255,1602,7170,,76,121
20191025T13Z,2280,1628,7171,,23,450
20191025T12Z,2247,1633,7170,,0,897
20191025T11Z,2105,1619,7173,,0,301
20191025T10Z,1978,1461,7166,,-2,-1015
20191025T09Z,1744,1373,7174,,-2,-1088
20191025T08Z,1640,1348,7171,,0,-1128
20191025T07Z,1600,1352,7169,,0,-1134
20191025T06Z,1770,1354,7172,,0,-1103
20191025T05Z,1938,1504,7170,,0,-1053
20191025T04Z,2059,1531,7169,,0,-683
20191025T03Z,2201,1560,7168,,0,17
20191025T02Z,2300,1618,7171,,-1,549
20191025T01Z,2356,1623,7170,,-1,866
20191025T00Z,2366,1619,7169,,-1,1122
20191024T23Z,2368,1580,7179,,7,540
20191024T22Z,2353,1569,7170,,122,273
20191024T21Z,2190,1519,7174,,297,177
20191024T20Z,2114,1487,7170,,403,-196
20191024T19Z,1978,1492,7179,,474,-702
20191024T18Z,1951,1499,7176,,494,-777
20191024T17Z,1950,1524,7178,,498,-989
20191024T16Z,1949,1527,7180,,474,-688
20191024T15Z,1985,1539,7181,,396,-34
20191024T14Z,2080,1633,7182,,289,237
20191024T13Z,2360,1843,7183,,97,506
20191024T12Z,2372,1821,7184,,-1,1214
20191024T11Z,2265,1703,7189,,0,911
20191024T10Z,1944,1597,7181,,0,-21
20191024T09Z,1590,1582,7185,,0,-737
20191024T08Z,1315,1576,7180,,0,-825
20191024T07Z,1328,1569,7182,,0,-831
20191024T06Z,1421,1452,7183,,0,-796
20191024T05Z,1685,1457,7180,,-1,-757
20191024T04Z,1802,1485,7180,,-1,-400
20191024T03Z,1996,1517,7176,,0,216
20191024T02Z,2125,1551,7175,,-1,975
20191024T01Z,2129,1634,7171,,-1,1530
20191024T00Z,2036,1654,7178,,0,1805
20191023T23Z,2003,1628,7175,,9,1564
20191023T22Z,2006,1609,7178,,138,828
20191023T21Z,1939,1602,7178,,319,-190
20191023T20Z,1788,1612,7171,,429,-766
20191023T19Z,1546,1624,7173,,490,-855
20191023T18Z,1455,1605,7178,,509,-871
20191023T17Z,1447,1611,7173,,505,-905
20191023T16Z,1548,1609,7176,,485,-892
20191023T15Z,1662,1623,7177,,414,-476
20191023T14Z,1866,1627,7174,,293,-149
20191023T13Z,2129,1632,7178,,97,445
20191023T12Z,2127,1628,7182,,1,1237
20191023T11Z,1908,1594,7181,,0,690
20191023T10Z,1698,1588,7184,,0,-687
20191023T09Z,1448,1385,7178,,-1,-1089
20191023T08Z,1364,1426,7180,,-1,-1118
20191023T07Z,1383,1407,7179,,0,-1126
20191023T06Z,1345,1375,7177,,-1,-1087
20191023T05Z,1531,1474,7178,,0,-703
