,natural gas,solar
20191116T12-07,406,83
20191116T11-07,393,87
20191116T10-07,358,86
20191116T09-07,399,63
20191116T08-07,425,16
20191116T07-07,499,0
20191116T06-07,468,0
20191116T05-07,463,0
20191116T04-07,451,0
20191116T03-07,455,0
20191116T02-07,445,0
20191116T01-07,492,0
20191116T00-07,521,0
20191115T23-07,494,0
20191115T22-07,548,0
20191115T21-07,581,0
20191115T20-07,585,0
20191115T19-07,583,0
20191115T18-07,567,0
20191115T17-07,512,14
20191115T16-07,482,48
20191115T15-07,443,74
20191115T14-07,407,83
20191115T13-07,409,84
20191115T12-07,428,85
20191115T11-07,441,88
20191115T10-07,450,87
20191115T09-07,479,82
20191115T08-07,544,40
20191115T07-07,640,2
20191115T06-07,548,0
20191115T05-07,502,0
20191115T04-07,462,0
20191115T03-07,480,0
20191115T02-07,486,0
20191115T01-07,483,0
20191115T00-07,512,1
20191114T23-07,531,1
20191114T22-07,596,1
20191114T21-07,632,1
20191114T20-07,647,1
20191114T19-07,637,1
20191114T18-07,608,1
20191114T17-07,520,24
20191114T16-07,437,76
20191114T15-07,422,90
20191114T14-07,396,91
20191114T13-07,410,89
20191114T12-07,422,88
20191114T11-07,433,89
20191114T10-07,442,88
20191114T09-07,458,84
20191114T08-07,542,42
20191114T07-07,602,2
20191114T06-07,537,1
20191114T05-07,472,1
20191114T04-07,454,1
20191114T03-07,440,0
20191114T02-07,457,0
20191114T01-07,456,0
20191114T00-07,477,1
20191113T23-07,444,1
20191113T22-07,526,1
20191113T21-07,572,1
20191113T20-07,582,1
20191113T19-07,580,1
20191113T18-07,550,1
20191113T17-07,448,28
20191113T16-07,366,80
20191113T15-07,342,91
20191113T14-07,337,90
20191113T13-07,335,91
20191113T12-07,349,91
20191113T11-07,362,92
20191113T10-07,384,93
20191113T09-07,411,84
20191113T08-07,497,41
20191113T07-07,635,2
20191113T06-07,547,1
20191113T05-07,484,1
20191113T04-07,472,1
20191113T03-07,449,1
20191113T02-07,459,1
20191113T01-07,457,1
20191113T00-07,518,1
20191112T23-07,639,1
20191112T22-07,726,1
20191112T21-07,778,1
20191112T20-07,803,1
20191112T19-07,806,1
20191112T18-07,780,1
20191112T17-07,697,12
20191112T16-07,628,46
20191112T15-07,601,57
20191112T14-07,586,68
20191112T13-07,598,68
20191112T12-07,608,52
20191112T11-07,621,43
20191112T10-07,608,34
20191112T09-07,617,29
20191112T08-07,613,10
20191112T07-07,543,1
20191112T06-07,449,1
20191112T05-07,392,0
20191112T04-07,375,0
20191112T03-07,375,0
20191112T02-07,381,0
20191112T01-07,410,0
20191112T00-07,455,0
20191111T23-07,580,0
20191111T22-07,645,0
20191111T21-07,692,0
20191111T20-07,710,0
20191111T19-07,709,0
20191111T18-07,687,0
20191111T17-07,597,9
20191111T16-07,572,22
20191111T15-07,577,18
20191111T14-07,552,33
20191111T13-07,555,34
20191111T12-07,569,46
20191111T11-07,558,33
20191111T10-07,526,20
20191111T09-07,473,10
20191111T08-07,430,8
20191111T07-07,367,0
20191111T06-07,341,0
20191111T05-07,322,0
20191111T04-07,314,0
20191111T03-07,307,0
20191111T02-07,325,0
20191111T01-07,524,0
20191111T00-07,568,0
20191110T23-07,650,0
20191110T22-07,704,0
20191110T21-07,737,0
20191110T20-07,758,0
20191110T19-07,777,0
20191110T18-07,747,0
20191110T17-07,706,9
20191110T16-07,650,38
20191110T15-07,614,61
20191110T14-07,611,69
20191110T13-07,555,67
20191110T12-07,500,87
20191110T11-07,478,86
20191110T10-07,475,86
20191110T09-07,474,70
20191110T08-07,504,29
20191110T07-07,528,1
20191110T06-07,515,0
20191110T05-07,499,0
20191110T04-07,499,0
20191110T03-07,509,0
20191110T02-07,528,0
20191110T01-07,554,0
20191110T00-07,572,0
20191109T23-07,484,0
20191109T22-07,535,0
20191109T21-07,574,0
20191109T20-07,634,0
20191109T19-07,641,0
20191109T18-07,630,0
20191109T17-07,512,12
20191109T16-07,455,58
20191109T15-07,434,72
20191109T14-07,415,77
20191109T13-07,380,87
20191109T12-07,394,79
20191109T11-07,373,89
20191109T10-07,377,91
20191109T09-07,377,86
20191109T08-07,430,46
20191109T07-07,586,2
20191109T06-07,575,0
20191109T05-07,547,0
20191109T04-07,537,0
20191109T03-07,537,0
20191109T02-07,546,0
20191109T01-07,487,0
20191109T00-07,519,0
20191108T23-07,569,0
20191108T22-07,610,0
20191108T21-07,642,0
20191108T20-07,654,0
20191108T19-07,661,0
20191108T18-07,637,0
20191108T17-07,571,26
20191108T16-07,532,57
20191108T15-07,544,61
20191108T14-07,543,59
20191108T13-07,542,57
20191108T12-07,559,49
20191108T11-07,539,64
20191108T10-07,567,36
20191108T09-07,587,20
20191108T08-07,589,9
20191108T07-07,565,0
20191108T06-07,490,0
20191108T05-07,435,0
20191108T04-07,417,0
20191108T03-07,420,0
20191108T02-07,434,0
20191108T01-07,448,0
20191108T00-07,489,0
20191107T23-07,569,0
20191107T22-07,625,0
20191107T21-07,667,0
20191107T20-07,699,0
20191107T19-07,704,0
20191107T18-07,688,1
20191107T17-07,625,10
20191107T16-07,590,28
20191107T15-07,598,33
20191107T14-07,587,48
20191107T13-07,579,53
20191107T12-07,580,57
20191107T11-07,580,47
20191107T10-07,569,51
20191107T09-07,579,26
20191107T08-07,564,9
20191107T07-07,571,1
20191107T06-07,461,0
20191107T05-07,414,0
20191107T04-07,403,0
20191107T03-07,414,0
20191107T02-07,418,0
20191107T01-07,414,0
20191107T00-07,466,0
20191106T23-07,472,0
20191106T22-07,557,0
20191106T21-07,593,1
20191106T20-07,626,1
20191106T19-07,650,0
20191106T18-07,648,0
20191106T17-07,591,6
20191106T16-07,619,13
20191106T15-07,611,32
20191106T14-07,602,40
20191106T13-07,544,46
20191106T12-07,516,39
20191106T11-07,517,33
20191106T10-07,486,36
20191106T09-07,469,27
20191106T08-07,489,17
20191106T07-07,538,0
20191106T06-07,439,0
20191106T05-07,381,0
20191106T04-07,375,0
20191106T03-07,376,0
20191106T02-07,386,0
20191106T01-07,437,0
20191106T00-07,485,0
20191105T23-07,495,0
20191105T22-07,581,0
20191105T21-07,625,0
20191105T20-07,676,0
20191105T19-07,709,0
20191105T18-07,701,1
20191105T17-07,666,28
20191105T16-07,613,68
20191105T15-07,586,76
20191105T14-07,559,86
20191105T13-07,508,86
20191105T12-07,487,87
20191105T11-07,461,90
20191105T10-07,435,92
20191105T09-07,420,86
20191105T08-07,470,51
20191105T07-07,544,3
20191105T06-07,473,0
20191105T05-07,413,0
20191105T04-07,397,0
20191105T03-07,404,0
20191105T02-07,409,0
20191105T01-07,437,0
20191105T00-07,510,0
20191104T23-07,570,0
20191104T22-07,636,0
20191104T21-07,697,0
20191104T20-07,711,0
20191104T19-07,733,0
20191104T18-07,710,1
20191104T17-07,657,27
20191104T16-07,618,68
20191104T15-07,588,91
20191104T14-07,561,94
20191104T13-07,534,92
20191104T12-07,524,91
20191104T11-07,508,93
20191104T10-07,472,94
20191104T09-07,464,89
20191104T08-07,496,54
20191104T07-07,518,4
20191104T06-07,478,1
20191104T05-07,418,0
20191104T04-07,395,0
20191104T03-07,394,0
20191104T02-07,403,0
20191104T01-07,413,0
20191104T00-07,454,0
20191103T23-07,514,0
20191103T22-07,573,1
20191103T21-07,627,1
20191103T20-07,629,1
20191103T19-07,643,0
20191103T18-07,612,1
20191103T17-07,536,17
20191103T16-07,478,51
20191103T15-07,416,85
20191103T14-07,412,84
20191103T13-07,413,82
20191103T12-07,411,83
20191103T11-07,428,83
20191103T10-07,455,82
20191103T09-07,450,63
20191103T08-07,441,36
20191103T07-07,459,1
20191103T06-07,451,0
20191103T05-07,428,0
20191103T04-07,418,0
20191103T03-07,404,0
20191103T02-07,431,0
20191103T01-07,468,0
20191103T00-07,562,0
20191102T23-07,593,0
20191102T22-07,523,0
20191102T21-07,560,0
20191102T20-07,601,0
20191102T19-07,624,0
20191102T18-07,589,1
20191102T17-07,512,12
20191102T16-07,455,51
20191102T15-07,421,72
20191102T14-07,398,87
20191102T13-07,392,95
20191102T12-07,389,94
20191102T11-07,409,90
20191102T10-07,413,91
20191102T09-07,414,90
20191102T08-07,496,45
20191102T07-07,537,4
20191102T06-07,566,0
20191102T05-07,536,0
20191102T04-07,518,0
20191102T03-07,518,0
20191102T02-07,520,0
20191102T01-07,532,0
20191102T00-07,553,0
20191101T23-07,589,0
20191101T22-07,549,0
20191101T21-07,588,0
20191101T20-07,618,0
20191101T19-07,627,0
20191101T18-07,604,1
20191101T17-07,527,38
20191101T16-07,464,87
20191101T15-07,447,97
20191101T14-07,434,97
20191101T13-07,446,94
20191101T12-07,457,94
20191101T11-07,475,96
20191101T10-07,491,97
20191101T09-07,516,93
20191101T08-07,559,59
20191101T07-07,644,5
20191101T06-07,673,0
20191101T05-07,594,0
20191101T04-07,554,0
20191101T03-07,538,0
20191101T02-07,531,0
20191101T01-07,550,0
20191101T00-07,599,1
20191031T23-07,644,1
20191031T22-07,673,1
20191031T21-07,722,1
20191031T20-07,738,1
20191031T19-07,728,0
20191031T18-07,697,1
20191031T17-07,612,40
20191031T16-07,565,90
20191031T15-07,543,100
20191031T14-07,544,100
20191031T13-07,547,98
20191031T12-07,557,97
20191031T11-07,574,99
20191031T10-07,596,100
20191031T09-07,615,95
20191031T08-07,712,62
20191031T07-07,817,6
20191031T06-07,759,0
20191031T05-07,654,0
20191031T04-07,604,0
20191031T03-07,569,0
20191031T02-07,581,0
20191031T01-07,599,0
20191031T00-07,644,0
20191030T23-07,684,1
20191030T22-07,713,1
20191030T21-07,703,1
20191030T20-07,695,1
20191030T19-07,639,1
20191030T18-07,601,1
20191030T17-07,637,39
20191030T16-07,622,87
20191030T15-07,572,93
