,coal,natural gas,wind
20191025T13Z,1590,1092.0,157
20191025T12Z,1548,931.0,151
20191025T11Z,1391,950.0,147
20191025T10Z,1280,880.0,148
20191025T09Z,1299,784.0,147
20191025T08Z,1282,823.0,145
20191025T07Z,1283,799.0,147
20191025T06Z,1260,833.0,150
20191025T05Z,1326,927.0,147
20191025T04Z,1489,955.0,149
20191025T03Z,1608,961.0,145
20191025T02Z,1651,967.0,145
20191025T01Z,1596,983.0,151
20191025T00Z,1656,986.0,151
20191024T23Z,1647,985.0,148
20191024T22Z,1592,983.0,144
20191024T21Z,1682,986.0,149
20191024T20Z,1597,982.0,172
20191024T19Z,1552,984.0,167
20191024T18Z,1593,984.0,160
20191024T17Z,1638,981.0,163
20191024T16Z,1668,916.0,181
20191024T15Z,1716,709.0,168
20191024T14Z,1653,864.0,168
20191024T13Z,1624,953.0,164
20191024T12Z,1515,886.0,168
20191024T11Z,1246,794.0,211
20191024T10Z,1029,787.0,220
20191024T09Z,945,841.0,182
20191024T08Z,843,875.0,188
20191024T07Z,940,797.0,205
20191024T06Z,930,803.0,204
20191024T05Z,1064,808.0,213
20191024T04Z,1133,784.0,193
20191024T03Z,1362,809.0,224
20191024T02Z,1566,932.0,157
20191024T01Z,1670,956.0,144
20191024T00Z,1632,958.0,184
20191023T23Z,1613,949.0,204
20191023T22Z,1647,914.0,209
20191023T21Z,1635,948.0,296
20191023T20Z,1694,951.0,324
20191023T19Z,1660,955.0,359
20191023T18Z,1546,959.0,373
20191023T17Z,1663,907.0,270
20191023T16Z,1708,966.0,233
20191023T15Z,1678,889.0,278
20191023T14Z,1629,954.0,259
20191023T13Z,1536,817.0,310
20191023T12Z,1487,776.0,273
20191023T11Z,1318,834.0,198
20191023T10Z,1196,827.0,239
20191023T09Z,1043,853.0,250
20191023T08Z,1062,806.0,275
20191023T07Z,957,853.0,305
20191023T06Z,993,764.0,338
20191023T05Z,1143,772.0,320
20191023T04Z,1343,737.0,235
20191023T03Z,1502,870.0,172
20191023T02Z,1549,929.0,116
20191023T01Z,1579,1047.0,68
20191023T00Z,1714,1097.0,66
20191022T23Z,1536,1020.0,191
20191022T22Z,1414,1030.0,307
20191022T21Z,1354,982.0,365
20191022T20Z,1339,969.0,366
20191022T19Z,1404,907.0,355
20191022T18Z,1399,920.0,334
20191022T17Z,1482,961.0,328
20191022T16Z,1615,963.0,299
20191022T15Z,1604,968.0,282
20191022T14Z,1567,950.0,285
20191022T13Z,1567,878.0,309
20191022T12Z,1506,852.0,276
20191022T11Z,1403,822.0,264
20191022T10Z,1037,902.0,305
20191022T09Z,988,826.0,326
20191022T08Z,996,805.0,319
20191022T07Z,992,865.0,322
20191022T06Z,1093,831.0,349
20191022T05Z,1193,906.0,379
20191022T04Z,1351,904.0,397
20191022T03Z,1453,920.0,404
20191022T02Z,1617,922.0,395
20191022T01Z,1669,923.0,397
20191022T00Z,1656,923.0,411
20191021T23Z,1619,921.0,413
20191021T22Z,1694,923.0,406
20191021T21Z,1589,922.0,405
20191021T20Z,1661,923.0,395
20191021T19Z,1623,923.0,384
20191021T18Z,1544,922.0,374
20191021T17Z,1667,923.0,349
20191021T16Z,1611,917.0,373
20191021T15Z,1663,913.0,338
20191021T14Z,1615,913.0,321
20191021T13Z,1640,914.0,311
20191021T12Z,1532,876.0,297
20191021T11Z,1131,801.0,251
20191021T10Z,970,801.0,193
20191021T09Z,777,913.0,100
20191021T08Z,717,814.0,150
20191021T07Z,722,772.0,154
20191021T06Z,741,814.0,144
20191021T05Z,741,826.0,248
20191021T04Z,811,836.0,308
20191021T03Z,1096,890.0,280
20191021T02Z,1492,817.0,323
20191021T01Z,1555,888.0,266
20191021T00Z,1527,906.0,208
20191020T23Z,1503,882.0,221
20191020T22Z,1360,896.0,264
20191020T21Z,1153,848.0,366
20191020T20Z,974,819.0,368
20191020T19Z,972,741.0,357
20191020T18Z,1048,806.0,353
20191020T17Z,1121,762.0,267
20191020T16Z,1340,830.0,139
20191020T15Z,1334,809.0,167
20191020T14Z,1297,732.0,214
20191020T13Z,1239,737.0,167
20191020T12Z,928,756.0,144
20191020T11Z,813,822.0,103
20191020T10Z,756,875.0,99
20191020T09Z,752,933.0,72
20191020T08Z,791,911.0,58
20191020T07Z,968,831.0,43
20191020T06Z,1246,900.0,23
20191020T05Z,1522,911.0,9
20191020T04Z,1655,944.0,5
20191020T03Z,1693,949.0,2
20191020T02Z,1719,1139.0,11
20191020T01Z,1750,1226.0,13
20191020T00Z,1749,1197.0,20
20191019T23Z,1749,1141.0,51
20191019T22Z,1745,1102.0,70
20191019T21Z,1689,1191.0,83
20191019T20Z,1693,1119.0,105
20191019T19Z,1686,1121.0,80
20191019T18Z,1725,1088.0,55
20191019T17Z,1702,1101.0,18
20191019T16Z,1682,1105.0,0
20191019T15Z,1557,1130.0,13
20191019T14Z,1557,1060.0,27
20191019T13Z,1556,1001.0,31
20191019T12Z,1558,928.0,15
20191019T11Z,1549,857.0,35
20191019T10Z,1365,854.0,46
20191019T09Z,1097,932.0,63
20191019T08Z,966,932.0,126
20191019T07Z,821,891.0,236
20191019T06Z,802,847.0,207
20191019T05Z,958,727.0,222
20191019T04Z,1137,781.0,206
20191019T03Z,1312,845.0,236
20191019T02Z,1343,925.0,322
20191019T01Z,1581,927.0,381
20191019T00Z,1602,894.0,392
20191018T23Z,1581,925.0,406
20191018T22Z,1546,915.0,417
20191018T21Z,1512,924.0,424
20191018T20Z,1559,896.0,435
20191018T19Z,1630,918.0,424
20191018T18Z,1618,954.0,408
20191018T17Z,1681,946.0,404
20191018T16Z,1637,964.0,382
20191018T15Z,1673,948.0,376
20191018T14Z,1681,954.0,393
20191018T13Z,1703,845.0,368
20191018T12Z,1695,909.0,324
20191018T11Z,1374,815.0,310
20191018T10Z,1038,902.0,305
20191018T09Z,912,915.0,281
20191018T08Z,909,916.0,275
20191018T07Z,949,881.0,269
20191018T06Z,1054,892.0,252
20191018T05Z,1217,887.0,282
20191018T04Z,1290,909.0,296
20191018T03Z,1285,808.0,290
20191018T02Z,1296,813.0,299
20191018T01Z,1475,787.0,279
20191018T00Z,1513,729.0,204
20191017T23Z,1454,723.0,205
20191017T22Z,1445,700.0,205
20191017T21Z,1443,817.0,186
20191017T20Z,1545,885.0,171
20191017T19Z,1653,951.0,136
20191017T18Z,1675,1024.0,135
20191017T17Z,1664,986.0,115
20191017T16Z,1696,903.0,101
20191017T15Z,1704,886.0,116
20191017T14Z,1701,810.0,225
20191017T13Z,1699,755.0,256
20191017T12Z,1636,783.0,245
20191017T11Z,1568,914.0,197
20191017T10Z,1443,876.0,169
20191017T09Z,1452,880.0,114
20191017T08Z,1489,829.0,82
20191017T07Z,1479,907.0,54
20191017T06Z,1554,917.0,11
20191017T05Z,1598,920.0,6
20191017T04Z,1673,892.0,7
20191017T03Z,1940,857.0,2
20191017T02Z,2075,846.0,0
20191017T01Z,2176,981.0,0
20191017T00Z,2121,1014.0,0
20191016T23Z,2185,1002.0,0
20191016T22Z,2248,1005.0,0
20191016T21Z,2284,998.0,0
20191016T20Z,2277,993.0,4
20191016T19Z,2246,978.0,11
20191016T18Z,2237,962.0,16
20191016T17Z,2171,946.0,23
20191016T16Z,2272,838.0,63
20191016T15Z,2292,842.0,106
20191016T14Z,2224,841.0,112
20191016T13Z,2170,826.0,123
20191016T12Z,2054,826.0,141
20191016T11Z,1777,714.0,200
20191016T10Z,1523,709.0,237
20191016T09Z,1384,709.0,232
20191016T08Z,1353,701.0,287
20191016T07Z,1476,710.0,262
20191016T06Z,1554,710.0,251
20191016T05Z,1732,710.0,277
20191016T04Z,1811,708.0,331
20191016T03Z,1917,708.0,333
20191016T02Z,2020,698.0,348
20191016T01Z,1900,639.0,382
20191016T00Z,1684,809.0,326
20191015T23Z,1593,878.0,365
20191015T22Z,1573,862.0,389
20191015T21Z,1717,809.0,379
20191015T20Z,2030,853.0,370
20191015T19Z,2076,816.0,367
20191015T18Z,2043,728.0,329
20191015T17Z,2138,676.0,218
20191015T16Z,2069,675.0,198
20191015T15Z,2116,639.0,147
20191015T14Z,2165,590.0,133
20191015T13Z,2044,663.0,190
20191015T12Z,1878,683.0,202
20191015T11Z,1557,679.0,231
20191015T10Z,1327,688.0,240
20191015T09Z,1252,688.0,281
20191015T08Z,1254,689.0,325
20191015T07Z,1319,671.0,292
20191015T06Z,1382,681.0,326
20191015T05Z,1617,671.0,308
20191015T04Z,1924,695.0,238
20191015T03Z,2120,695.0,233
20191015T02Z,2127,694.0,292
20191015T01Z,2052,747.0,285
20191015T00Z,2042,780.0,214
20191014T23Z,2001,775.0,231
20191014T22Z,2028,771.0,264
20191014T21Z,2071,771.0,216
20191014T20Z,2098,771.0,166
20191014T19Z,2118,804.0,129
20191014T18Z,2123,848.0,106
20191014T17Z,2111,886.0,81
20191014T16Z,2166,885.0,41
20191014T15Z,2250,750.0,104
20191014T14Z,2179,709.0,224
20191014T13Z,2037,663.0,211
20191014T12Z,1777,646.0,165
20191014T11Z,1416,595.0,193
20191014T10Z,1357,614.0,183
20191014T09Z,1232,630.0,201
20191014T08Z,1241,622.0,183
20191014T07Z,1237,628.0,117
20191014T06Z,1245,659.0,89
20191014T05Z,1345,646.0,103
20191014T04Z,1492,661.0,87
20191014T03Z,1799,636.0,58
20191014T02Z,1968,679.0,54
20191014T01Z,1982,702.0,50
20191014T00Z,1810,681.0,29
20191013T23Z,1663,683.0,46
20191013T22Z,1626,564.0,80
20191013T21Z,1558,476.0,107
20191013T20Z,1528,478.0,116
20191013T19Z,1586,494.0,93
20191013T18Z,1676,608.0,56
20191013T17Z,1807,614.0,44
20191013T16Z,1866,596.0,32
20191013T15Z,1964,511.0,51
20191013T14Z,1856,498.0,103
20191013T13Z,1626,454.0,118
20191013T12Z,1415,406.0,110
20191013T11Z,1344,432.0,109
20191013T10Z,1174,462.0,130
20191013T09Z,1122,481.0,148
20191013T08Z,1068,482.0,176
20191013T07Z,1065,479.0,189
20191013T06Z,1064,483.0,233
20191013T05Z,1072,461.0,283
20191013T04Z,1267,497.0,221
20191013T03Z,1378,508.0,180
20191013T02Z,1503,505.0,179
20191013T01Z,1659,530.0,145
20191013T00Z,1449,537.0,188
20191012T23Z,1136,495.0,281
20191012T22Z,1062,463.0,336
20191012T21Z,1060,427.0,342
20191012T20Z,1069,414.0,345
20191012T19Z,1220,390.0,290
20191012T18Z,1455,400.0,245
20191012T17Z,1720,407.0,230
20191012T16Z,2123,420.0,78
20191012T15Z,2203,370.0,101
20191012T14Z,2051,426.0,237
20191012T13Z,1880,390.0,271
20191012T12Z,1705,390.0,272
20191012T11Z,1549,405.0,263
20191012T10Z,1339,412.0,227
20191012T09Z,1325,438.0,173
20191012T08Z,1357,449.0,148
20191012T07Z,1408,465.0,151
20191012T06Z,1524,460.0,155
20191012T05Z,1803,490.0,115
20191012T04Z,2022,515.0,79
20191012T03Z,2084,518.0,68
20191012T02Z,2093,514.0,63
20191012T01Z,2188,500.0,74
20191012T00Z,2157,492.0,163
20191011T23Z,2133,501.0,292
20191011T22Z,2009,507.0,349
20191011T21Z,1875,480.0,345
20191011T20Z,1791,433.0,348
20191011T19Z,1575,434.0,342
20191011T18Z,1499,469.0,360
20191011T17Z,1642,415.0,378
20191011T16Z,1616,492.0,375
20191011T15Z,1570,494.0,364
20191011T14Z,1413,485.0,330
20191011T13Z,1537,514.0,320
20191011T12Z,1336,509.0,345
20191011T11Z,1173,425.0,352
20191011T10Z,1034,458.0,340
20191011T09Z,1022,428.0,382
20191011T08Z,1021,431.0,336
20191011T07Z,1012,426.0,357
20191011T06Z,1021,419.0,357
20191011T05Z,1017,428.0,342
20191011T04Z,1074,428.0,346
20191011T03Z,1209,483.0,349
20191011T02Z,1352,488.0,372
