,natural gas,other,solar,hydro
20191025T01Z,96,507,16,26
20191025T00Z,48,505,82,24
20191024T23Z,49,503,122,24
20191024T22Z,59,505,89,27
20191024T21Z,50,498,98,27
20191024T20Z,58,458,91,29
20191024T19Z,39,448,92,30
20191024T18Z,58,451,132,34
20191024T17Z,57,451,130,31
20191024T16Z,58,491,97,27
20191024T15Z,55,517,25,29
20191024T14Z,58,510,0,27
20191024T13Z,60,511,0,28
20191024T12Z,59,513,0,29
20191024T11Z,59,506,0,27
20191024T10Z,59,507,0,29
20191024T09Z,56,509,0,27
20191024T08Z,63,510,0,29
20191024T07Z,76,511,0,27
20191024T06Z,75,511,0,26
20191024T05Z,82,505,0,27
20191024T04Z,116,506,0,25
20191024T03Z,146,502,0,25
20191024T02Z,148,504,0,26
20191024T01Z,145,502,16,25
20191024T00Z,78,500,91,24
20191023T23Z,59,498,132,27
20191023T22Z,58,499,144,29
20191023T21Z,58,502,142,29
20191023T20Z,57,465,137,31
20191023T19Z,55,443,134,31
20191023T18Z,57,439,129,30
20191023T17Z,40,443,121,27
20191023T16Z,40,487,100,25
20191023T15Z,47,520,26,25
20191023T14Z,56,517,0,25
20191023T13Z,54,521,0,25
20191023T12Z,43,515,0,23
20191023T11Z,43,517,0,25
20191023T10Z,49,516,0,23
20191023T09Z,59,511,0,23
20191023T08Z,72,514,0,25
20191023T07Z,71,520,0,23
20191023T06Z,85,505,0,24
20191023T05Z,99,503,0,24
20191023T04Z,120,501,0,21
20191023T03Z,128,499,0,23
20191023T02Z,136,458,1,25
20191023T01Z,137,494,19,23
20191023T00Z,115,480,94,24
20191022T23Z,67,467,134,24
20191022T22Z,59,481,145,21
20191022T21Z,56,474,143,26
20191022T20Z,51,449,148,24
20191022T19Z,52,411,145,23
20191022T18Z,64,432,147,23
20191022T17Z,53,461,131,23
20191022T16Z,45,498,102,23
20191022T15Z,50,523,26,25
20191022T14Z,43,519,0,24
20191022T13Z,56,514,0,27
20191022T12Z,58,490,0,23
20191022T11Z,58,487,0,25
20191022T10Z,59,512,0,24
20191022T09Z,59,520,0,20
20191022T08Z,59,516,0,24
20191022T07Z,56,513,0,23
20191022T06Z,76,510,0,21
20191022T05Z,127,513,0,22
20191022T04Z,148,506,0,23
20191022T03Z,149,510,0,21
20191022T02Z,138,506,0,23
20191022T01Z,130,513,18,23
20191022T00Z,60,501,88,21
20191021T23Z,59,508,130,21
20191021T22Z,58,505,136,23
20191021T21Z,59,510,141,22
20191021T20Z,57,510,139,21
20191021T19Z,56,461,136,21
20191021T18Z,45,442,123,21
20191021T17Z,45,445,124,22
20191021T16Z,50,474,94,22
20191021T15Z,56,523,27,23
20191021T14Z,55,526,0,22
20191021T13Z,58,520,0,25
20191021T12Z,53,519,0,25
20191021T11Z,48,526,0,24
20191021T10Z,49,522,0,22
20191021T09Z,41,522,0,20
20191021T08Z,48,523,0,19
20191021T07Z,40,517,0,21
20191021T06Z,82,512,0,18
20191021T05Z,104,510,0,21
20191021T04Z,145,495,0,19
20191021T03Z,146,496,0,19
20191021T02Z,137,499,0,18
20191021T01Z,101,497,20,18
20191021T00Z,52,500,97,21
20191020T23Z,58,496,139,17
20191020T22Z,52,491,148,17
20191020T21Z,46,464,151,17
20191020T20Z,58,460,150,17
20191020T19Z,58,435,148,17
20191020T18Z,59,411,143,17
20191020T17Z,56,441,135,18
20191020T16Z,57,490,102,17
