,coal,natural gas,petroleum,other,solar
20191026T07Z,185,1824,0,247,0
20191026T06Z,185,1921,0,246,0
20191026T05Z,185,2020,0,246,0
20191026T04Z,185,2204,0,249,0
20191026T03Z,185,2226,0,318,0
20191026T02Z,185,2294,0,462,0
20191026T01Z,185,2325,0,590,0
20191026T00Z,226,2465,0,646,0
20191025T23Z,313,2537,0,645,2
20191025T22Z,315,2511,0,648,139
20191025T21Z,315,2634,0,644,180
20191025T20Z,314,2766,0,643,169
20191025T19Z,283,2708,0,641,221
20191025T18Z,187,2620,0,641,264
20191025T17Z,185,2494,0,646,241
20191025T16Z,185,2330,0,642,245
20191025T15Z,185,2039,0,600,236
20191025T14Z,185,1799,0,486,272
20191025T13Z,185,1836,0,351,116
20191025T12Z,185,1990,0,268,3
20191025T11Z,185,1997,0,263,0
20191025T10Z,185,1835,0,271,0
20191025T09Z,186,1727,0,267,0
20191025T08Z,185,1727,0,265,0
20191025T07Z,185,1751,0,272,0
20191025T06Z,185,1838,0,276,0
20191025T05Z,185,1996,0,274,0
20191025T04Z,185,2192,0,277,0
20191025T03Z,185,2299,0,343,0
20191025T02Z,205,2418,0,480,0
20191025T01Z,281,2355,0,608,0
20191025T00Z,305,2634,0,662,0
20191024T23Z,344,2756,0,662,8
20191024T22Z,433,2701,0,661,103
20191024T21Z,436,2719,0,660,216
20191024T20Z,435,2627,0,660,270
20191024T19Z,435,2503,0,661,280
20191024T18Z,443,2386,0,653,248
20191024T17Z,480,2149,0,651,217
20191024T16Z,480,1710,1,651,234
20191024T15Z,480,1463,1,601,224
20191024T14Z,481,1262,0,486,277
20191024T13Z,451,1381,0,347,116
20191024T12Z,340,1635,0,263,4
20191024T11Z,313,1650,0,261,0
20191024T10Z,268,1488,0,261,0
20191024T09Z,248,1375,0,261,0
20191024T08Z,189,1442,0,257,0
20191024T07Z,185,1495,0,253,0
20191024T06Z,185,1589,0,253,0
20191024T05Z,185,1722,0,252,0
20191024T04Z,185,1904,0,256,0
20191024T03Z,185,1997,0,320,0
20191024T02Z,185,2135,0,472,0
20191024T01Z,185,2124,0,610,0
20191024T00Z,185,2253,0,670,0
20191023T23Z,185,2264,0,671,16
20191023T22Z,185,2220,0,670,167
20191023T21Z,185,2148,0,670,243
20191023T20Z,185,1978,0,663,322
20191023T19Z,185,1818,0,650,344
20191023T18Z,185,1650,0,648,344
20191023T17Z,185,1584,0,636,344
20191023T16Z,185,1418,0,642,344
20191023T15Z,185,1317,0,592,342
20191023T14Z,185,1359,0,471,295
20191023T13Z,185,1559,0,331,116
20191023T12Z,185,1780,0,244,4
20191023T11Z,185,1790,0,243,0
20191023T10Z,185,1628,0,245,0
20191023T09Z,186,1564,0,246,0
20191023T08Z,185,1586,0,249,0
20191023T07Z,185,1686,0,250,0
20191023T06Z,185,1808,0,248,0
20191023T05Z,185,1924,0,251,0
20191023T04Z,185,2112,0,255,0
20191023T03Z,185,2233,0,314,0
20191023T02Z,185,2421,0,465,0
20191023T01Z,206,2723,0,582,0
20191023T00Z,312,2844,0,650,0
20191022T23Z,320,2899,0,652,19
20191022T22Z,320,2853,0,649,179
20191022T21Z,320,2836,0,653,290
20191022T20Z,320,2853,0,656,261
20191022T19Z,320,2709,0,657,282
20191022T18Z,257,2618,0,659,311
20191022T17Z,185,2492,0,656,297
20191022T16Z,185,2130,0,656,312
20191022T15Z,185,1930,0,603,279
20191022T14Z,185,1952,0,492,95
20191022T13Z,185,1936,0,331,38
20191022T12Z,185,2030,0,269,1
20191022T11Z,185,2008,0,266,0
20191022T10Z,185,1808,0,263,0
20191022T09Z,185,1668,0,262,0
20191022T08Z,185,1651,0,260,0
20191022T07Z,185,1667,0,264,0
20191022T06Z,185,1731,0,269,0
20191022T05Z,185,1868,0,268,0
20191022T04Z,185,2057,0,268,0
20191022T03Z,185,2144,0,334,0
20191022T02Z,185,2315,0,355,0
20191022T01Z,231,2508,0,352,0
20191022T00Z,315,2735,0,354,0
20191021T23Z,315,2699,0,352,18
20191021T22Z,315,2619,0,346,81
20191021T21Z,315,2568,0,347,139
20191021T20Z,315,2611,0,345,145
20191021T19Z,277,2614,0,342,152
20191021T18Z,228,2395,0,363,222
20191021T17Z,185,2146,0,661,209
20191021T16Z,185,1890,0,688,205
20191021T15Z,185,1758,0,648,227
20191021T14Z,185,1666,0,480,244
20191021T13Z,218,1792,0,340,47
20191021T12Z,300,1818,0,258,2
20191021T11Z,259,1813,0,253,0
20191021T10Z,185,1705,0,253,0
20191021T09Z,185,1570,0,251,0
20191021T08Z,185,1537,0,251,0
20191021T07Z,185,1570,0,256,0
20191021T06Z,185,1650,0,254,0
20191021T05Z,185,1804,0,253,0
20191021T04Z,185,1964,0,255,0
20191021T03Z,185,2048,0,321,0
20191021T02Z,185,2204,0,467,0
20191021T01Z,185,2368,0,592,0
20191021T00Z,185,2545,0,653,0
20191020T23Z,185,2617,0,654,25
20191020T22Z,185,2632,0,649,182
20191020T21Z,185,2598,0,656,287
20191020T20Z,185,2495,0,653,314
20191020T19Z,185,2423,0,650,310
20191020T18Z,185,2305,0,654,311
20191020T17Z,185,2119,0,653,296
20191020T16Z,185,1926,0,645,308
20191020T15Z,185,1724,0,593,297
20191020T14Z,185,1588,0,472,285
20191020T13Z,185,1528,0,339,126
20191020T12Z,185,1572,0,272,3
20191020T11Z,185,1602,0,265,0
20191020T10Z,185,1579,0,266,0
20191020T09Z,185,1597,0,265,0
20191020T08Z,185,1645,0,263,0
20191020T07Z,185,1718,0,266,0
20191020T06Z,185,1826,0,268,0
20191020T05Z,185,1962,0,261,0
20191020T04Z,185,2081,0,264,0
20191020T03Z,185,2093,0,318,0
20191020T02Z,185,2124,0,463,0
20191020T01Z,185,2044,0,584,0
20191020T00Z,185,2129,0,642,0
20191019T23Z,185,2132,0,645,16
20191019T22Z,185,2162,0,649,50
20191019T21Z,185,2141,0,647,149
20191019T20Z,222,2043,0,645,176
20191019T19Z,186,1964,0,637,199
20191019T18Z,186,1769,0,640,292
20191019T17Z,243,1750,0,639,250
20191019T16Z,204,1773,0,638,152
20191019T15Z,220,1749,0,591,34
20191019T14Z,194,1755,0,459,18
20191019T13Z,185,1742,0,315,1
20191019T12Z,185,1732,0,253,0
20191019T11Z,185,1717,0,248,0
20191019T10Z,185,1662,0,253,0
20191019T09Z,185,1629,0,251,0
20191019T08Z,185,1633,0,254,0
20191019T07Z,185,1636,0,257,0
20191019T06Z,178,1681,0,259,0
20191019T05Z,181,1745,0,263,0
20191019T04Z,185,1860,0,267,0
20191019T03Z,209,1834,0,322,0
20191019T02Z,224,1787,0,470,0
20191019T01Z,185,1723,0,592,0
20191019T00Z,185,1748,0,654,0
20191018T23Z,185,1731,0,657,0
20191018T22Z,185,1711,0,650,5
20191018T21Z,185,1684,0,652,21
20191018T20Z,185,1661,0,648,26
20191018T19Z,185,1614,0,649,63
20191018T18Z,185,1574,0,651,92
20191018T17Z,185,1629,0,648,105
20191018T16Z,185,1591,0,646,108
20191018T15Z,185,1542,0,605,102
20191018T14Z,203,1582,0,499,52
20191018T13Z,250,1631,0,352,14
20191018T12Z,250,1737,0,281,1
20191018T11Z,222,1751,0,277,0
20191018T10Z,185,1620,0,276,0
20191018T09Z,185,1531,0,275,0
20191018T08Z,185,1533,0,279,0
20191018T07Z,185,1586,0,280,0
20191018T06Z,185,1673,0,281,0
20191018T05Z,185,1783,0,281,0
20191018T04Z,185,1957,0,279,0
20191018T03Z,185,2053,0,338,0
20191018T02Z,185,2179,0,488,0
20191018T01Z,185,2343,0,600,0
20191018T00Z,185,2486,0,656,0
20191017T23Z,185,2533,0,658,8
20191017T22Z,185,2590,0,659,92
20191017T21Z,185,2601,0,657,190
20191017T20Z,185,2572,0,649,242
20191017T19Z,185,2492,0,643,261
20191017T18Z,185,2345,0,640,302
20191017T17Z,185,2117,0,639,305
20191017T16Z,185,1886,0,641,300
20191017T15Z,185,1691,0,584,313
20191017T14Z,185,1682,0,460,228
20191017T13Z,185,1746,0,326,125
20191017T12Z,185,1939,0,241,6
20191017T11Z,185,1964,0,244,0
20191017T10Z,185,1793,0,243,0
20191017T09Z,185,1698,0,238,0
20191017T08Z,185,1685,0,240,0
20191017T07Z,185,1719,0,243,0
20191017T06Z,185,1815,0,247,0
20191017T05Z,185,1973,0,246,0
20191017T04Z,185,2174,0,246,0
20191017T03Z,185,2256,0,318,0
