,coal,natural gas,nuclear,petroleum,other,solar,hydro,wind
20191025T12-07,322.0,3062,2656,,-4,629,0.0,
20191025T11-07,321.0,3030,2659,,-4,649,1.0,
20191025T10-07,321.0,3187,2660,,0,637,1.0,
20191025T09-07,321.0,3335,2665,,-1,509,1.0,
20191025T08-07,321.0,3977,2667,,0,158,-1.0,
20191025T07-07,322.0,3997,2668,,0,0,0.0,
20191025T06-07,324.0,3440,2662,,0,-2,1.0,
20191025T05-07,324.0,3319,2658,,-10,-2,0.0,
20191025T04-07,325.0,3191,2664,,-8,-1,0.0,
20191025T03-07,324.0,3218,2662,,0,-1,0.0,
20191025T02-07,325.0,3294,2663,,0,-3,0.0,
20191025T01-07,325.0,3393,2662,,-2,-1,2.0,
20191025T00-07,324.0,3868,2660,,-7,-2,0.0,
