,solar,hydro,wind
20191023T15Z,0,25,27
20191023T14Z,0,43,72
20191023T13Z,0,27,96
20191023T12Z,0,56,49
20191023T11Z,0,56,34
20191023T10Z,0,55,87
20191023T09Z,0,35,150
20191023T08Z,0,12,204
20191023T07Z,0,20,313
20191023T06Z,0,4,432
20191023T05Z,0,5,498
20191023T04Z,0,7,501
20191023T03Z,0,5,614
20191023T02Z,0,5,621
20191023T01Z,0,5,636
20191023T00Z,0,11,602
20191022T23Z,0,30,560
20191022T22Z,0,24,606
20191022T21Z,0,10,625
20191022T20Z,0,8,627
20191022T19Z,0,13,679
20191022T18Z,0,31,654
20191022T17Z,0,6,608
20191022T16Z,0,5,541
20191022T15Z,0,38,570
20191022T14Z,0,23,640
20191022T13Z,0,4,704
20191022T12Z,0,4,639
20191022T11Z,0,15,643
20191022T10Z,0,45,632
20191022T09Z,0,56,572
20191022T08Z,0,55,461
20191022T07Z,0,41,523
20191022T06Z,0,19,591
20191022T05Z,0,5,559
20191022T04Z,0,5,497
20191022T03Z,0,5,493
20191022T02Z,0,5,404
20191022T01Z,0,6,370
20191022T00Z,0,24,279
20191021T23Z,0,40,316
20191021T22Z,0,53,422
20191021T21Z,0,50,513
20191021T20Z,0,42,548
20191021T19Z,0,31,479
20191021T18Z,0,53,348
20191021T17Z,0,54,355
20191021T16Z,0,49,449
20191021T15Z,0,6,513
20191021T14Z,0,45,477
20191021T13Z,0,50,545
20191021T12Z,0,36,588
20191021T11Z,0,12,570
20191021T10Z,0,13,607
20191021T09Z,0,6,554
20191021T08Z,0,10,495
20191021T07Z,0,5,532
20191021T06Z,0,5,676
20191021T05Z,0,13,671
20191021T04Z,0,25,584
20191021T03Z,0,30,320
20191021T02Z,0,30,113
20191021T01Z,0,35,26
20191021T00Z,0,30,66
20191020T23Z,0,30,79
20191020T22Z,0,29,133
20191020T21Z,0,30,152
20191020T20Z,0,29,104
20191020T19Z,0,30,23
20191020T18Z,0,30,69
20191020T17Z,0,30,185
20191020T16Z,0,30,221
20191020T15Z,0,30,221
20191020T14Z,0,28,254
20191020T13Z,0,30,330
20191020T12Z,0,18,389
20191020T11Z,0,27,483
20191020T10Z,0,36,555
20191020T09Z,0,23,698
20191020T08Z,0,29,690
20191020T07Z,0,18,752
20191020T06Z,0,42,691
20191020T05Z,0,45,709
20191020T04Z,0,19,874
20191020T03Z,0,41,914
20191020T02Z,0,42,843
20191020T01Z,0,45,917
20191020T00Z,0,41,938
20191019T23Z,0,45,936
20191019T22Z,0,45,943
20191019T21Z,0,45,948
20191019T20Z,0,44,950
20191019T19Z,0,29,1112
20191019T18Z,0,30,945
20191019T17Z,0,30,947
20191019T16Z,0,9,865
20191019T15Z,0,54,568
20191019T14Z,0,51,463
20191019T13Z,0,5,379
20191019T12Z,0,32,268
20191019T11Z,0,21,205
20191019T10Z,0,55,115
20191019T09Z,0,55,87
20191019T08Z,0,55,123
20191019T07Z,0,45,185
20191019T06Z,0,45,150
20191019T05Z,0,50,257
20191019T04Z,0,49,237
20191019T03Z,0,50,243
20191019T02Z,0,50,361
20191019T01Z,0,49,462
20191019T00Z,0,50,547
20191018T23Z,0,24,542
20191018T22Z,0,11,618
20191018T21Z,0,8,586
20191018T20Z,0,10,604
20191018T19Z,0,10,654
20191018T18Z,0,5,659
20191018T17Z,0,36,462
20191018T16Z,0,49,452
20191018T15Z,0,21,503
20191018T14Z,0,22,545
20191018T13Z,0,39,621
20191018T12Z,0,31,648
20191018T11Z,0,4,697
20191018T10Z,0,39,648
20191018T09Z,0,22,807
20191018T08Z,0,17,846
20191018T07Z,0,22,870
20191018T06Z,0,10,721
20191018T05Z,0,35,564
20191018T04Z,0,37,503
20191018T03Z,0,19,675
20191018T02Z,0,5,585
20191018T01Z,0,7,739
20191018T00Z,0,23,762
20191017T23Z,0,25,802
20191017T22Z,0,25,839
20191017T21Z,0,32,835
20191017T20Z,0,35,786
20191017T19Z,0,29,1342
