,coal,natural gas,solar,wind
20191128T21-07,714,117.0,0.0,14.0
20191128T20-07,674,169.0,0.0,16.0
20191128T19-07,674,170.0,0.0,25.0
20191128T18-07,675,188.0,0.0,19.0
20191128T17-07,674,157.0,2.0,12.0
20191128T16-07,639,147.0,29.0,14.0
20191128T15-07,639,117.0,54.0,7.0
20191128T14-07,638,151.0,55.0,5.0
20191128T13-07,658,167.0,57.0,12.0
20191128T12-07,708,113.0,67.0,22.0
20191128T11-07,620,148.0,83.0,20.0
20191128T10-07,644,118.0,83.0,25.0
20191128T09-07,699,81.0,32.0,48.0
20191128T08-07,725,67.0,14.0,40.0
20191128T07-07,725,40.0,0.0,47.0
20191128T06-07,725,-6.0,0.0,41.0
20191128T05-07,724,-33.0,0.0,30.0
20191128T04-07,723,-74.0,0.0,55.0
20191128T03-07,724,-86.0,0.0,66.0
20191128T02-07,724,-82.0,0.0,68.0
20191128T01-07,654,19.0,0.0,62.0
20191128T00-07,655,38.0,0.0,73.0
20191127T23-07,655,122.0,0.0,48.0
20191127T22-07,725,136.0,0.0,27.0
20191127T21-07,724,193.0,0.0,15.0
20191127T20-07,724,215.0,0.0,31.0
20191127T19-07,724,263.0,0.0,9.0
20191127T18-07,725,297.0,0.0,4.0
20191127T17-07,595,389.0,0.0,6.0
20191127T16-07,645,299.0,3.0,16.0
20191127T15-07,704,201.0,11.0,18.0
20191127T14-07,724,143.0,27.0,18.0
20191127T13-07,723,158.0,31.0,12.0
20191127T12-07,723,122.0,51.0,7.0
20191127T11-07,724,169.0,46.0,5.0
20191127T10-07,724,154.0,47.0,8.0
20191127T09-07,724,160.0,46.0,14.0
20191127T08-07,714,232.0,16.0,17.0
20191127T07-07,714,253.0,0.0,12.0
20191127T06-07,714,171.0,0.0,13.0
20191127T05-07,714,95.0,0.0,11.0
20191127T04-07,715,45.0,0.0,13.0
20191127T03-07,714,30.0,0.0,12.0
20191127T02-07,713,30.0,0.0,14.0
20191127T01-07,715,28.0,0.0,28.0
20191127T00-07,715,37.0,0.0,44.0
20191126T23-07,714,81.0,0.0,44.0
20191126T22-07,715,174.0,0.0,27.0
20191126T21-07,715,250.0,0.0,4.0
20191126T20-07,675,271.0,0.0,49.0
20191126T19-07,674,277.0,0.0,51.0
20191126T18-07,675,289.0,0.0,38.0
20191126T17-07,674,181.0,7.0,38.0
20191126T16-07,605,55.0,100.0,60.0
20191126T15-07,605,-86.0,151.0,79.0
20191126T14-07,644,-151.0,156.0,59.0
20191126T13-07,595,-116.0,155.0,71.0
20191126T12-07,595,-115.0,149.0,75.0
20191126T11-07,596,-74.0,146.0,61.0
20191126T10-07,595,-3.0,129.0,59.0
20191126T09-07,655,54.0,76.0,54.0
20191126T08-07,724,84.0,19.0,75.0
20191126T07-07,724,97.0,0.0,77.0
20191126T06-07,712,20.0,0.0,78.0
20191126T05-07,595,51.0,0.0,79.0
20191126T04-07,595,5.0,0.0,79.0
20191126T03-07,595,-11.0,0.0,77.0
20191126T02-07,595,3.0,0.0,73.0
20191126T01-07,684,-71.0,0.0,73.0
20191126T00-07,686,-45.0,0.0,74.0
20191125T23-07,685,14.0,0.0,66.0
20191125T22-07,684,75.0,0.0,78.0
20191125T21-07,685,141.0,0.0,76.0
20191125T20-07,684,193.0,0.0,62.0
20191125T19-07,684,235.0,0.0,46.0
20191125T18-07,685,225.0,0.0,67.0
20191125T17-07,724,99.0,3.0,73.0
20191125T16-07,654,43.0,64.0,70.0
