,coal
20181016T05Z,762
20181016T04Z,944
20181016T03Z,1319
20181016T02Z,1339
20181016T01Z,1340
20181016T00Z,1347
20181015T23Z,1344
20181015T22Z,1338
20181015T21Z,1331
20181015T20Z,1503
20181015T19Z,1517
20181015T18Z,1524
20181015T17Z,1526
20181015T16Z,1521
20181015T15Z,1514
20181015T14Z,1514
20181015T13Z,1502
20181015T12Z,1456
20181015T11Z,1130
20181015T10Z,850
20181015T09Z,841
20181015T08Z,850
20181015T07Z,849
20181015T06Z,855
20181015T05Z,850
20181015T04Z,858
20181015T03Z,815
20181015T02Z,765
20181015T01Z,758
20181015T00Z,761
20181014T23Z,761
20181014T22Z,757
20181014T21Z,761
20181014T20Z,759
20181014T19Z,760
20181014T18Z,749
20181014T17Z,719
20181014T16Z,716
20181014T15Z,719
20181014T14Z,711
20181014T13Z,716
20181014T12Z,717
20181014T11Z,718
20181014T10Z,717
20181014T09Z,717
20181014T08Z,720
20181014T07Z,711
20181014T06Z,714
20181014T05Z,718
20181014T04Z,671
20181014T03Z,634
20181014T02Z,629
20181014T01Z,628
20181014T00Z,626
20181013T23Z,624
20181013T22Z,628
20181013T21Z,625
20181013T20Z,625
20181013T19Z,619
20181013T18Z,622
20181013T17Z,619
20181013T16Z,613
20181013T15Z,611
20181013T14Z,614
20181013T13Z,602
20181013T12Z,613
20181013T11Z,612
20181013T10Z,597
20181013T09Z,612
20181013T08Z,609
20181013T07Z,609
20181013T06Z,608
20181013T05Z,614
20181013T04Z,718
20181013T03Z,905
20181013T02Z,980
20181013T01Z,989
20181013T00Z,985
20181012T23Z,983
20181012T22Z,991
20181012T21Z,980
20181012T20Z,976
20181012T19Z,979
20181012T18Z,980
20181012T17Z,981
20181012T16Z,977
20181012T15Z,970
20181012T14Z,984
20181012T13Z,1010
20181012T12Z,921
20181012T11Z,703
20181012T10Z,557
20181012T09Z,546
20181012T08Z,550
20181012T07Z,550
20181012T06Z,557
20181012T05Z,542
20181012T04Z,775
20181012T03Z,1115
20181012T02Z,1156
20181012T01Z,1178
20181012T00Z,1192
20181011T23Z,1190
20181011T22Z,1185
20181011T21Z,1185
20181011T20Z,1189
20181011T19Z,1185
20181011T18Z,1167
20181011T17Z,1170
20181011T16Z,1148
20181011T15Z,1151
20181011T14Z,1162
20181011T13Z,1158
20181011T12Z,1124
20181011T11Z,863
20181011T10Z,603
20181011T09Z,606
20181011T08Z,595
20181011T07Z,600
20181011T06Z,606
20181011T05Z,627
20181011T04Z,836
20181011T03Z,1087
20181011T02Z,1157
20181011T01Z,1170
20181011T00Z,1153
20181010T23Z,1130
20181010T22Z,1140
20181010T21Z,1133
20181010T20Z,1067
20181010T19Z,1032
20181010T18Z,1022
20181010T17Z,1039
20181010T16Z,1123
20181010T15Z,1130
20181010T14Z,1115
20181010T13Z,1110
20181010T12Z,1106
20181010T11Z,829
20181010T10Z,538
20181010T09Z,545
20181010T08Z,527
20181010T07Z,527
20181010T06Z,520
20181010T05Z,535
20181010T04Z,756
20181010T03Z,1082
20181010T02Z,1072
20181010T01Z,1079
20181010T00Z,1069
20181009T23Z,1072
20181009T22Z,1068
20181009T21Z,1058
20181009T20Z,1054
20181009T19Z,1057
20181009T18Z,1062
20181009T17Z,1059
20181009T16Z,1022
20181009T15Z,1007
20181009T14Z,1010
20181009T13Z,981
20181009T12Z,938
20181009T11Z,668
20181009T10Z,428
20181009T09Z,430
20181009T08Z,421
20181009T07Z,418
20181009T06Z,428
20181009T05Z,419
20181009T04Z,707
20181009T03Z,973
20181009T02Z,977
20181009T01Z,984
20181009T00Z,981
20181008T23Z,985
20181008T22Z,991
20181008T21Z,984
20181008T20Z,991
20181008T19Z,982
20181008T18Z,987
20181008T17Z,985
20181008T16Z,977
20181008T15Z,982
20181008T14Z,968
20181008T13Z,970
20181008T12Z,958
20181008T11Z,660
20181008T10Z,428
20181008T09Z,433
20181008T08Z,437
20181008T07Z,433
20181008T06Z,435
20181008T05Z,442
20181008T04Z,648
20181008T03Z,971
20181008T02Z,970
20181008T01Z,970
20181008T00Z,977
20181007T23Z,973
20181007T22Z,962
20181007T21Z,973
20181007T20Z,975
20181007T19Z,976
