,natural gas,hydro
20191210T16-08,111,14.0
20191210T15-08,101,14.0
20191210T14-08,110,14.0
20191210T13-08,122,14.0
20191210T12-08,122,14.0
20191210T11-08,122,14.0
20191210T10-08,121,14.0
20191210T09-08,122,14.0
20191210T08-08,134,14.0
20191210T07-08,130,14.0
20191210T06-08,113,13.0
20191210T05-08,75,14.0
20191210T04-08,74,14.0
20191210T03-08,74,13.0
20191210T02-08,73,14.0
20191210T01-08,72,13.0
20191210T00-08,71,16.0
20191209T23-08,116,16.0
20191209T22-08,130,8.0
20191209T21-08,120,3.0
20191209T20-08,120,3.0
20191209T19-08,120,3.0
20191209T18-08,122,12.0
20191209T17-08,119,13.0
20191209T16-08,117,14.0
20191209T15-08,99,14.0
20191209T14-08,105,14.0
20191209T13-08,108,13.0
20191209T12-08,110,13.0
20191209T11-08,114,13.0
20191209T10-08,119,13.0
20191209T09-08,128,14.0
20191209T08-08,128,13.0
20191209T07-08,123,13.0
20191209T06-08,112,14.0
20191209T05-08,68,14.0
20191209T04-08,65,13.0
20191209T03-08,62,13.0
20191209T02-08,66,13.0
20191209T01-08,71,13.0
20191209T00-08,75,13.0
20191208T23-08,81,14.0
20191208T22-08,125,14.0
20191208T21-08,123,13.0
20191208T20-08,123,13.0
20191208T19-08,123,14.0
20191208T18-08,123,14.0
20191208T17-08,117,14.0
20191208T16-08,120,3.0
20191208T15-08,106,3.0
20191208T14-08,94,5.0
20191208T13-08,52,14.0
20191208T12-08,62,14.0
20191208T11-08,66,14.0
20191208T10-08,66,14.0
20191208T09-08,65,14.0
20191208T08-08,74,14.0
20191208T07-08,71,14.0
20191208T06-08,60,14.0
20191208T05-08,56,14.0
20191208T04-08,60,13.0
20191208T03-08,63,13.0
20191208T02-08,63,14.0
20191208T01-08,62,14.0
20191208T00-08,59,13.0
20191207T23-08,70,14.0
20191207T22-08,111,14.0
20191207T21-08,116,14.0
20191207T20-08,116,14.0
20191207T19-08,110,13.0
20191207T18-08,99,16.0
20191207T17-08,88,14.0
20191207T16-08,58,3.0
20191207T15-08,63,3.0
20191207T14-08,61,3.0
20191207T13-08,52,14.0
20191207T12-08,57,14.0
20191207T11-08,66,14.0
20191207T10-08,70,14.0
20191207T09-08,79,14.0
20191207T08-08,79,13.0
20191207T07-08,74,14.0
20191207T06-08,72,14.0
20191207T05-08,72,14.0
20191207T04-08,75,14.0
20191207T03-08,76,14.0
20191207T02-08,76,14.0
20191207T01-08,76,14.0
20191207T00-08,64,14.0
20191206T23-08,103,14.0
20191206T22-08,103,14.0
20191206T21-08,96,14.0
20191206T20-08,98,14.0
20191206T19-08,106,17.0
20191206T18-08,114,15.0
20191206T17-08,122,8.0
20191206T16-08,99,3.0
20191206T15-08,97,3.0
20191206T14-08,87,10.0
20191206T13-08,81,13.0
20191206T12-08,82,13.0
20191206T11-08,92,14.0
20191206T10-08,99,13.0
20191206T09-08,109,13.0
20191206T08-08,128,14.0
20191206T07-08,127,14.0
20191206T06-08,116,13.0
20191206T05-08,67,14.0
20191206T04-08,66,14.0
20191206T03-08,61,14.0
20191206T02-08,54,13.0
20191206T01-08,60,13.0
20191206T00-08,78,13.0
20191205T23-08,101,13.0
20191205T22-08,115,14.0
20191205T21-08,124,13.0
20191205T20-08,132,13.0
20191205T19-08,130,14.0
20191205T18-08,130,14.0
20191205T17-08,125,14.0
20191205T16-08,97,13.0
20191205T15-08,61,13.0
20191205T14-08,77,10.0
20191205T13-08,79,13.0
20191205T12-08,108,11.0
20191205T11-08,105,16.0
20191205T10-08,108,16.0
20191205T09-08,114,5.0
20191205T08-08,82,2.0
20191205T07-08,68,3.0
20191205T06-08,81,3.0
20191205T05-08,69,13.0
20191205T04-08,68,14.0
20191205T03-08,63,14.0
20191205T02-08,59,14.0
20191205T01-08,66,14.0
20191205T00-08,107,13.0
20191204T23-08,109,14.0
20191204T22-08,112,14.0
20191204T21-08,115,14.0
20191204T20-08,116,14.0
20191204T19-08,114,14.0
20191204T18-08,115,14.0
20191204T17-08,118,14.0
20191204T16-08,122,14.0
20191204T15-08,121,14.0
20191204T14-08,102,14.0
20191204T13-08,102,14.0
20191204T12-08,112,5.0
20191204T11-08,132,3.0
20191204T10-08,132,3.0
20191204T09-08,132,9.0
20191204T08-08,130,14.0
20191204T07-08,120,14.0
20191204T06-08,122,14.0
20191204T05-08,119,14.0
20191204T04-08,115,14.0
20191204T03-08,114,14.0
20191204T02-08,115,14.0
20191204T01-08,117,14.0
20191204T00-08,106,13.0
20191203T23-08,121,13.0
20191203T22-08,127,13.0
20191203T21-08,114,14.0
20191203T20-08,114,14.0
20191203T19-08,116,14.0
20191203T18-08,119,13.0
20191203T17-08,127,14.0
20191203T16-08,123,13.0
20191203T15-08,127,13.0
20191203T14-08,119,13.0
20191203T13-08,120,14.0
20191203T12-08,119,14.0
20191203T11-08,131,13.0
20191203T10-08,122,14.0
20191203T09-08,112,14.0
20191203T08-08,122,12.0
20191203T07-08,102,3.0
20191203T06-08,115,3.0
20191203T05-08,117,3.0
20191203T04-08,106,15.0
20191203T03-08,107,15.0
20191203T02-08,100,15.0
20191203T01-08,104,15.0
20191203T00-08,97,15.0
20191202T23-08,112,14.0
20191202T22-08,117,14.0
20191202T21-08,113,15.0
20191202T20-08,118,14.0
20191202T19-08,125,15.0
20191202T18-08,134,7.0
20191202T17-08,135,3.0
20191202T16-08,132,3.0
20191202T15-08,135,5.0
20191202T14-08,125,15.0
20191202T13-08,127,15.0
20191202T12-08,131,15.0
20191202T11-08,132,15.0
20191202T10-08,128,15.0
20191202T09-08,123,15.0
20191202T08-08,128,15.0
20191202T07-08,123,15.0
20191202T06-08,104,4.0
20191202T05-08,86,3.0
20191202T04-08,78,3.0
20191202T03-08,70,10.0
20191202T02-08,69,14.0
20191202T01-08,73,15.0
20191202T00-08,0,0.0
20191201T23-08,0,0.0
20191201T22-08,0,0.0
20191201T21-08,0,0.0
20191201T20-08,0,0.0
20191201T19-08,0,0.0
20191201T18-08,0,0.0
20191201T17-08,0,0.0
20191201T16-08,0,0.0
20191201T15-08,0,0.0
20191201T14-08,0,0.0
20191201T13-08,0,0.0
20191201T12-08,0,0.0
20191201T11-08,0,0.0
20191201T10-08,0,0.0
20191201T09-08,0,0.0
20191201T08-08,0,0.0
20191201T07-08,0,0.0
20191201T06-08,0,0.0
20191201T05-08,0,0.0
20191201T04-08,0,0.0
20191201T03-08,0,0.0
20191201T02-08,0,0.0
20191201T01-08,0,0.0
20191201T00-08,0,0.0
20191130T23-08,0,0.0
20191130T22-08,0,0.0
20191130T21-08,0,0.0
20191130T20-08,0,0.0
20191130T19-08,0,0.0
20191130T18-08,0,0.0
20191130T17-08,0,0.0
20191130T16-08,0,0.0
20191130T15-08,0,0.0
20191130T14-08,0,0.0
20191130T13-08,0,0.0
20191130T12-08,0,0.0
20191130T11-08,0,0.0
20191130T10-08,0,0.0
20191130T09-08,0,0.0
