,Total interchange
20191012T03Z,-8374
20191012T02Z,-8225
20191012T01Z,-6664
20191012T00Z,-4903
20191011T23Z,-3536
20191011T22Z,-3916
20191011T21Z,-3630
20191011T20Z,-3309
20191011T19Z,-3157
20191011T18Z,-3206
20191011T17Z,-3519
20191011T16Z,-4661
20191011T15Z,-6679
20191011T14Z,-6892
20191011T13Z,-6015
20191011T12Z,-5781
20191011T11Z,-5874
20191011T10Z,-5789
20191011T09Z,-5940
20191011T08Z,-6066
20191011T07Z,-5921
20191011T06Z,-6142
20191011T05Z,-7749
20191011T04Z,-8272
20191011T03Z,-8154
20191011T02Z,-8085
20191011T01Z,-6610
20191011T00Z,-4039
20191010T23Z,-2737
20191010T22Z,-2207
20191010T21Z,-1943
20191010T20Z,-1407
20191010T19Z,-1224
20191010T18Z,-1627
20191010T17Z,-2389
20191010T16Z,-3702
20191010T15Z,-6136
20191010T14Z,-6821
20191010T13Z,-5599
20191010T12Z,-4891
20191010T11Z,-4956
20191010T10Z,-4667
20191010T09Z,-4057
20191010T08Z,-4179
20191010T07Z,-4675
20191010T06Z,-5300
20191010T05Z,-6363
20191010T04Z,-7043
20191010T03Z,-7391
20191010T02Z,-7224
20191010T01Z,-5657
20191010T00Z,-2873
20191009T23Z,-2115
20191009T22Z,-1435
20191009T21Z,-934
20191009T20Z,-865
20191009T19Z,-1667
20191009T18Z,-1676
20191009T17Z,-2818
20191009T16Z,-4123
20191009T15Z,-5451
20191009T14Z,-5911
20191009T13Z,-5201
20191009T12Z,-5062
20191009T11Z,-5064
20191009T10Z,-5161
20191009T09Z,-5484
20191009T08Z,-5981
20191009T07Z,-6551
20191009T06Z,-7001
20191009T05Z,-7856
20191009T04Z,-8375
20191009T03Z,-9008
20191009T02Z,-8762
20191009T01Z,-7452
20191009T00Z,-5244
20191008T23Z,-4813
20191008T22Z,-4624
20191008T21Z,-4742
20191008T20Z,-4409
20191008T19Z,-4022
20191008T18Z,-4097
20191008T17Z,-4247
20191008T16Z,-5745
20191008T15Z,-7644
20191008T14Z,-8155
20191008T13Z,-6696
20191008T12Z,-6402
20191008T11Z,-6394
20191008T10Z,-6435
20191008T09Z,-6566
20191008T08Z,-6642
20191008T07Z,-5945
20191008T06Z,-6394
20191008T05Z,-7313
20191008T04Z,-7971
20191008T03Z,-8527
20191008T02Z,-8212
20191008T01Z,-6946
20191008T00Z,-5510
20191007T23Z,-4702
20191007T22Z,-4409
20191007T21Z,-3749
20191007T20Z,-3572
20191007T19Z,-3158
20191007T18Z,-3513
20191007T17Z,-4379
20191007T16Z,-5346
20191007T15Z,-7344
20191007T14Z,-7525
20191007T13Z,-5657
20191007T12Z,-5192
20191007T11Z,-5226
20191007T10Z,-5503
20191007T09Z,-5525
20191007T08Z,-5767
20191007T07Z,-5588
20191007T06Z,-6385
20191007T05Z,-7338
