,Total interchange
20191104T18Z,-2355
20191104T17Z,-2368
20191104T16Z,-2356
20191104T15Z,-2037
20191104T14Z,-2002
20191104T13Z,-1921
20191104T12Z,-1588
20191104T11Z,-1228
20191104T10Z,-1372
20191104T09Z,-1711
20191104T08Z,-1692
20191104T07Z,-1607
20191104T06Z,-2028
20191104T05Z,-1841
20191104T04Z,-1691
20191104T03Z,-1771
20191104T02Z,-1750
20191104T01Z,-1982
20191104T00Z,-2124
20191103T23Z,-2302
20191103T22Z,-1923
20191103T21Z,-1708
20191103T20Z,-1606
20191103T19Z,-1722
20191103T18Z,-1791
20191103T17Z,-1804
20191103T16Z,-1530
20191103T15Z,-1190
20191103T14Z,-1211
20191103T13Z,-1009
20191103T12Z,-1013
20191103T11Z,-1046
20191103T10Z,-1178
20191103T09Z,-1308
20191103T08Z,-1605
20191103T07Z,-1790
20191103T06Z,-1647
20191103T05Z,-2069
20191103T04Z,-2063
20191103T03Z,-2150
20191103T02Z,-2029
20191103T01Z,-1848
20191103T00Z,-1762
20191102T23Z,-1929
20191102T22Z,-1627
20191102T21Z,-1623
20191102T20Z,-1475
20191102T19Z,-1358
20191102T18Z,-1630
20191102T17Z,-1671
20191102T16Z,-1895
20191102T15Z,-1670
20191102T14Z,-1392
20191102T13Z,-1479
20191102T12Z,-1746
20191102T11Z,-1635
20191102T10Z,-1441
20191102T09Z,-1622
20191102T08Z,-1641
20191102T07Z,-1838
20191102T06Z,-1937
20191102T05Z,-2155
20191102T04Z,-1991
20191102T03Z,-2213
20191102T02Z,-2378
20191102T01Z,-1954
20191102T00Z,-2108
20191101T23Z,-2407
20191101T22Z,-2448
20191101T21Z,-2310
20191101T20Z,-2294
20191101T19Z,-2621
20191101T18Z,-2718
20191101T17Z,-2798
20191101T16Z,-2497
20191101T15Z,-2117
20191101T14Z,-2118
20191101T13Z,-2160
20191101T12Z,-1828
20191101T11Z,-1617
20191101T10Z,-700
20191101T09Z,-269
20191101T08Z,-362
20191101T07Z,-710
20191101T06Z,-1141
20191101T05Z,-1498
20191101T04Z,-1795
20191101T03Z,-1970
20191101T02Z,-1905
20191101T01Z,-2029
20191101T00Z,-2216
20191031T23Z,-2381
20191031T22Z,-2238
20191031T21Z,-2358
20191031T20Z,-2676
20191031T19Z,-2690
20191031T18Z,-2328
20191031T17Z,-2369
20191031T16Z,-2662
20191031T15Z,-2491
20191031T14Z,-2076
20191031T13Z,-1669
20191031T12Z,-1742
20191031T11Z,-2095
20191031T10Z,-1599
20191031T09Z,-1408
20191031T08Z,-1378
20191031T07Z,-1337
20191031T06Z,-1622
20191031T05Z,-1885
20191031T04Z,-1578
20191031T03Z,-1776
20191031T02Z,-1926
20191031T01Z,-1933
20191031T00Z,-2506
20191030T23Z,-2624
20191030T22Z,-2559
20191030T21Z,-2364
20191030T20Z,-2516
20191030T19Z,-2480
20191030T18Z,-2680
20191030T17Z,-2664
20191030T16Z,-2854
20191030T15Z,-2564
20191030T14Z,-2515
20191030T13Z,-2337
20191030T12Z,-2008
20191030T11Z,-1751
20191030T10Z,-1453
20191030T09Z,-1200
20191030T08Z,-1489
20191030T07Z,-1454
20191030T06Z,-1646
20191030T05Z,-1690
20191030T04Z,-1677
20191030T03Z,-1869
20191030T02Z,-2088
20191030T01Z,-2065
20191030T00Z,-2112
20191029T23Z,-2603
20191029T22Z,-2642
20191029T21Z,-2458
20191029T20Z,-2548
20191029T19Z,-2436
20191029T18Z,-2428
20191029T17Z,-2505
20191029T16Z,-2252
20191029T15Z,-2097
20191029T14Z,-1892
20191029T13Z,-1762
20191029T12Z,-1482
20191029T11Z,-1360
20191029T10Z,-1092
20191029T09Z,-846
20191029T08Z,-932
20191029T07Z,-1027
20191029T06Z,-1250
20191029T05Z,-1742
20191029T04Z,-1661
20191029T03Z,-1875
20191029T02Z,-2595
20191029T01Z,-2525
20191029T00Z,-2635
20191028T23Z,-2910
20191028T22Z,-3105
20191028T21Z,-3109
20191028T20Z,-2844
20191028T19Z,-2820
20191028T18Z,-2960
20191028T17Z,-2964
20191028T16Z,-2999
20191028T15Z,-2827
20191028T14Z,-2576
20191028T13Z,-2487
20191028T12Z,-2326
20191028T11Z,-2033
20191028T10Z,-1402
20191028T09Z,-978
20191028T08Z,-951
20191028T07Z,-1044
20191028T06Z,-1039
20191028T05Z,-1318
20191028T04Z,-1655
20191028T03Z,-1675
20191028T02Z,-1819
20191028T01Z,-1667
20191028T00Z,-1907
20191027T23Z,-2101
20191027T22Z,-1899
20191027T21Z,-2002
20191027T20Z,-2020
20191027T19Z,-1881
20191027T18Z,-1837
20191027T17Z,-1969
20191027T16Z,-1947
20191027T15Z,-1474
20191027T14Z,-1373
20191027T13Z,-1002
20191027T12Z,-638
20191027T11Z,-745
20191027T10Z,-460
20191027T09Z,-476
20191027T08Z,-537
20191027T07Z,-760
20191027T06Z,-911
20191027T05Z,-1425
20191027T04Z,-1852
20191027T03Z,-1905
20191027T02Z,-1856
20191027T01Z,-1931
20191027T00Z,-2244
20191026T23Z,-2221
20191026T22Z,-1730
20191026T21Z,-1923
20191026T20Z,-1935
20191026T19Z,-2163
20191026T18Z,-2291
20191026T17Z,-2174
20191026T16Z,-2189
20191026T15Z,-2163
20191026T14Z,-2022
