,Total interchange
20191013T00Z,4212
20191012T23Z,4318
20191012T22Z,4242
20191012T21Z,4046
20191012T20Z,3777
20191012T19Z,3649
20191012T18Z,3510
20191012T17Z,3554
20191012T16Z,3969
20191012T15Z,3887
20191012T14Z,3921
20191012T13Z,4113
20191012T12Z,4035
20191012T11Z,4044
20191012T10Z,3997
20191012T09Z,4081
20191012T08Z,4071
20191011T07Z,3866
20191011T06Z,3936
20191011T05Z,3703
20191011T04Z,3612
20191011T03Z,3670
20191011T02Z,3552
20191011T01Z,3560
20191011T00Z,3386
20191010T23Z,3462
20191010T22Z,3536
20191010T21Z,3437
20191010T20Z,3493
20191010T19Z,3289
20191010T18Z,3255
20191010T17Z,3261
20191010T16Z,3411
20191010T15Z,3842
20191010T14Z,3815
20191010T13Z,3777
20191010T12Z,3501
20191010T11Z,3434
20191010T10Z,3106
20191010T09Z,2914
20191010T08Z,3320
20191010T07Z,3593
20191010T06Z,3615
20191010T05Z,3978
20191010T04Z,3956
20191010T03Z,4015
20191010T02Z,3966
20191010T01Z,3999
20191010T00Z,3956
20191009T23Z,3945
20191009T22Z,3544
20191009T21Z,3401
20191009T20Z,3351
20191009T19Z,3113
20191009T18Z,3140
20191009T17Z,3186
20191009T16Z,3332
20191009T15Z,3644
20191009T14Z,3662
20191009T13Z,3407
20191009T12Z,3210
20191009T11Z,3166
20191009T10Z,3200
20191009T09Z,3391
20191009T08Z,3460
20191009T07Z,3473
20191009T06Z,3594
20191009T05Z,3872
20191009T04Z,3908
20191009T03Z,4059
20191009T02Z,3952
20191009T01Z,3920
20191009T00Z,3902
20191008T23Z,3857
20191008T22Z,3863
20191008T21Z,3848
20191008T20Z,3738
20191008T19Z,3402
20191008T18Z,3431
20191008T17Z,3398
20191008T16Z,3576
20191008T15Z,3685
20191008T14Z,3588
20191008T13Z,3340
20191008T12Z,3328
20191008T11Z,3320
20191008T10Z,3342
20191008T09Z,3119
20191008T08Z,3407
20191008T07Z,3590
20191008T06Z,3925
20191008T05Z,4062
20191008T04Z,4000
20191008T03Z,4117
20191008T02Z,4172
20191008T01Z,4178
20191008T00Z,4239
20191007T23Z,4270
20191007T22Z,3947
20191007T21Z,3874
20191007T20Z,4008
20191007T19Z,3748
20191007T18Z,3712
20191007T17Z,3708
20191007T16Z,4009
20191007T15Z,3946
20191007T14Z,3909
20191007T13Z,3727
20191007T12Z,3777
20191007T11Z,3733
20191007T10Z,3746
20191007T09Z,3750
20191007T08Z,3740
20191007T07Z,3738
20191007T06Z,3901
20191007T05Z,4128
20191007T04Z,4050
20191007T03Z,4241
20191007T02Z,4317
20191007T01Z,4080
20191007T00Z,3947
20191006T23Z,3862
20191006T22Z,3746
20191006T21Z,3482
20191006T20Z,3518
20191006T19Z,3456
20191006T18Z,3534
20191006T17Z,3620
20191006T16Z,3553
20191006T15Z,3573
20191006T14Z,3549
20191006T13Z,3406
20191006T12Z,3331
20191006T11Z,3292
20191006T10Z,3176
20191006T09Z,3361
20191006T08Z,3715
20191006T07Z,3814
20191006T06Z,3979
20191006T05Z,4200
20191006T04Z,4063
20191006T03Z,4185
20191006T02Z,4346
20191006T01Z,4308
20191006T00Z,4371
20191005T23Z,4333
20191005T22Z,4131
20191005T21Z,4216
20191005T20Z,4141
20191005T19Z,3985
20191005T18Z,3875
20191005T17Z,3787
20191005T16Z,3905
20191005T15Z,3907
20191005T14Z,3740
20191005T13Z,3300
20191005T12Z,3231
20191005T11Z,3133
20191005T10Z,3196
20191005T09Z,3499
20191005T08Z,3454
20191005T07Z,3859
20191005T06Z,4268
20191005T05Z,5018
20191005T04Z,5148
20191005T03Z,5196
20191005T02Z,5103
20191005T01Z,5144
20191005T00Z,5188
20191004T23Z,4818
20191004T22Z,4859
20191004T21Z,4713
20191004T20Z,4665
20191004T19Z,4600
20191004T18Z,4663
20191004T17Z,4653
20191004T16Z,4727
20191004T15Z,5099
20191004T14Z,4853
20191004T13Z,4535
20191004T12Z,4572
20191004T11Z,4678
20191004T10Z,4788
20191004T09Z,4748
20191004T08Z,4737
20191004T07Z,4799
20191004T06Z,5126
20191004T05Z,5166
20191004T04Z,5153
20191004T03Z,5339
20191004T02Z,5254
20191004T01Z,5032
20191004T00Z,5034
20191003T23Z,5117
20191003T22Z,5063
20191003T21Z,4906
20191003T20Z,4615
20191003T19Z,4447
20191003T18Z,4310
20191003T17Z,4268
20191003T16Z,4321
20191003T15Z,4235
20191003T14Z,4226
20191003T13Z,4067
20191003T12Z,4084
20191003T11Z,4131
20191003T10Z,4404
20191003T09Z,4516
20191003T08Z,4644
20191003T07Z,4912
20191003T06Z,5117
20191003T05Z,5232
20191003T04Z,5321
20191003T03Z,5419
20191003T02Z,5282
20191003T01Z,5260
20191003T00Z,5458
20191002T23Z,5274
20191002T22Z,5015
20191002T21Z,4986
20191002T20Z,4953
20191002T19Z,4484
20191002T18Z,4440
20191002T17Z,4520
20191002T16Z,4739
20191002T15Z,4849
20191002T14Z,4696
20191002T13Z,4453
20191002T12Z,4409
20191002T11Z,4435
20191002T10Z,4380
20191002T09Z,4517
20191002T08Z,4690
20191002T07Z,4739
20191002T06Z,4809
20191002T05Z,4721
20191002T04Z,4791
20191002T03Z,5004
20191002T02Z,4966
20191002T01Z,4766
20191002T00Z,4557
20191001T23Z,4428
20191001T22Z,4375
20191001T21Z,4251
20191001T20Z,4373
20191001T19Z,4086
20191001T18Z,4072
20191001T17Z,3993
20191001T16Z,4180
20191001T15Z,4662
20191001T14Z,4862
20191001T13Z,4607
20191001T12Z,4354
20191001T11Z,4356
20191001T10Z,4315
20191001T09Z,4360
20191001T08Z,4407
20191001T07Z,4682
20191001T06Z,5007
20191001T05Z,5638
20191001T04Z,5849
20191001T03Z,5791
20191001T02Z,5594
20191001T01Z,5333
20191001T00Z,5023
20190930T23Z,5008
20190930T22Z,4904
20190930T21Z,4699
20190930T20Z,4613
20190930T19Z,4387
20190930T18Z,4362
20190930T17Z,4569
20190930T16Z,4628
20190930T15Z,5279
20190930T14Z,5152
20190930T13Z,4840
20190930T12Z,4879
20190930T11Z,4817
20190930T10Z,4763
20190930T09Z,4781
20190930T08Z,4810
20190412T07Z,3204
20190412T06Z,3330
20190412T05Z,3567
20190412T04Z,3581
20190412T03Z,3425
20190412T02Z,3365
20190412T01Z,3265
20190412T00Z,3371
20190411T23Z,3124
20190411T22Z,3022
20190411T21Z,3195
20190411T20Z,3146
20190411T19Z,3102
20190411T18Z,3073
20190411T17Z,3249
20190411T16Z,3327
20190411T15Z,3706
20190411T14Z,3679
20190411T13Z,3125
20190411T12Z,2970
20190411T11Z,3137
20190411T10Z,3087
20190411T09Z,3070
20190411T08Z,3098
20190329T07Z,4056
20190329T06Z,3854
20190329T05Z,4176
20190329T04Z,4221
20190329T03Z,4180
20190329T02Z,4257
20190329T01Z,3995
20190329T00Z,4096
20190328T23Z,3944
20190328T22Z,3823
20190328T21Z,3989
20190328T20Z,3918
20190328T19Z,3960
20190328T18Z,4079
20190328T17Z,4224
20190328T16Z,4615
20190328T15Z,4653
20190328T14Z,4366
20190328T13Z,3936
20190328T12Z,3665
20190328T11Z,3535
20190328T10Z,3479
20190328T09Z,3561
20190328T08Z,3738
20190328T07Z,4051
20190328T06Z,3808
20190328T05Z,4028
20190328T04Z,4272
20190328T03Z,4500
20190328T02Z,4365
20190328T01Z,3955
20190328T00Z,3810
20190327T23Z,3984
20190327T22Z,4066
20190327T21Z,4212
20190327T20Z,4341
20190327T19Z,4286
20190327T18Z,4298
20190327T17Z,4341
20190327T16Z,4391
20190327T15Z,4708
20190327T14Z,4573
20190327T13Z,4088
20190327T12Z,3881
20190327T11Z,3760
20190327T10Z,3783
20190327T09Z,3828
20190327T08Z,3933
20190327T07Z,3948
20190327T06Z,4057
20190327T05Z,4573
20190327T04Z,4772
20190327T03Z,4801
20190327T02Z,4806
20190327T01Z,4650
20190327T00Z,4457
20190326T23Z,4372
20190326T22Z,4268
20190326T21Z,4484
20190326T20Z,4420
20190326T19Z,4425
20190326T18Z,4472
20190326T17Z,4645
20190326T16Z,4865
20190326T15Z,4900
20190326T14Z,4705
20190326T13Z,4130
20190326T12Z,3883
20190326T11Z,3792
20190326T10Z,3818
20190326T09Z,3848
20190326T08Z,3796
20190326T07Z,4039
20190326T06Z,3991
20190326T05Z,4431
20190326T04Z,4337
20190326T03Z,4399
20190326T02Z,4491
20190326T01Z,4278
20190326T00Z,4165
20190325T23Z,4020
20190325T22Z,4010
20190325T21Z,3998
20190325T20Z,4079
20190325T19Z,4017
20190325T18Z,4119
20190325T17Z,4205
20190325T16Z,4086
20190325T15Z,4182
20190325T14Z,4173
20190325T13Z,3897
20190325T12Z,3698
20190325T11Z,3526
20190325T10Z,3404
20190325T09Z,3318
20190325T08Z,3451
20190325T07Z,3873
20190325T06Z,4022
20190325T05Z,4073
20190325T04Z,3928
20190325T03Z,4033
20190325T02Z,3978
20190325T01Z,3461
20190325T00Z,3278
20190324T23Z,3223
20190324T22Z,3250
20190324T21Z,3113
20190324T20Z,3222
20190324T19Z,3333
20190324T18Z,3463
20190324T17Z,3632
20190324T16Z,3773
20190324T15Z,4044
20190324T14Z,3998
20190324T13Z,3861
20190324T12Z,3681
20190324T11Z,3597
20190324T10Z,3414
20190324T09Z,3368
20190324T08Z,3603
20190324T07Z,3963
20190324T06Z,4110
20190324T05Z,4130
20190324T04Z,4217
20190324T03Z,4031
20190324T02Z,4000
20190324T01Z,3555
20190324T00Z,3721
20190323T23Z,3678
20190323T22Z,3630
20190323T21Z,3661
20190323T20Z,3738
20190323T19Z,3738
20190323T18Z,3835
20190323T17Z,3847
20190323T16Z,3874
20190323T15Z,4331
