,Total interchange
20191008T18Z,8603
20191008T17Z,8617
20191008T16Z,8844
20191008T15Z,9064
20191008T14Z,9065
20191008T13Z,8573
20191008T12Z,8120
20191008T11Z,7951
20191008T10Z,7917
20191008T09Z,7955
20191008T08Z,7961
20191008T07Z,7555
20191008T06Z,7651
20191008T05Z,8320
20191008T04Z,9462
20191008T03Z,10038
20191008T02Z,10455
20191008T01Z,9797
20191008T00Z,9129
20191007T23Z,8730
20191007T22Z,8359
20191007T21Z,8190
20191007T20Z,7853
20191007T19Z,7532
20191007T18Z,7348
20191007T17Z,7474
20191007T16Z,7944
20191007T15Z,8498
20191007T14Z,8203
20191007T13Z,6488
20191007T12Z,5668
20191007T11Z,5294
20191007T10Z,5171
20191007T09Z,5133
20191007T08Z,5190
20191007T07Z,5353
20191007T06Z,5599
20191007T05Z,6152
20191007T04Z,6738
20191007T03Z,7174
20191007T02Z,7078
20191007T01Z,6545
20191007T00Z,6069
20191006T23Z,5804
20191006T22Z,5799
20191006T21Z,5686
20191006T20Z,5780
20191006T19Z,6044
20191006T18Z,6041
20191006T17Z,6135
20191006T16Z,6161
20191006T15Z,6282
20191006T14Z,6218
20191006T13Z,5665
20191006T12Z,5439
20191006T11Z,5459
20191006T10Z,5550
20191006T09Z,5452
20191006T08Z,5597
20191006T07Z,5970
20191006T06Z,6354
20191006T05Z,7581
20191006T04Z,7670
20191006T03Z,8016
20191006T02Z,7893
20191006T01Z,7157
20191006T00Z,6140
20191005T23Z,5854
20191005T22Z,5859
20191005T21Z,6038
20191005T20Z,6351
20191005T19Z,6863
20191005T18Z,6892
20191005T17Z,6920
20191005T16Z,6973
20191005T15Z,7355
20191005T14Z,6926
20191005T13Z,7185
20191005T12Z,6851
20191005T11Z,6746
20191005T10Z,6747
20191005T09Z,6734
20191005T08Z,6969
20191005T07Z,7334
20191005T06Z,7411
20191005T05Z,8506
20191005T04Z,9051
20191005T03Z,8949
20191005T02Z,8709
20191005T01Z,8166
20191005T00Z,7449
20191004T23Z,7587
20191004T22Z,7639
20191004T21Z,7558
20191004T20Z,6980
20191004T19Z,7258
20191004T18Z,7229
20191004T17Z,7742
20191004T16Z,8544
20191004T15Z,8790
20191004T14Z,8874
20191004T13Z,8092
20191004T12Z,7292
20191004T11Z,7210
20191004T10Z,7211
20191004T09Z,6986
20191004T08Z,6812
20191004T07Z,6672
20191004T06Z,6671
20191004T05Z,7701
20191004T04Z,8310
20191004T03Z,8701
20191004T02Z,8805
20191004T01Z,8167
20191004T00Z,7306
20191003T23Z,7014
20191003T22Z,6938
20191003T21Z,6867
20191003T20Z,7016
20191003T19Z,6981
20191003T18Z,6928
20191003T17Z,7089
20191003T16Z,7394
20191003T15Z,7792
20191003T14Z,7676
20191003T13Z,6721
20191003T12Z,5723
20191003T11Z,5455
20191003T10Z,5450
20191003T09Z,5587
20191003T08Z,5840
20191003T07Z,6229
20191003T06Z,7323
20191003T05Z,7380
20191003T04Z,7843
20191003T03Z,8151
20191003T02Z,7886
20191003T01Z,7313
20191003T00Z,6744
20191002T23Z,6733
20191002T22Z,6819
20191002T21Z,6916
20191002T20Z,7007
20191002T19Z,7260
20191002T18Z,7309
20191002T17Z,7398
20191002T16Z,7544
20191002T15Z,7853
20191002T14Z,8215
20191002T13Z,7508
20191002T12Z,6498
20191002T11Z,6276
20191002T10Z,6269
20191002T09Z,6311
20191002T08Z,6648
20191002T07Z,6145
20191002T06Z,6924
20191002T05Z,7503
20191002T04Z,7861
20191002T03Z,7947
20191002T02Z,7498
20191002T01Z,6973
20191002T00Z,6813
20191001T23Z,6672
20191001T22Z,6623
20191001T21Z,6741
20191001T20Z,6592
20191001T19Z,6755
20191001T18Z,7211
20191001T17Z,7555
20191001T16Z,7969
20191001T15Z,7787
20191001T14Z,7755
20191001T13Z,6681
20191001T12Z,5483
20191001T11Z,5473
20191001T10Z,5445
20191001T09Z,5376
20191001T08Z,5389
20191001T07Z,6176
20191001T06Z,6465
20191001T05Z,7199
20191001T04Z,7582
20191001T03Z,7953
20191001T02Z,7477
20191001T01Z,7171
20191001T00Z,6859
20190930T23Z,6646
20190930T22Z,6703
20190930T21Z,6813
20190930T20Z,6860
20190930T19Z,7052
20190930T18Z,7276
20190930T17Z,7451
20190930T16Z,7648
20190930T15Z,8418
20190930T14Z,8404
20190930T13Z,7110
20190930T12Z,5907
20190930T11Z,5859
20190930T10Z,5966
20190930T09Z,6228
20190930T08Z,6267
20190930T07Z,6662
20190930T06Z,7632
20190930T05Z,8115
20190930T04Z,8955
20190930T03Z,8814
20190930T02Z,8736
20190930T01Z,7410
20190930T00Z,6797
20190929T23Z,6548
20190929T22Z,6470
20190929T21Z,6561
20190929T20Z,6853
20190929T19Z,6760
20190929T18Z,6417
20190929T17Z,6123
20190929T16Z,6189
20190929T15Z,6307
20190929T14Z,6256
20190929T13Z,6031
20190929T12Z,5638
20190929T11Z,5498
20190929T10Z,5524
20190929T09Z,5637
20190929T08Z,5772
20190929T07Z,6031
20190929T06Z,6573
20190929T05Z,7343
20190929T04Z,7906
20190929T03Z,8455
20190929T02Z,8381
20190929T01Z,8084
20190929T00Z,7769
20190928T23Z,7275
20190928T22Z,6946
20190928T21Z,6709
20190928T20Z,6593
20190928T19Z,6782
20190928T18Z,6955
20190928T17Z,6910
20190928T16Z,6826
20190928T15Z,6985
20190928T14Z,7011
20190928T13Z,6625
20190928T12Z,6602
20190928T11Z,6815
20190928T10Z,6946
20190928T09Z,6971
20190928T08Z,7245
20190928T07Z,7486
20190928T06Z,8216
20190928T05Z,9265
20190928T04Z,9912
20190928T03Z,10196
20190928T02Z,10307
20190928T01Z,10442
20190928T00Z,9418
20190927T23Z,9113
20190927T22Z,9123
20190927T21Z,9156
20190927T20Z,9149
20190927T19Z,9141
20190927T18Z,9208
20190927T17Z,8509
20190927T16Z,8317
20190927T15Z,9101
20190927T14Z,9308
20190927T13Z,7917
20190927T12Z,6765
20190927T11Z,6478
20190927T10Z,6491
20190927T09Z,6907
20190927T08Z,7457
20190927T07Z,8097
20190927T06Z,8590
20190927T05Z,9761
20190927T04Z,10411
20190927T03Z,10547
20190927T02Z,10333
20190927T01Z,10603
20190927T00Z,9959
20190926T23Z,8795
20190926T22Z,8708
20190926T21Z,8833
20190926T20Z,9153
20190926T19Z,9086
20190926T18Z,9043
20190926T17Z,8918
20190926T16Z,8906
20190926T15Z,8835
20190926T14Z,9181
20190926T13Z,8054
20190926T12Z,7704
20190926T11Z,7478
20190926T10Z,7434
20190926T09Z,7176
20190926T08Z,6901
20190926T07Z,7134
20190926T06Z,7936
20190926T05Z,8311
20190926T04Z,8410
20190926T03Z,8442
20190926T02Z,8425
20190926T01Z,8324
20190926T00Z,7992
20190925T23Z,7843
20190925T22Z,7422
20190925T21Z,7203
20190925T20Z,7093
20190925T19Z,6979
20190925T18Z,6928
20190925T17Z,6741
20190925T16Z,6893
20190925T15Z,7319
20190925T14Z,7406
20190925T13Z,6827
20190925T12Z,6657
20190925T11Z,6534
20190925T10Z,6541
20190925T09Z,6776
20190925T08Z,7009
20190925T07Z,7685
20190925T06Z,8137
20190925T05Z,8983
20190925T04Z,10071
20190925T03Z,10472
20190925T02Z,10244
20190925T01Z,10102
20190925T00Z,9854
20190924T23Z,9285
20190924T22Z,8703
20190924T21Z,8471
20190924T20Z,8356
20190924T19Z,7948
20190924T18Z,7574
20190924T17Z,7339
20190924T16Z,7689
20190924T15Z,8731
20190924T14Z,8451
20190924T13Z,7708
20190924T12Z,7727
20190924T11Z,7703
20190924T10Z,7643
20190924T09Z,7679
20190924T08Z,8034
20190924T07Z,7703
20190924T06Z,7990
20190924T05Z,9020
20190924T04Z,9289
20190924T03Z,9508
20190924T02Z,9697
20190924T01Z,10086
20190924T00Z,9615
20190923T23Z,9461
20190923T22Z,9225
20190923T21Z,9238
20190923T20Z,9068
20190923T19Z,9003
20190923T18Z,8898
20190923T17Z,8634
20190923T16Z,9051
20190923T15Z,9841
20190923T14Z,9764
20190923T13Z,8982
20190923T12Z,8541
20190923T11Z,8445
20190923T10Z,8226
20190923T09Z,7972
20190923T08Z,7909
20190923T07Z,7951
20190923T06Z,8131
20190923T05Z,9731
20190923T04Z,9817
20190923T03Z,9910
20190923T02Z,10062
20190923T01Z,9477
20190923T00Z,8841
20190922T23Z,8431
20190922T22Z,8281
20190922T21Z,7835
20190922T20Z,7815
20190922T19Z,7368
20190922T18Z,7190
20190922T17Z,6970
20190922T16Z,6902
20190922T15Z,6933
20190922T14Z,7148
20190922T13Z,6609
20190922T12Z,6542
20190922T11Z,6626
20190922T10Z,6849
20190922T09Z,7067
20190922T08Z,7361
20190922T07Z,7377
20190922T06Z,7742
20190922T05Z,9279
20190922T04Z,9574
20190922T03Z,9435
20190922T02Z,9272
20190922T01Z,8896
20190922T00Z,7232
20190921T23Z,6714
20190921T22Z,6661
20190921T21Z,6711
20190921T20Z,6697
20190921T19Z,6668
20190921T18Z,6596
20190921T17Z,6507
20190921T16Z,6776
20190921T15Z,7454
20190921T14Z,7802
20190921T13Z,7245
20190921T12Z,7445
20190921T11Z,7460
