,Total interchange
20180314T23Z,759
20180314T22Z,761
20180314T21Z,889
20180314T20Z,892
20180314T19Z,896
20180314T18Z,949
20180314T17Z,934
20180314T16Z,921
20180314T15Z,969
20180314T14Z,960
20180314T13Z,709
20180314T12Z,646
20180314T11Z,630
20180314T10Z,631
20180314T09Z,649
20180314T08Z,633
20180314T07Z,604
20180314T06Z,766
20180314T05Z,906
20180314T04Z,914
20180314T03Z,958
20180314T02Z,953
20180314T01Z,911
20180314T00Z,882
20180313T23Z,832
20180313T22Z,802
20180313T21Z,681
20180313T20Z,495
20180313T19Z,481
20180313T18Z,483
20180313T17Z,513
20180313T16Z,596
20180313T15Z,643
20180313T14Z,648
20180313T13Z,600
20180313T12Z,511
20180313T11Z,421
20180313T10Z,449
20180313T09Z,467
20180313T08Z,533
20180313T07Z,676
20180313T06Z,687
20180313T05Z,961
20180313T04Z,960
20180313T03Z,966
20180313T02Z,963
20180313T01Z,960
20180313T00Z,950
20180312T23Z,931
20180312T22Z,931
20180312T21Z,939
20180312T20Z,944
20180312T19Z,971
20180312T18Z,930
20180312T17Z,945
20180312T16Z,988
20180312T15Z,1000
20180312T14Z,983
20180312T13Z,651
20180312T12Z,463
20180312T11Z,402
20180312T10Z,354
20180312T09Z,359
20180312T08Z,351
20180312T07Z,371
20180312T06Z,410
20180312T05Z,413
20180312T04Z,428
20180312T03Z,457
20180312T02Z,461
20180312T01Z,441
20180312T00Z,431
20180311T23Z,369
20180311T22Z,361
20180311T21Z,334
20180311T20Z,367
20180311T19Z,377
20180311T18Z,382
20180311T17Z,443
20180311T16Z,465
20180311T15Z,450
20180311T14Z,438
20180311T13Z,420
20180311T12Z,370
20180311T11Z,356
20180311T10Z,345
20180311T09Z,364
20180311T08Z,389
20180311T07Z,418
20180311T06Z,681
20180311T05Z,722
20180311T04Z,720
20180311T03Z,697
20180311T02Z,690
20180311T01Z,668
20180311T00Z,661
20180310T23Z,683
20180310T22Z,671
20180310T21Z,672
20180310T20Z,622
20180310T19Z,624
20180310T18Z,657
20180310T17Z,670
20180310T16Z,659
20180310T15Z,620
20180310T14Z,684
20180310T13Z,626
20180310T12Z,592
20180310T11Z,585
20180310T10Z,620
20180310T09Z,617
20180310T08Z,566
20180310T07Z,579
20180310T06Z,661
20180310T05Z,704
20180310T04Z,711
20180310T03Z,712
20180310T02Z,698
20180310T01Z,693
20180310T00Z,713
20180309T23Z,661
20180309T22Z,651
20180309T21Z,645
20180309T20Z,628
20180309T19Z,561
20180309T18Z,544
20180309T17Z,555
20180309T16Z,614
20180309T15Z,683
20180309T14Z,674
20180309T13Z,538
20180309T12Z,413
20180309T11Z,407
20180309T10Z,404
20180309T09Z,408
20180309T08Z,433
20180309T07Z,330
20180309T06Z,699
20180309T05Z,981
20180309T04Z,985
20180309T03Z,974
20180309T02Z,966
20180309T01Z,969
20180309T00Z,968
20180308T23Z,882
20180308T22Z,760
20180308T21Z,720
20180308T20Z,721
20180308T19Z,734
20180308T18Z,794
20180308T17Z,779
20180308T16Z,712
20180308T15Z,893
20180308T14Z,915
20180308T13Z,654
20180308T12Z,559
20180308T11Z,557
20180308T10Z,557
20180308T09Z,551
20180308T08Z,406
