,Total interchange
20190918T03Z,75
20190918T02Z,77
20190918T01Z,69
20190918T00Z,26
20190917T23Z,12
20190917T22Z,41
20190917T21Z,47
20190917T20Z,32
20190917T19Z,40
20190917T18Z,47
20190917T17Z,17
20190917T16Z,27
20190917T15Z,86
20190917T14Z,102
20190917T13Z,69
20190917T12Z,78
20190917T11Z,69
20190917T10Z,17
20190917T09Z,-1
20190917T08Z,-1
20190917T07Z,2
20190917T05Z,49
20190917T04Z,8
20190917T03Z,11
20190917T02Z,9
20190917T01Z,9
20190917T00Z,7
20190916T23Z,5
20190916T22Z,9
20190916T21Z,16
20190916T20Z,5
20190916T19Z,1
20190916T18Z,-3
20190916T17Z,-1
20190916T16Z,7
20190916T15Z,7
20190916T14Z,11
20190916T13Z,17
20190916T12Z,26
20190916T11Z,23
20190916T10Z,33
20190916T09Z,7
20190916T08Z,0
20190916T07Z,8
20190916T05Z,20
20190916T04Z,11
20190916T03Z,24
20190916T02Z,55
20190916T01Z,58
20190916T00Z,68
20190915T23Z,105
20190915T22Z,76
20190915T21Z,59
20190915T20Z,55
20190915T19Z,26
20190915T18Z,5
20190915T17Z,9
20190915T16Z,22
20190915T15Z,25
20190915T14Z,18
20190915T13Z,18
20190915T12Z,17
20190915T11Z,48
20190915T10Z,128
20190915T09Z,130
20190915T08Z,107
20190915T07Z,106
20190915T05Z,72
20190915T04Z,30
20190915T03Z,33
20190915T02Z,34
20190915T01Z,74
20190915T00Z,54
20190914T23Z,78
20190914T22Z,104
20190914T21Z,92
20190914T20Z,104
20190914T19Z,102
20190914T18Z,92
20190914T17Z,100
20190914T16Z,65
20190914T15Z,57
20190914T14Z,104
20190914T13Z,105
20190914T12Z,101
20190914T11Z,44
20190914T10Z,100
20190914T09Z,81
20190914T08Z,98
20190914T07Z,118
20190914T05Z,74
20190914T04Z,57
20190914T03Z,101
20190914T02Z,81
20190914T01Z,37
20190914T00Z,58
20190913T23Z,-14
20190913T22Z,64
20190913T21Z,0
20190913T20Z,0
20190913T19Z,0
20190913T18Z,0
20190913T17Z,0
20190913T16Z,0
20190913T15Z,0
20190913T14Z,0
20190913T13Z,0
20190913T12Z,0
20190913T11Z,0
20190913T10Z,0
20190913T09Z,0
20190913T08Z,0
20190913T07Z,0
20190913T05Z,0
20190913T04Z,0
20190913T03Z,0
20190913T02Z,0
