,Total interchange
20191007T10Z,939
20191007T09Z,867
20191007T08Z,862
20191007T07Z,889
20191007T06Z,949
20191007T05Z,1048
20191007T04Z,1117
20191007T03Z,1162
20191007T02Z,1212
20191007T01Z,1266
20191007T00Z,1234
20191006T23Z,1199
20191006T22Z,1257
20191006T21Z,1279
20191006T20Z,1282
20191006T19Z,1224
20191006T18Z,1262
20191006T17Z,1240
20191006T16Z,1305
20191006T15Z,1332
20191006T14Z,1075
20191006T13Z,956
20191006T12Z,831
20191006T11Z,711
20191006T10Z,688
20191006T09Z,689
20191006T08Z,723
20191006T07Z,772
20191006T06Z,849
20191006T05Z,886
20191006T04Z,1032
20191006T03Z,1133
20191006T02Z,1196
20191006T01Z,1180
20191006T00Z,1207
20191005T23Z,1217
20191005T22Z,1254
20191005T21Z,1222
20191005T20Z,1207
20191005T19Z,1164
20191005T18Z,1079
20191005T17Z,1098
20191005T16Z,1139
20191005T15Z,1120
20191005T14Z,1079
20191005T13Z,939
20191005T12Z,827
20191005T11Z,770
20191005T10Z,759
20191005T09Z,764
20191005T08Z,766
20191005T07Z,784
20191005T06Z,820
20191005T05Z,846
20191005T04Z,835
20191005T03Z,874
20191005T02Z,847
20191005T01Z,856
20191005T00Z,835
20191004T23Z,727
20191004T22Z,785
20191004T21Z,808
20191004T20Z,827
20191004T19Z,845
20191004T18Z,854
20191004T17Z,799
20191004T16Z,763
20191004T15Z,766
20191004T14Z,652
20191004T13Z,608
20191004T12Z,607
20191004T11Z,596
20191004T10Z,608
20191004T09Z,589
20191004T08Z,598
20191004T07Z,604
20191004T06Z,605
20191004T05Z,611
20191004T04Z,704
20191004T03Z,792
20191004T02Z,906
20191004T01Z,903
20191004T00Z,881
20191003T23Z,916
20191003T22Z,926
20191003T21Z,884
20191003T20Z,861
20191003T19Z,852
20191003T18Z,813
20191003T17Z,888
20191003T16Z,874
20191003T15Z,833
20191003T14Z,803
20191003T13Z,775
20191003T12Z,790
20191003T11Z,792
20191003T10Z,713
20191003T09Z,713
20191003T08Z,710
20191003T07Z,698
20191003T06Z,677
20191003T05Z,660
20191003T04Z,732
20191003T03Z,741
20191003T02Z,800
20191003T01Z,850
20191003T00Z,879
20191002T23Z,857
20191002T22Z,861
20191002T21Z,1018
20191002T20Z,1310
20191002T19Z,1317
20191002T18Z,1248
20191002T17Z,1144
20191002T16Z,1146
20191002T15Z,1248
20191002T14Z,1169
20191002T13Z,1122
20191002T12Z,1096
20191002T11Z,1069
20191002T10Z,931
20191002T09Z,913
20191002T08Z,911
20191002T07Z,951
20191002T06Z,988
20191002T05Z,1002
20191002T04Z,1231
20191002T03Z,1294
20191002T02Z,1280
20191002T01Z,1283
20191002T00Z,1241
20191001T23Z,1303
20191001T22Z,1380
20191001T21Z,1379
20191001T20Z,1364
20191001T19Z,1272
20191001T18Z,1221
20191001T17Z,1237
20191001T16Z,1343
20191001T15Z,1397
20191001T14Z,1293
20191001T13Z,1152
20191001T12Z,1111
20191001T11Z,1100
20191001T10Z,1071
20191001T09Z,1076
20191001T08Z,1082
20191001T07Z,1094
20191001T06Z,1087
20191001T05Z,1120
20191001T04Z,1209
20191001T03Z,1384
20191001T02Z,1331
20191001T01Z,1370
20191001T00Z,1345
20190930T23Z,1349
20190930T22Z,1391
20190930T21Z,1421
20190930T20Z,1459
20190930T19Z,1333
20190930T18Z,1212
20190930T17Z,1227
20190930T16Z,1249
20190930T15Z,1192
20190930T14Z,1188
20190930T13Z,1164
20190930T12Z,1117
20190930T11Z,1048
20190930T10Z,922
20190930T09Z,874
20190930T08Z,891
20190930T07Z,945
20190930T06Z,1012
20190930T05Z,1084
20190930T04Z,1307
20190930T03Z,1500
20190930T02Z,1705
20190930T01Z,1830
20190930T00Z,1778
20190929T23Z,1710
20190929T22Z,1712
20190929T21Z,1698
20190929T20Z,1656
20190929T19Z,1571
20190929T18Z,1616
20190929T17Z,1671
20190929T16Z,1696
20190929T15Z,1542
20190929T14Z,1336
20190929T13Z,1126
20190929T12Z,982
20190929T11Z,944
20190929T10Z,927
20190929T09Z,930
20190929T08Z,970
20190929T07Z,1020
20190929T06Z,1121
20190929T05Z,1258
20190929T04Z,1443
20190929T03Z,1568
20190929T02Z,1703
20190929T01Z,1758
20190929T00Z,1656
20190928T23Z,1641
20190928T22Z,1664
20190928T21Z,1695
20190928T20Z,1683
20190928T19Z,1660
20190928T18Z,1708
20190928T17Z,1721
20190928T16Z,1713
20190928T15Z,1559
20190928T14Z,1333
20190928T13Z,1153
